YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Suits, James",ADMJ,D001,ADMJ D001,6,13,12,1,6,7
2015,Fall,"Gomes, Rodney",ADMJ,D001,ADMJ D001,11,14,7,2,5,3
2015,Fall,"Peretti, Bryan",ADMJ,D001,ADMJ D001,7,7,6,11,13,4
2015,Fall,"Ellis, Terry",ADMJ,D003,ADMJ D003,9,15,5,3,5,3
2015,Fall,"Bonini, Griffin",ADMJ,D003,ADMJ D003,10,16,3,2,3,4
2015,Fall,"Suits, James",ADMJ,D005,ADMJ D005,16,12,9,2,1,0
2015,Fall,"Willemsen, Michael",ADMJ,D011,ADMJ D011,9,5,3,0,1,0
2015,Fall,"Lowy, Michael",ADMJ,D025,ADMJ D025,2,0,2,0,3,9
2015,Fall,"Kensler, Meghan",ADMJ,D029,ADMJ D029,9,4,0,1,10,1
2015,Fall,"Lawlor, Marni",ADMJ,D055,ADMJ D055,22,4,5,3,2,8
2015,Fall,"Suits, James",ADMJ,D056,ADMJ D056,1,13,9,4,6,4
2015,Fall,"Bonini, Griffin",ADMJ,D062,ADMJ D062,8,8,1,0,4,2
2015,Fall,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,0,1
2015,Fall,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,0,0,0,0,,
2015,Fall,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,1,0,0,0,0
2015,Fall,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,0,0,0,0,,
2015,Fall,"Gomes, Rodney",ADMJ,D073,ADMJ D073,7,6,8,7,4,2
2015,Fall,"Suits, James",ADMJ,D075,ADMJ D075,9,4,6,1,1,4
2015,Fall,"Garrido, Jeremiah",ADMJ,D084,ADMJ D084,13,8,1,1,4,1
2015,Fall,"Logan, Daniel",ADMJ,D090A,ADMJ D090A,6,10,9,2,3,1
2015,Summer,"Lawlor, Marni",ADMJ,D001,ADMJ D001,23,1,0,0,1,2
2015,Summer,"Garrido, Jeremiah",ADMJ,D061,ADMJ D061,11,8,3,0,1,1
2015,Summer,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,,
2015,Summer,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,1,0,0,0,0,0
2015,Summer,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,1,0,0,0,0
2015,Summer,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,0,0,0,0,,
2015,Summer,"Bonini, Griffin",ADMJ,D075,ADMJ D075,2,13,2,0,0,3
2016,Spring,"Suits, James",ADMJ,D001,ADMJ D001,6,10,15,5,10,2
2016,Spring,"Suits, James",ADMJ,D001,ADMJ D001,7,5,15,5,8,6
2016,Spring,"Ellis, Terry",ADMJ,D003,ADMJ D003,6,12,10,0,8,5
2016,Spring,"Suits, James",ADMJ,D005,ADMJ D005,19,8,9,1,1,0
2016,Spring,"Peretti, Bryan",ADMJ,D050,ADMJ D050,9,8,10,4,5,2
2016,Spring,"Gomes, Rodney",ADMJ,D051,ADMJ D051,9,11,9,0,4,3
2016,Spring,"Gomes, Rodney",ADMJ,D054,ADMJ D054,13,15,8,2,3,0
2016,Spring,"Bonini, Griffin",ADMJ,D055,ADMJ D055,11,17,3,0,0,1
2016,Spring,"Suits, James",ADMJ,D056,ADMJ D056,7,9,11,1,5,1
2016,Spring,"Garrido, Jeremiah",ADMJ,D061,ADMJ D061,14,15,2,0,1,0
2016,Spring,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,,
2016,Spring,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,1,0,0,0,0,0
2016,Spring,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,0,0,0,,
2016,Spring,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,0,0,0,0,,
2016,Spring,"Ellis, Terry",ADMJ,D090A,ADMJ D090A,11,7,6,9,9,0
2016,Winter,"Lawlor, Marni",ADMJ,D001,ADMJ D001,19,11,2,2,9,0
2016,Winter,"Gomes, Rodney",ADMJ,D001,ADMJ D001,15,11,4,6,5,3
2016,Winter,"Suits, James",ADMJ,D001,ADMJ D001,8,8,5,7,9,5
2016,Winter,"Ellis, Terry",ADMJ,D003,ADMJ D003,6,10,8,3,15,1
2016,Winter,"Bonini, Griffin",ADMJ,D003,ADMJ D003,7,5,6,0,3,4
2016,Winter,"Gomes, Rodney",ADMJ,D054,ADMJ D054,22,19,7,0,2,1
2016,Winter,"Garrido, Jeremiah",ADMJ,D061,ADMJ D061,14,31,1,0,0,2
2016,Winter,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,,
2016,Winter,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,1,0,0,0,0,0
2016,Winter,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,0,0,0,,
2016,Winter,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,0,0,0,0,,
2016,Winter,"Ellis, Terry",ADMJ,D069,ADMJ D069,14,1,0,0,1,3
2016,Winter,"Suits, James",ADMJ,D074A,ADMJ D074A,10,9,4,0,0,3
2016,Winter,"Suits, James",ADMJ,D075,ADMJ D075,9,9,6,3,0,0
2016,Winter,"Peretti, Bryan",ADMJ,D078,ADMJ D078,4,5,1,4,5,3
2016,Winter,"Ellis, Terry",ADMJ,D090A,ADMJ D090A,4,11,17,0,4,2
2016,Fall,"Suits, James",ADMJ,D001,ADMJ D001,11,5,15,5,4,2
2016,Fall,"Gomes, Rodney",ADMJ,D001,ADMJ D001,8,7,16,1,4,4
2016,Fall,"Peretti, Bryan",ADMJ,D001,ADMJ D001,13,6,10,9,7,1
2016,Fall,"Ellis, Terry",ADMJ,D003,ADMJ D003,5,6,7,1,11,3
2016,Fall,"Bonini, Griffin",ADMJ,D003,ADMJ D003,13,10,4,0,2,2
2016,Fall,"Suits, James",ADMJ,D005,ADMJ D005,4,2,5,3,3,2
2016,Fall,"Lowy, Michael",ADMJ,D025,ADMJ D025,4,7,2,1,0,7
2016,Fall,"Kensler, Meghan",ADMJ,D029,ADMJ D029,10,9,1,4,4,4
2016,Fall,"Lawlor, Marni",ADMJ,D055,ADMJ D055,26,5,3,2,5,4
2016,Fall,"Suits, James",ADMJ,D056,ADMJ D056,4,9,5,2,7,5
2016,Fall,"Bonini, Griffin",ADMJ,D062,ADMJ D062,9,20,1,0,2,3
2016,Fall,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,1,0
2016,Fall,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,0,0,0,0,,
2016,Fall,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,0,0,0,,
2016,Fall,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,1,0,0,0,0,0
2016,Fall,"Gomes, Rodney",ADMJ,D073,ADMJ D073,5,16,6,8,3,0
2016,Fall,"Suits, James",ADMJ,D075,ADMJ D075,8,6,8,5,1,1
2016,Fall,"Garrido, Jeremiah",ADMJ,D084,ADMJ D084,27,15,3,0,1,3
2016,Fall,"Logan, Daniel",ADMJ,D090A,ADMJ D090A,9,12,1,1,1,5
2016,Summer,"Profio, Jeffrey",ADMJ,D001,ADMJ D001,4,6,3,0,3,5
2016,Summer,"Suits, James",ADMJ,D011,ADMJ D011,7,2,2,1,0,0
2016,Summer,"Ellis, Terry",ADMJ,D064,ADMJ D064,0,0,0,0,1,0
2016,Summer,"Ellis, Terry",ADMJ,D064X,ADMJ D064X,1,0,0,0,0,0
2016,Summer,"Ellis, Terry",ADMJ,D064Y,ADMJ D064Y,0,0,0,0,,
2016,Summer,"Ellis, Terry",ADMJ,D064Z,ADMJ D064Z,0,0,0,0,,
2016,Summer,"Bonini, Griffin",ADMJ,D075,ADMJ D075,3,12,6,0,2,0
2017,Spring,"Suits, James",ADMJ,D001,ADMJ D001,4,9,10,7,5,7
2017,Spring,"Gomes, Rodney",ADMJ,D001,ADMJ D001,10,6,8,3,9,3
2017,Spring,"Ellis, Terry",ADMJ,D003,ADMJ D003,7,13,7,3,5,4
2017,Spring,"Suits, James",ADMJ,D005,ADMJ D005,6,12,14,1,6,1
2017,Spring,"Lowy, Michael",ADMJ,D025,ADMJ D025,1,5,4,0,1,5
2017,Spring,"Gomes, Rodney",ADMJ,D054,ADMJ D054,9,16,6,3,4,3
2017,Spring,"Bonini, Griffin",ADMJ,D055,ADMJ D055,17,9,1,1,2,1
