YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Olejniczak, Paul",ASTR,D004,ASTR D004,113,18,8,1,2,0
2015,Fall,"Harrington, Sherwood",ASTR,D004,ASTR D004,34,43,40,7,11,6
2015,Fall,"Harrington, Sherwood",ASTR,D004,ASTR D004,56,34,26,2,6,9
2015,Fall,"Harrington, Sherwood",ASTR,D004,ASTR D004,16,20,21,1,7,5
2015,Fall,"Cichanski, Marek",ASTR,D004,ASTR D004,28,46,33,2,23,10
2015,Fall,"Peterson, Eric",ASTR,D004,ASTR D004,5,23,18,8,6,11
2015,Fall,"Cichanski, Marek",ASTR,D010,ASTR D010,8,13,18,4,17,5
2015,Fall,"Peterson, Eric",ASTR,D010,ASTR D010,6,22,15,8,5,11
2015,Summer,"Peterson, Eric",ASTR,D004,ASTR D004,8,25,14,9,7,19
2015,Summer,"Harrington, Sherwood",ASTR,D004,ASTR D004,22,12,6,1,3,1
2016,Spring,"Cichanski, Marek",ASTR,D004,ASTR D004,30,49,27,0,13,12
2016,Spring,"Harrington, Sherwood",ASTR,D004,ASTR D004,44,38,46,3,4,8
2016,Spring,"Olejniczak, Paul",ASTR,D004,ASTR D004,76,32,12,4,9,5
2016,Spring,"Olejniczak, Paul",ASTR,D004,ASTR D004,114,15,2,2,5,3
2016,Spring,"Harrington, Sherwood",ASTR,D004,ASTR D004,25,19,14,0,3,1
2016,Spring,"Cichanski, Marek",ASTR,D010,ASTR D010,9,4,12,0,6,8
2016,Spring,"Peterson, Eric",ASTR,D010,ASTR D010,5,16,11,4,7,25
2016,Spring,"Cichanski, Marek",ASTR,D015L,ASTR D015L,25,8,3,0,0,2
2016,Winter,"Cichanski, Marek",ASTR,D004,ASTR D004,21,40,38,2,21,13
2016,Winter,"Harrington, Sherwood",ASTR,D004,ASTR D004,36,49,40,2,8,6
2016,Winter,"Harrington, Sherwood",ASTR,D004,ASTR D004,32,25,8,0,4,2
