YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Mccauley, Brian",BIOL,D006A,BIOL D006A,6,8,10,8,1,2
2015,Fall,"Mccauley, Brian",BIOL,D006A,BIOL D006A,3,9,4,9,7,6
2015,Fall,"Heyer, Bruce",BIOL,D006A,BIOL D006A,4,7,14,1,2,8
2015,Fall,"Heyer, Bruce",BIOL,D006A,BIOL D006A,6,9,8,3,2,6
2015,Fall,"Mcpartlan, Elizabeth",BIOL,D006A,BIOL D006A,2,12,9,1,3,7
2015,Fall,"Mcpartlan, Elizabeth",BIOL,D006A,BIOL D006A,8,11,7,2,4,5
2015,Fall,"Webb, William",BIOL,D010,BIOL D010,1,10,11,1,1,2
2015,Fall,"Webb, William",BIOL,D010,BIOL D010,5,9,4,0,5,5
2015,Fall,"Sengupta, Susmita",BIOL,D010,BIOL D010,5,7,10,2,6,2
2015,Fall,"Sengupta, Susmita",BIOL,D010,BIOL D010,8,8,3,4,4,5
2015,Fall,"Bram, Jason",BIOL,D010,BIOL D010,12,10,6,1,3,7
2015,Fall,"Bram, Jason",BIOL,D010,BIOL D010,12,4,12,1,3,3
2015,Fall,"Cuff-Alvarado, Judy",BIOL,D010,BIOL D010,13,13,6,1,0,2
2015,Fall,"Cuff-Alvarado, Judy",BIOL,D010,BIOL D010,9,4,13,1,2,1
2015,Fall,"Mousavi Shafaei, Parisa",BIOL,D010,BIOL D010,4,5,4,3,8,7
2015,Fall,"Mousavi Shafaei, Parisa",BIOL,D010,BIOL D010,6,4,7,4,6,3
2015,Fall,"Pane, Eric",BIOL,D010,BIOL D010,3,9,7,2,9,2
2015,Fall,"Pane, Eric",BIOL,D010,BIOL D010,6,6,6,6,5,1
2015,Fall,"Pane, Eric",BIOL,D010H,BIOL D010H,0,0,0,0,,
2015,Fall,"Pane, Eric",BIOL,D010H,BIOL D010H,0,0,0,0,,
2015,Fall,"Pal, Gayatri",BIOL,D011,BIOL D011,8,6,3,0,4,6
2015,Fall,"Sundaram, Vidyodhaya",BIOL,D011,BIOL D011,4,14,2,2,3,3
2015,Fall,"Sundaram, Vidyodhaya",BIOL,D011,BIOL D011,8,6,8,2,4,2
2015,Fall,"Kang’a, Simon",BIOL,D011,BIOL D011,5,4,8,3,11,2
2015,Fall,"Kang’a, Simon",BIOL,D011,BIOL D011,5,8,7,4,4,2
2015,Fall,"Kang’a, Simon",BIOL,D011,BIOL D011,6,2,5,3,6,5
2015,Fall,"Kang’a, Simon",BIOL,D011,BIOL D011,3,2,2,1,10,2
2015,Fall,"Morikang, Ebenezer",BIOL,D011,BIOL D011,9,6,5,1,2,4
2015,Fall,"Johnson, Robert",BIOL,D011,BIOL D011,11,8,6,0,0,3
2015,Fall,"Johnson, Robert",BIOL,D011,BIOL D011,8,8,4,1,2,1
2015,Fall,"Bram, Jason",BIOL,D013,BIOL D013,12,3,8,0,0,5
2015,Fall,"Bram, Jason",BIOL,D013,BIOL D013,8,5,7,5,3,6
2015,Fall,"Spanggord, Doris",BIOL,D026,BIOL D026,6,6,7,6,0,2
2015,Fall,"Bordignon, Guido",BIOL,D026,BIOL D026,9,11,6,0,0,1
2015,Fall,"Daniel, Ann",BIOL,D026,BIOL D026,7,11,5,0,4,4
2015,Fall,"Balabanian, Nora",BIOL,D040A,BIOL D040A,13,13,7,2,3,0
2015,Fall,"Balabanian, Nora",BIOL,D040A,BIOL D040A,14,13,7,3,1,1
2015,Fall,"Kalpin, Robert",BIOL,D040A,BIOL D040A,7,9,7,2,3,6
2015,Fall,"Kalpin, Robert",BIOL,D040A,BIOL D040A,13,6,5,3,0,8
2015,Fall,"Annen, Vickie",BIOL,D040A,BIOL D040A,11,7,14,1,3,1
2015,Fall,"Annen, Vickie",BIOL,D040A,BIOL D040A,2,14,10,4,3,5
2015,Fall,"Annen, Vickie",BIOL,D040A,BIOL D040A,6,7,14,5,4,2
2015,Fall,"Sengupta, Lakshmikanta",BIOL,D040B,BIOL D040B,8,11,3,2,0,4
2015,Fall,"Sengupta, Lakshmikanta",BIOL,D040B,BIOL D040B,9,10,9,1,0,1
2015,Fall,"Mousavi Shafaei, Parisa",BIOL,D040B,BIOL D040B,4,7,3,2,1,2
2015,Fall,"Angeles, Miguel",BIOL,D040C,BIOL D040C,18,9,3,1,0,1
2015,Fall,"Angeles, Miguel",BIOL,D040C,BIOL D040C,10,12,3,1,3,1
2015,Fall,"Angeles, Miguel",BIOL,D040C,BIOL D040C,3,6,2,1,0,2
2015,Fall,"Miller, Anne",BIOL,D045,BIOL D045,9,12,4,1,3,6
2015,Fall,"Miller, Anne",BIOL,D045,BIOL D045,6,11,11,1,3,5
2015,Fall,"Cuff-Alvarado, Judy",BIOL,D054G,BIOL D054G,13,7,10,1,4,5
2015,Fall,"Cuff-Alvarado, Judy",BIOL,D054H,BIOL D054H,10,8,10,4,19,3
2015,Fall,"Heyer, Bruce",BIOL,D06AH,BIOL D06AH,0,0,0,0,,
2015,Fall,"Heyer, Bruce",BIOL,D06AH,BIOL D06AH,0,1,0,0,0,0
2015,Fall,"Mcpartlan, Elizabeth",BIOL,D06AH,BIOL D06AH,0,0,2,0,0,0
2015,Fall,"Mcpartlan, Elizabeth",BIOL,D06AH,BIOL D06AH,0,0,0,0,,
2015,Fall,"Spanggord, Doris",BIOL,D077,BIOL D077,2,0,0,0,0,0
2015,Fall,"Spanggord, Doris",BIOL,D077X,BIOL D077X,1,0,0,0,0,0
2015,Fall,"Spanggord, Doris",BIOL,D077Y,BIOL D077Y,0,0,0,0,,
2015,Fall,"Spanggord, Doris",BIOL,D086,BIOL D086,2,0,0,0,0,0
