YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Fritz, Michele",BUS,D010,BUS D010,14,19,7,4,2,4
2015,Fall,"Lilly, Byron",BUS,D010,BUS D010,10,6,12,16,4,6
2015,Fall,"Fritz, Michele",BUS,D010,BUS D010,13,10,8,3,3,10
2015,Fall,"Garbe, Emily",BUS,D010,BUS D010,43,7,3,2,0,0
2015,Fall,"Brien, Richard",BUS,D010,BUS D010,7,13,11,2,5,8
2015,Fall,"Cappello, Emmanuele",BUS,D010,BUS D010,27,16,4,2,7,2
2015,Fall,"Garbe, Emily",BUS,D010,BUS D010,23,16,5,2,5,1
2015,Fall,"Cappello, Emmanuele",BUS,D010,BUS D010,17,20,10,3,8,1
2015,Fall,"Niedermier, Gary",BUS,D010,BUS D010,10,15,6,3,7,15
2015,Fall,"Fritz, Michele",BUS,D010,BUS D010,1,0,0,0,0,0
2015,Fall,"Grove, Richard",BUS,D010,BUS D010,27,5,4,0,5,2
2015,Fall,"Lilly, Byron",BUS,D010,BUS D010,8,12,13,9,11,16
2015,Fall,"Stringer, David",BUS,D010,BUS D010,36,11,8,0,2,4
2015,Fall,"Lilly, Byron",BUS,D010,BUS D010,13,15,5,7,4,10
2015,Fall,"Goularte, Ronald",BUS,D018,BUS D018,6,18,14,3,3,4
2015,Fall,"Gough, Walter",BUS,D018,BUS D018,19,15,8,5,2,1
2015,Fall,"Lilly, Byron",BUS,D018,BUS D018,7,7,13,9,4,7
2015,Fall,"Ritchie, John",BUS,D018,BUS D018,26,16,7,4,3,4
2015,Fall,"Ritchie, John",BUS,D018,BUS D018,27,15,8,2,2,2
2015,Fall,"Gough, Walter",BUS,D018,BUS D018,5,7,16,7,9,4
2015,Fall,"Salah, Danny",BUS,D018,BUS D018,2,17,13,2,13,5
2015,Fall,"Yurtseven, Lale",BUS,D018,BUS D018,11,15,9,2,4,2
2015,Fall,"Salah, Danny",BUS,D018,BUS D018,6,8,17,0,9,3
2015,Fall,"Lilly, Byron",BUS,D021,BUS D021,8,13,15,6,3,7
2015,Fall,"Cappello, Emmanuele",BUS,D055,BUS D055,13,10,5,0,8,3
2015,Fall,"Voyvodich, Nick",BUS,D056,BUS D056,11,6,11,2,6,6
2015,Fall,"Cappello, Emmanuele",BUS,D056,BUS D056,22,7,8,3,4,2
2015,Fall,"Takyi, Oduro",BUS,D058,BUS D058,5,8,2,0,26,4
2015,Fall,"Niedermier, Gary",BUS,D059,BUS D059,12,1,0,0,9,10
