YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Zarghami, Fatemeh",C D,D010G,C D D010G,12,10,3,1,2,0
2015,Fall,"Wilkie, Zana",C D,D010G,C D D010G,10,2,6,3,5,5
2015,Fall,"Buchanan, Angela",C D,D010G,C D D010G,4,10,6,2,6,6
2015,Fall,"Wilkie, Zana",C D,D010G,C D D010G,13,3,5,4,6,2
2015,Fall,"Leal, Ana",C D,D010G,C D D010G,24,4,0,2,4,2
2015,Fall,"Buchanan, Angela",C D,D010H,C D D010H,9,11,4,1,6,3
2015,Fall,"Maleksalehi, Jila",C D,D010H,C D D010H,11,7,3,0,2,2
2015,Fall,"Leal, Ana",C D,D010H,C D D010H,17,4,4,1,3,3
2015,Fall,"Vargas, Nellie",C D,D012,C D D012,23,3,0,0,4,2
2015,Fall,"Cruz, Mayra",C D,D012,C D D012,11,12,5,0,0,4
2015,Fall,"Mckeithan, Sandra",C D,D012,C D D012,3,10,4,1,3,5
2015,Fall,"Wilkie, Zana",C D,D050,C D D050,19,6,2,0,1,2
2015,Fall,"Vargas, Nellie",C D,D050,C D D050,35,0,0,0,1,1
2015,Fall,"Maleksalehi, Jila",C D,D050,C D D050,19,5,0,0,1,5
2015,Fall,"Langfelder, Diane",C D,D051A,C D D051A,2,1,2,0,0,0
2015,Fall,"Langfelder, Diane",C D,D051A,C D D051A,6,0,0,0,0,1
2015,Fall,"De Motta, Phyllis",C D,D051A,C D D051A,2,7,0,0,2,0
2015,Fall,"De Motta, Phyllis",C D,D051A,C D D051A,2,4,0,0,0,1
2015,Fall,"Langfelder, Diane",C D,D051B,C D D051B,2,2,0,0,0,0
2015,Fall,"Langfelder, Diane",C D,D051B,C D D051B,2,1,0,0,0,0
2015,Fall,"De Motta, Phyllis",C D,D051B,C D D051B,0,0,0,0,,
2015,Fall,"De Motta, Phyllis",C D,D051B,C D D051B,0,0,0,0,,
2015,Fall,"Ebesugawa, Martina",C D,D052,C D D052,21,3,2,1,4,1
2015,Fall,"De Motta, Phyllis",C D,D053,C D D053,16,14,1,0,4,5
2015,Fall,"Vargas, Nellie",C D,D054,C D D054,44,7,0,0,0,2
2015,Fall,"Vargas, Nellie",C D,D055,C D D055,54,0,0,0,0,0
2015,Fall,"Cochran, Linda",C D,D057,C D D057,7,1,3,0,2,2
2015,Fall,"Zarghami, Fatemeh",C D,D058,C D D058,16,8,4,0,3,1
2015,Fall,"Qian, Ping",C D,D059G,C D D059G,18,16,0,0,1,1
2015,Fall,"Tambe, Jayanti",C D,D063,C D D063,18,6,1,1,1,7
2015,Fall,"Thompson, Jamel",C D,D064,C D D064,28,1,1,0,2,3
2015,Fall,"Talamantez, Rachel",C D,D072,C D D072,15,4,1,1,0,5
2015,Fall,"Cochran, Linda",C D,D075,C D D075,15,7,1,1,0,3
2015,Fall,"Cruz, Mayra",C D,D077W,C D D077W,1,0,0,0,0,0
2015,Fall,"Cruz, Mayra",C D,D077X,C D D077X,5,1,0,0,1,1
2015,Fall,"Cruz, Mayra",C D,D077Y,C D D077Y,0,0,0,0,,
2015,Summer,"Wilkie, Zana",C D,D010G,C D D010G,16,5,1,1,1,1
2015,Summer,"Sun, Li",C D,D010G,C D D010G,3,4,8,0,0,5
2015,Summer,"Ebesugawa, Martina",C D,D010G,C D D010G,15,1,3,0,2,1
