YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2018,Spring,"Abolghasemi, Mirsaeid",CIS,D022C,CIS D022C,38,0,0,0,4,2
2018,Winter,"Abolghasemi, Mirsaeid",CIS,D022A,CIS D022A,49,0,0,0,1,0
2018,Fall,"Abolghasemi, Mirsaeid",CIS,D022A,CIS D022A,50,0,0,0,1,2
2018,Fall,"Abolghasemi, Mirsaeid",CIS,D040,CIS D040,48,0,0,0,3,2
2018,Summer,"Abolghasemi, Mirsaeid",CIS,D035A,CIS D035A,38,0,0,0,3,4
2018,Summer,"Abolghasemi, Mirsaeid",CIS,D040,CIS D040,45,0,0,0,1,2
2019,Spring,"Abolghasemi, Mirsaeid",CIS,D040,CIS D040,40,0,0,1,2,0
2019,Winter,"Abolghasemi, Mirsaeid",CIS,D022C,CIS D022C,52,2,0,0,3,3
2019,Winter,"Abolghasemi, Mirsaeid",CIS,D040,CIS D040,46,8,0,0,4,3
2015,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,28,7,2,2,6,7
2015,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,28,9,6,2,4,3
2015,Summer,"Ahrens, Edward",CIS,D022A,CIS D022A,37,2,0,1,1,1
2015,Summer,"Ahrens, Edward",CIS,D022B,CIS D022B,34,2,1,0,3,4
2016,Spring,"Ahrens, Edward",CIS,D022B,CIS D022B,33,9,4,1,1,5
2016,Winter,"Ahrens, Edward",CIS,D014A,CIS D014A,20,2,2,0,1,7
2016,Winter,"Ahrens, Edward",CIS,D018A,CIS D018A,36,6,0,0,2,2
2016,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,30,8,5,1,6,1
2016,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,37,6,4,1,3,2
2016,Summer,"Ahrens, Edward",CIS,D022A,CIS D022A,38,2,1,0,1,0
2016,Summer,"Ahrens, Edward",CIS,D022B,CIS D022B,29,2,0,1,3,3
2017,Spring,"Ahrens, Edward",CIS,D022A,CIS D022A,40,2,1,1,4,1
2017,Winter,"Ahrens, Edward",CIS,D018A,CIS D018A,39,4,2,0,4,1
2017,Winter,"Ahrens, Edward",CIS,D022B,CIS D022B,45,7,10,2,3,3
2017,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,37,7,1,1,2,2
2017,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,34,5,4,0,3,3
2017,Summer,"Ahrens, Edward",CIS,D022A,CIS D022A,31,4,1,0,0,1
2017,Summer,"Ahrens, Edward",CIS,D022B,CIS D022B,39,2,0,0,2,0
2018,Spring,"Ahrens, Edward",CIS,D022A,CIS D022A,38,6,1,0,3,3
2018,Spring,"Ahrens, Edward",CIS,D022B,CIS D022B,42,5,1,1,4,3
2018,Winter,"Ahrens, Edward",CIS,D018A,CIS D018A,25,2,2,0,2,3
2018,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,36,4,0,1,2,1
2018,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,39,4,1,0,1,1
2018,Fall,"Ahrens, Edward",CIS,D022A,CIS D022A,35,3,2,1,3,3
2018,Summer,"Ahrens, Edward",CIS,D022B,CIS D022B,32,3,1,1,3,3
2018,Summer,"Ahrens, Edward",CIS,D022B,CIS D022B,23,3,1,0,5,1
