YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Cartier, Robert",ANTH,D001,ANTH D001,16,11,14,2,3,2
2015,Fall,"Cartier, Robert",ANTH,D001,ANTH D001,17,18,22,0,0,1
2015,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,18,16,11,0,1,4
2015,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,0,0,0,0,,
2015,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,27,28,22,6,7,7
2015,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,0,0,0,0,,
2015,Fall,"Nengo, Isaiah",ANTH,D001,ANTH D001,8,12,8,1,9,11
2015,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,3,4,7,4,7,7
2015,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,0,0,0,0,,
2015,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,2,5,11,5,13,11
2015,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,0,0,0,0,,
2015,Fall,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,8,6,5,3,1,0
2015,Fall,"Nengo, Isaiah",ANTH,D001,ANTH D001,8,4,9,3,7,5
2015,Fall,"Solomon, Daniel",ANTH,D001,ANTH D001,21,12,5,3,5,2
2015,Fall,"Hui, Julie",ANTH,D001,ANTH D001,6,8,3,2,1,2
2015,Fall,"Solomon, Daniel",ANTH,D001,ANTH D001,17,8,6,5,5,3
2015,Fall,"Hui, Julie",ANTH,D001,ANTH D001,18,9,11,1,2,11
2015,Fall,"Soluri, Kathaeryne",ANTH,D001L,ANTH D001L,20,6,0,0,0,0
2015,Fall,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,10,7,6,0,0,1
2015,Fall,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,18,7,4,0,3,3
2015,Fall,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,4,7,6,3,1,2
2015,Fall,"Yang, Kyejung",ANTH,D002,ANTH D002,14,13,5,3,6,4
2015,Fall,"Nengo, Isaiah",ANTH,D002,ANTH D002,7,7,3,1,6,10
2015,Fall,"Nengo, Isaiah",ANTH,D002,ANTH D002,17,9,4,0,5,7
2015,Fall,"Olsen, Nancy",ANTH,D002,ANTH D002,6,3,3,8,3,3
2015,Fall,"Olsen, Nancy",ANTH,D002,ANTH D002,0,0,0,0,,
2015,Fall,"Tiwana, Ameeta",ANTH,D002,ANTH D002,20,16,9,2,1,2
2015,Fall,"Tiwana, Ameeta",ANTH,D002,ANTH D002,1,0,0,0,0,0
2015,Fall,"Ishaya, Arianne",ANTH,D002,ANTH D002,4,16,11,9,3,2
2015,Fall,"Smith, Marissa",ANTH,D002,ANTH D002,24,8,5,3,4,2
2015,Fall,"Roque, Angel",ANTH,D002,ANTH D002,28,8,4,0,1,7
2015,Fall,"Smith, Marissa",ANTH,D002,ANTH D002,17,6,5,2,9,1
2015,Fall,"Andrade, Claudia",ANTH,D002,ANTH D002,38,1,0,0,1,5
2015,Fall,"Ishaya, Arianne",ANTH,D002,ANTH D002,20,12,4,4,5,11
2015,Fall,"Berry, Leslie",ANTH,D002,ANTH D002,78,7,2,0,1,0
2015,Fall,"Cartier, Robert",ANTH,D003,ANTH D003,28,9,9,0,1,3
2015,Fall,"Olsen, Nancy",ANTH,D004,ANTH D004,3,1,5,1,4,4
2015,Fall,"Olsen, Nancy",ANTH,D004,ANTH D004,1,0,0,0,0,0
2015,Fall,"Yang, Kyejung",ANTH,D006,ANTH D006,20,10,1,0,1,5
2015,Fall,"Pierce, Lorna",ANTH,D007,ANTH D007,11,12,7,1,4,4
2015,Summer,"Hui, Julie",ANTH,D001,ANTH D001,12,9,3,0,1,0
2015,Summer,"Casareto, Ana",ANTH,D001,ANTH D001,6,6,3,2,3,5
2015,Summer,"Solomon, Daniel",ANTH,D001,ANTH D001,18,10,5,3,1,0
2015,Summer,"Hui, Julie",ANTH,D001,ANTH D001,15,4,6,2,8,6
2015,Summer,"Casareto, Ana",ANTH,D001L,ANTH D001L,14,1,4,1,0,6
2015,Summer,"McGrail, Richard",ANTH,D002,ANTH D002,32,0,0,0,4,2
2015,Summer,"Roque, Angel",ANTH,D002,ANTH D002,32,7,1,0,4,4
2015,Summer,"Ishaya, Arianne",ANTH,D002,ANTH D002,12,7,5,1,1,2
2015,Summer,"Roque, Angel",ANTH,D002,ANTH D002,31,11,2,1,0,0
2015,Summer,"Berry, Leslie",ANTH,D002,ANTH D002,74,2,1,0,3,5
2016,Spring,"Hui, Julie",ANTH,D001,ANTH D001,8,9,6,1,8,12
2016,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,18,13,6,1,4,5
2016,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,1,0,0,0,0,0
2016,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,18,19,10,6,6,10
2016,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,2,0,0,0,0,0
2016,Spring,"Nengo, Isaiah",ANTH,D001,ANTH D001,8,8,12,3,10,4
2016,Spring,"Nengo, Isaiah",ANTH,D001,ANTH D001,6,11,4,5,4,4
2016,Spring,"Casareto, Ana",ANTH,D001,ANTH D001,13,13,6,1,5,4
2016,Spring,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,19,17,7,0,0,3
2016,Spring,"Andrade, Claudia",ANTH,D001,ANTH D001,8,4,6,3,5,4
2016,Spring,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,20,17,4,0,1,5
2016,Spring,"Berry, Leslie",ANTH,D001,ANTH D001,52,9,1,0,0,1
2016,Spring,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,14,9,0,0,1,3
2016,Spring,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,6,13,6,0,1,1
2016,Spring,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,6,14,7,0,1,1
2016,Spring,"Yang, Kyejung",ANTH,D002,ANTH D002,19,2,0,4,3,5
2016,Spring,"Nengo, Isaiah",ANTH,D002,ANTH D002,5,3,9,2,5,6
2016,Spring,"Nengo, Isaiah",ANTH,D002,ANTH D002,1,6,14,1,9,4
2016,Spring,"Yang, Kyejung",ANTH,D002,ANTH D002,14,13,5,0,4,0
2016,Spring,"Tiwana, Ameeta",ANTH,D002,ANTH D002,17,13,7,0,4,2
2016,Spring,"Smith, Marissa",ANTH,D002,ANTH D002,19,25,1,2,1,1
2016,Spring,"Solomon, Daniel",ANTH,D002,ANTH D002,15,10,3,0,1,5
2016,Spring,"Ishaya, Arianne",ANTH,D002,ANTH D002,3,16,16,4,6,4
2016,Spring,"Andrade, Claudia",ANTH,D002,ANTH D002,19,4,6,2,8,4
2016,Spring,"Ishaya, Arianne",ANTH,D002,ANTH D002,24,16,4,1,8,8
2016,Spring,"Pierce, Lorna",ANTH,D007,ANTH D007,6,4,5,2,6,4
2016,Winter,"Cartier, Robert",ANTH,D001,ANTH D001,16,17,7,0,4,1
2016,Winter,"Hui, Julie",ANTH,D001,ANTH D001,9,7,4,1,3,1
2016,Winter,"Tiwana, Ameeta",ANTH,D001,ANTH D001,18,14,11,1,3,2
2016,Winter,"Tiwana, Ameeta",ANTH,D001,ANTH D001,24,17,16,7,12,10
2016,Winter,"Tiwana, Ameeta",ANTH,D001,ANTH D001,1,0,0,0,0,0
2016,Winter,"Nengo, Isaiah",ANTH,D001,ANTH D001,8,9,7,7,5,4
2016,Winter,"Nengo, Isaiah",ANTH,D001,ANTH D001,12,20,3,4,3,2
2016,Winter,"Casareto, Ana",ANTH,D001,ANTH D001,2,9,5,7,7,5
2016,Winter,"Casareto, Ana",ANTH,D001,ANTH D001,0,0,0,0,,
2016,Winter,"Casareto, Ana",ANTH,D001,ANTH D001,5,6,6,3,7,9
2016,Winter,"Casareto, Ana",ANTH,D001,ANTH D001,0,0,0,0,,
2016,Winter,"Solomon, Daniel",ANTH,D001,ANTH D001,19,13,5,2,6,3
2016,Winter,"Hui, Julie",ANTH,D001,ANTH D001,25,10,6,0,2,4
2016,Winter,"Soluri, Kathaeryne",ANTH,D001L,ANTH D001L,23,10,1,1,0,1
2016,Winter,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,14,5,3,1,2,0
2016,Winter,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,19,10,2,1,0,1
2016,Winter,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,11,4,2,0,1,2
2016,Winter,"Tiwana, Ameeta",ANTH,D002,ANTH D002,10,12,6,3,3,6
2016,Winter,"Tiwana, Ameeta",ANTH,D002,ANTH D002,1,0,0,0,0,0
2016,Winter,"Nengo, Isaiah",ANTH,D002,ANTH D002,5,3,5,1,2,5
2016,Winter,"Nengo, Isaiah",ANTH,D002,ANTH D002,6,8,4,1,2,4
2016,Winter,"Yang, Kyejung",ANTH,D002,ANTH D002,21,8,11,2,2,5
2016,Winter,"Yang, Kyejung",ANTH,D002,ANTH D002,13,7,2,1,3,2
2016,Winter,"Ishaya, Arianne",ANTH,D002,ANTH D002,6,8,7,1,9,2
2016,Winter,"Roque, Angel",ANTH,D002,ANTH D002,31,9,4,0,2,4
2016,Winter,"Roque, Angel",ANTH,D002,ANTH D002,23,14,6,1,2,2
2016,Winter,"McGrail, Richard",ANTH,D002,ANTH D002,9,8,7,4,10,5
2016,Winter,"Andrade, Claudia",ANTH,D002,ANTH D002,20,9,3,0,4,2
2016,Winter,"Ishaya, Arianne",ANTH,D002,ANTH D002,22,13,6,1,6,12
2016,Winter,"Berry, Leslie",ANTH,D002,ANTH D002,81,10,3,1,0,1
2016,Winter,"Cartier, Robert",ANTH,D003,ANTH D003,14,15,12,1,2,1
2016,Winter,"Cartier, Robert",ANTH,D004,ANTH D004,16,9,3,0,3,3
2016,Winter,"Pierce, Lorna",ANTH,D007,ANTH D007,8,10,0,0,4,2
2016,Fall,"Cartier, Robert",ANTH,D001,ANTH D001,21,17,8,0,3,1
2016,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,20,13,5,2,2,3
2016,Fall,"Tiwana, Ameeta",ANTH,D001,ANTH D001,30,43,17,2,0,6
2016,Fall,"Nengo, Isaiah",ANTH,D001,ANTH D001,14,11,6,7,4,6
2016,Fall,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,23,17,5,0,1,3
2016,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,10,8,5,0,8,8
2016,Fall,"Casareto, Ana",ANTH,D001,ANTH D001,6,3,0,0,3,2
2016,Fall,"Nengo, Isaiah",ANTH,D001,ANTH D001,7,10,4,1,1,2
2016,Fall,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,23,13,10,0,1,1
2016,Fall,"Hui, Julie",ANTH,D001,ANTH D001,4,9,7,2,6,6
2016,Fall,"Solomon, Daniel",ANTH,D001,ANTH D001,28,3,4,1,10,3
2016,Fall,"Hui, Julie",ANTH,D001,ANTH D001,21,6,2,2,4,7
2016,Fall,"Tiwana, Ameeta",ANTH,D001H,ANTH D001H,0,1,0,0,0,0
2016,Fall,"Tiwana, Ameeta",ANTH,D001H,ANTH D001H,0,0,0,0,,
2016,Fall,"Casareto, Ana",ANTH,D001H,ANTH D001H,0,0,0,0,,
2016,Fall,"Casareto, Ana",ANTH,D001H,ANTH D001H,0,0,0,0,,
2016,Fall,"Contreras, Salvador",ANTH,D001L,ANTH D001L,21,2,1,2,1,1
2016,Fall,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,10,12,1,0,0,1
2016,Fall,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,24,1,1,0,0,1
2016,Fall,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,12,8,0,0,0,1
2016,Fall,"Yang, Kyejung",ANTH,D002,ANTH D002,23,14,3,0,1,4
2016,Fall,"Nengo, Isaiah",ANTH,D002,ANTH D002,13,6,1,0,2,1
2016,Fall,"Nengo, Isaiah",ANTH,D002,ANTH D002,12,5,5,1,4,6
2016,Fall,"Andrade, Claudia",ANTH,D002,ANTH D002,16,10,6,6,7,2
2016,Fall,"Tiwana, Ameeta",ANTH,D002,ANTH D002,12,9,4,0,2,0
2016,Fall,"Andrade, Claudia",ANTH,D002,ANTH D002,23,7,10,0,4,3
2016,Fall,"Smith, Marissa",ANTH,D002,ANTH D002,16,11,5,3,10,1
2016,Fall,"Patel, Shankari",ANTH,D002,ANTH D002,9,6,1,0,2,1
2016,Fall,"Solomon, Daniel",ANTH,D002,ANTH D002,23,5,1,2,10,2
2016,Fall,"Smith, Marissa",ANTH,D002,ANTH D002,24,7,6,3,4,6
2016,Fall,"Ishaya, Arianne",ANTH,D002,ANTH D002,19,13,2,5,11,6
2016,Fall,"Berry, Leslie",ANTH,D002,ANTH D002,70,6,2,0,4,0
2016,Fall,"Tiwana, Ameeta",ANTH,D002H,ANTH D002H,4,0,0,0,0,1
2016,Fall,"Cartier, Robert",ANTH,D003,ANTH D003,20,10,4,0,2,1
2016,Fall,"Cartier, Robert",ANTH,D004,ANTH D004,25,15,3,0,2,0
2016,Fall,"Yang, Kyejung",ANTH,D006,ANTH D006,15,3,1,1,1,2
2016,Fall,"Pierce, Lorna",ANTH,D007,ANTH D007,7,14,4,0,3,4
2016,Summer,"Andrade, Claudia",ANTH,D001,ANTH D001,10,11,8,0,1,1
2016,Summer,"Andrade, Claudia",ANTH,D001,ANTH D001,11,12,5,1,3,1
2016,Summer,"Hui, Julie",ANTH,D001,ANTH D001,18,12,1,2,6,5
2016,Summer,"Casareto, Ana",ANTH,D001L,ANTH D001L,21,1,0,0,0,3
2016,Summer,"Roque, Angel",ANTH,D002,ANTH D002,28,7,3,1,0,4
2016,Summer,"Ishaya, Arianne",ANTH,D002,ANTH D002,10,7,4,0,3,1
2016,Summer,"Roque, Angel",ANTH,D002,ANTH D002,32,5,2,1,1,0
2016,Summer,"Berry, Leslie",ANTH,D002,ANTH D002,54,5,1,0,0,1
2017,Spring,"Hui, Julie",ANTH,D001,ANTH D001,8,4,2,1,4,2
2017,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,20,14,5,0,1,3
2017,Spring,"Tiwana, Ameeta",ANTH,D001,ANTH D001,32,19,6,2,4,6
2017,Spring,"Nengo, Isaiah",ANTH,D001,ANTH D001,11,15,12,2,3,5
2017,Spring,"Nengo, Isaiah",ANTH,D001,ANTH D001,12,8,6,4,3,2
2017,Spring,"Soluri, Kathaeryne",ANTH,D001,ANTH D001,23,19,3,0,1,1
2017,Spring,"Andrade, Claudia",ANTH,D001,ANTH D001,13,11,9,3,6,4
2017,Spring,"Nengo, Isaiah",ANTH,D001,ANTH D001,12,15,6,1,5,1
2017,Spring,"Berry, Leslie",ANTH,D001,ANTH D001,67,7,2,0,4,1
2017,Spring,"Tiwana, Ameeta",ANTH,D001H,ANTH D001H,1,0,0,0,0,0
2017,Spring,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,16,6,4,0,2,2
2017,Spring,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,21,8,0,0,0,0
2017,Spring,"Tiwana, Ameeta",ANTH,D001L,ANTH D001L,16,8,0,0,0,3
2017,Spring,"Nengo, Isaiah",ANTH,D001L,ANTH D001L,5,10,7,2,0,2
2017,Spring,"Tiwana, Ameeta",ANTH,D002,ANTH D002,8,10,3,1,2,4
2017,Spring,"Smith, Marissa",ANTH,D002,ANTH D002,13,13,4,3,4,2
2017,Spring,"Nengo, Isaiah",ANTH,D002,ANTH D002,9,10,6,0,3,3
2017,Spring,"Yang, Kyejung",ANTH,D002,ANTH D002,20,10,4,0,2,5
2017,Spring,"Yang, Kyejung",ANTH,D002,ANTH D002,11,5,3,1,2,1
2017,Spring,"Smith, Marissa",ANTH,D002,ANTH D002,16,14,6,0,5,6
2017,Spring,"Patel, Shankari",ANTH,D002,ANTH D002,10,2,2,0,1,0
2017,Spring,"Andrade, Claudia",ANTH,D002,ANTH D002,11,12,3,6,9,4
2017,Spring,"Smith, Marissa",ANTH,D002,ANTH D002,7,5,5,4,4,5
2017,Spring,"Ishaya, Arianne",ANTH,D002,ANTH D002,29,11,3,4,7,4
2017,Spring,"Tiwana, Ameeta",ANTH,D002H,ANTH D002H,2,0,0,0,0,0
2017,Spring,"Pierce, Lorna",ANTH,D007,ANTH D007,11,10,2,1,4,8
2017,Winter,"Cartier, Robert",ANTH,D001,ANTH D001,19,17,10,0,1,2
2017,Winter,"Cartier, Robert",ANTH,D001,ANTH D001,23,21,5,0,0,1
2017,Winter,"Tiwana, Ameeta",ANTH,D001,ANTH D001,18,17,8,0,2,3
2017,Winter,"Tiwana, Ameeta",ANTH,D001,ANTH D001,21,38,15,0,7,6
2017,Winter,"Nengo, Isaiah",ANTH,D001,ANTH D001,13,7,11,2,5,3
