YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Roehl, Paul",ARTS,D001A,ARTS D001A,77,40,2,0,6,2
2015,Fall,"Karmi, Yael",ARTS,D001A,ARTS D001A,40,32,17,2,5,9
2015,Fall,"Karmi, Yael",ARTS,D001A,ARTS D001A,26,14,1,1,5,0
2015,Fall,"Pasturel, Deborah",ARTS,D001B,ARTS D001B,97,13,4,0,1,1
2015,Fall,"Pasturel, Deborah",ARTS,D001B,ARTS D001B,3,0,0,0,0,0
2015,Fall,"Parsons, Katharyne",ARTS,D002A,ARTS D002A,9,8,5,5,9,10
2015,Fall,"Becerril, Linda",ARTS,D002B,ARTS D002B,9,8,2,3,10,12
2015,Fall,"Roehl, Paul",ARTS,D002C,ARTS D002C,49,17,0,0,1,0
2015,Fall,"Becerril, Linda",ARTS,D002D,ARTS D002D,8,13,13,2,5,6
2015,Fall,"Bridger, Nicholas",ARTS,D002F,ARTS D002F,7,4,4,1,2,3
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,ARTS D002F,8,5,7,0,4,1
2015,Fall,"Olsen, Nancy",ARTS,D002F,ARTS D002F,4,3,3,0,5,5
2015,Fall,"Olsen, Nancy",ARTS,D002F,ARTS D002F,0,0,0,0,,
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,ARTS D002F,7,5,1,2,4,2
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,ARTS D002F,7,6,2,1,0,1
2015,Fall,"Lee, So Kam",ARTS,D002G,ARTS D002G,11,8,3,1,9,4
2015,Fall,"Lee, So Kam",ARTS,D002G,ARTS D002G,6,7,2,7,7,5
2015,Fall,"Cadge-Moore, Catie",ARTS,D002L,ARTS D002L,8,19,4,1,4,8
2015,Fall,"Briggs, Marcia",ARTS,D004A,ARTS D004A,24,1,0,0,1,0
2015,Fall,"Chandras, Prakash",ARTS,D004A,ARTS D004A,13,13,0,0,2,6
2015,Fall,"Battiato, Cheryl",ARTS,D004A,ARTS D004A,12,11,0,0,0,3
2015,Fall,"Chandras, Prakash",ARTS,D004A,ARTS D004A,17,8,0,1,3,4
2015,Fall,"Coon, Cheryl",ARTS,D004A,ARTS D004A,9,9,2,0,0,6
2015,Fall,"Miki, Masako",ARTS,D004A,ARTS D004A,7,8,2,0,4,5
2015,Fall,"Rodriguez, Eugene",ARTS,D004B,ARTS D004B,12,6,3,0,0,2
2015,Fall,"Engel, Mark",ARTS,D004B,ARTS D004B,15,2,2,1,8,2
2015,Fall,"Shaw, Marsha",ARTS,D008,ARTS D008,21,5,1,0,4,0
2015,Fall,"Rodriguez, Eugene",ARTS,D008,ARTS D008,16,8,1,0,2,1
2015,Fall,"Jauch, Patricia",ARTS,D010A,ARTS D010A,19,4,0,0,1,1
2015,Fall,"Jauch, Patricia",ARTS,D010B,ARTS D010B,4,0,0,0,0,0
2015,Fall,"Briggs, Marcia",ARTS,D012,ARTS D012,23,0,0,0,1,1
2015,Fall,"Allie, Barbara",ARTS,D015A,ARTS D015A,22,0,0,0,1,1
2015,Fall,"Allie, Barbara",ARTS,D015B,ARTS D015B,2,0,0,0,0,0
2015,Fall,"Allie, Barbara",ARTS,D015C,ARTS D015C,1,0,0,0,0,0
2015,Fall,"Rodriguez, Eugene",ARTS,D016A,ARTS D016A,13,4,4,0,1,1
2015,Fall,"Rodriguez, Eugene",ARTS,D016B,ARTS D016B,3,1,0,0,1,0
2015,Fall,"Rodriguez, Eugene",ARTS,D016C,ARTS D016C,1,1,0,0,0,0
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,ARTS D018A,13,5,1,0,1,1
2015,Fall,"Feld, Julia",ARTS,D018A,ARTS D018A,16,1,1,0,1,1
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,ARTS D018A,10,4,0,1,5,5
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,ARTS D018A,4,4,1,0,1,1
2015,Fall,"Lewycky, Jonathon",ARTS,D018D,ARTS D018D,1,2,0,0,0,0
2015,Fall,"Feld, Julia",ARTS,D018D,ARTS D018D,4,0,0,0,0,3
2015,Fall,"Lewycky, Jonathon",ARTS,D019M,ARTS D019M,13,0,0,0,0,0
2015,Fall,"Lewycky, Jonathon",ARTS,D020,ARTS D020,1,0,1,0,0,0
2015,Fall,"Jauch, Patricia",ARTS,D037A,ARTS D037A,15,0,0,0,1,3
