YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Brandt, Michael",AUTO,D050A,AUTO D050A,5,7,10,3,2,5
2015,Fall,"Brandt, Michael",AUTO,D050A,AUTO D050A,7,12,8,3,4,5
2015,Fall,"Brandt, Michael",AUTO,D050A,AUTO D050A,5,8,9,3,4,9
2015,Fall,"Brandt, Michael",AUTO,D050A,AUTO D050A,2,11,11,4,3,6
2015,Fall,"Brandt, Michael",AUTO,D050B,AUTO D050B,3,14,1,0,0,5
2015,Fall,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,7,4,3,1,1,2
2015,Fall,"Wishart, William",AUTO,D050B,AUTO D050B,13,5,0,0,1,2
2015,Fall,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,6,5,2,0,2,2
2015,Fall,"McCart, Michael",AUTO,D053A,AUTO D053A,5,7,7,5,1,1
2015,Fall,"McCart, Michael",AUTO,D060,AUTO D060,3,11,2,3,2,3
2015,Fall,"Walton, Johnathan",AUTO,D060A,AUTO D060A,2,5,4,4,3,0
2015,Fall,"Walton, Johnathan",AUTO,D060B,AUTO D060B,0,5,8,2,1,1
2015,Fall,"Walton, Johnathan",AUTO,D060D,AUTO D060D,2,7,7,1,1,1
2015,Fall,"Walton, Johnathan",AUTO,D060E,AUTO D060E,4,8,3,0,1,1
2015,Fall,"Maynard, Richard",AUTO,D061A,AUTO D061A,5,4,4,4,4,2
2015,Fall,"Maynard, Richard",AUTO,D061B,AUTO D061B,3,5,3,2,1,6
2015,Fall,"Maynard, Richard",AUTO,D063,AUTO D063,3,2,9,3,3,2
2015,Fall,"Capitolo, David",AUTO,D064,AUTO D064,6,5,3,0,2,3
2015,Fall,"McCart, Michael",AUTO,D065P,AUTO D065P,5,9,3,0,0,3
2015,Fall,"McCart, Michael",AUTO,D065W,AUTO D065W,5,9,3,0,0,3
2015,Fall,"Bryant, Robert",AUTO,D091A,AUTO D091A,4,11,10,0,0,1
2015,Fall,"Bryant, Robert",AUTO,D092A,AUTO D092A,5,10,5,5,0,1
2015,Fall,"Capitolo, David",AUTO,D094A,AUTO D094A,14,7,4,0,0,0
2015,Fall,"Capitolo, David",AUTO,D094B,AUTO D094B,4,13,7,0,1,0
2015,Fall,"Vernazza, Lawrence",AUTO,D099A,AUTO D099A,12,7,6,0,0,0
2015,Fall,"Vernazza, Lawrence",AUTO,D099B,AUTO D099B,16,3,4,2,0,0
2015,Summer,"Brandt, Michael",AUTO,D050A,AUTO D050A,13,11,6,3,2,7
2015,Summer,"Wishart, William",AUTO,D050B,AUTO D050B,10,2,0,0,0,3
2015,Summer,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,8,4,1,0,3,2
2015,Summer,"Maynard, Richard",AUTO,D060K,AUTO D060K,4,5,5,0,0,3
2015,Summer,"Bryant, Robert",AUTO,D066,AUTO D066,4,4,4,0,0,0
2015,Summer,"Walton, Johnathan",AUTO,D067A,AUTO D067A,7,6,4,0,0,2
2016,Spring,"Brandt, Michael",AUTO,D050A,AUTO D050A,6,11,10,2,3,9
2016,Spring,"Brandt, Michael",AUTO,D050A,AUTO D050A,8,10,7,2,5,7
2016,Spring,"McCart, Michael",AUTO,D050B,AUTO D050B,4,2,3,1,2,2
2016,Spring,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,6,2,2,3,3,1
2016,Spring,"Wishart, William",AUTO,D050B,AUTO D050B,5,2,0,0,1,2
2016,Spring,"Brandt, Michael",AUTO,D051A,AUTO D051A,9,12,8,1,1,4
2016,Spring,"Brandt, Michael",AUTO,D051A,AUTO D051A,7,7,6,1,2,3
2016,Spring,"Brandt, Michael",AUTO,D051B,AUTO D051B,5,25,0,0,1,1
2016,Spring,"Wishart, William",AUTO,D051B,AUTO D051B,16,3,0,0,2,2
2016,Spring,"Capitolo, David",AUTO,D057A,AUTO D057A,26,1,1,0,0,0
2016,Spring,"McCart, Michael",AUTO,D060,AUTO D060,9,15,1,0,2,4
2016,Spring,"Walton, Johnathan",AUTO,D060C,AUTO D060C,1,6,9,2,0,2
2016,Spring,"Walton, Johnathan",AUTO,D060H,AUTO D060H,3,5,6,1,2,0
2016,Spring,"Walton, Johnathan",AUTO,D060J,AUTO D060J,1,8,5,1,1,3
2016,Spring,"Maynard, Richard",AUTO,D063A,AUTO D063A,2,5,4,3,1,1
2016,Spring,"Bryant, Robert",AUTO,D066,AUTO D066,0,4,3,0,0,5
2016,Spring,"Walton, Johnathan",AUTO,D067B,AUTO D067B,2,1,3,1,2,1
2016,Spring,"McCart, Michael",AUTO,D067J,AUTO D067J,7,4,0,0,3,2
2016,Spring,"Maynard, Richard",AUTO,D093C,AUTO D093C,2,6,15,0,0,1
2016,Spring,"Maynard, Richard",AUTO,D093D,AUTO D093D,3,8,11,1,0,1
2016,Spring,"Maynard, Richard",AUTO,D093E,AUTO D093E,2,6,15,0,0,0
2016,Spring,"Maynard, Richard",AUTO,D093F,AUTO D093F,2,6,15,0,0,1
2016,Spring,"Capitolo, David",AUTO,D094E,AUTO D094E,7,9,8,0,0,0
2016,Spring,"Capitolo, David",AUTO,D094F,AUTO D094F,8,11,5,0,0,0
2016,Spring,"Vernazza, Lawrence",AUTO,D099E,AUTO D099E,12,9,1,0,0,0
2016,Spring,"Vernazza, Lawrence",AUTO,D099F,AUTO D099F,13,7,1,1,0,0
2016,Spring,"Tucker, Scott",AUTO,D64HP,AUTO D64HP,14,3,0,0,1,1
2016,Winter,"Brandt, Michael",AUTO,D050A,AUTO D050A,8,12,10,2,3,4
2016,Winter,"Brandt, Michael",AUTO,D050A,AUTO D050A,8,10,12,1,2,8
2016,Winter,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,9,5,1,1,5,5
2016,Winter,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,5,6,6,0,3,1
2016,Winter,"Zimbauer, Keith",AUTO,D050B,AUTO D050B,3,2,6,3,1,5
2016,Winter,"Brandt, Michael",AUTO,D051A,AUTO D051A,8,14,14,3,1,4
2016,Winter,"Brandt, Michael",AUTO,D051A,AUTO D051A,8,10,11,5,3,4
2016,Winter,"Brandt, Michael",AUTO,D051B,AUTO D051B,2,24,2,0,0,2
2016,Winter,"Wishart, William",AUTO,D051B,AUTO D051B,14,6,1,0,0,2
2016,Winter,"McCart, Michael",AUTO,D053A,AUTO D053A,3,10,1,1,7,2
2016,Winter,"McCart, Michael",AUTO,D053A,AUTO D053A,3,5,7,3,5,2
2016,Winter,"McCart, Michael",AUTO,D053B,AUTO D053B,3,6,4,1,2,2
2016,Winter,"McCart, Michael",AUTO,D060,AUTO D060,4,3,2,2,2,0
2016,Winter,"Walton, Johnathan",AUTO,D060A,AUTO D060A,2,2,6,0,3,2
2016,Winter,"Walton, Johnathan",AUTO,D060B,AUTO D060B,3,2,5,0,2,4
2016,Winter,"Walton, Johnathan",AUTO,D060F,AUTO D060F,2,7,7,2,0,0
2016,Winter,"Walton, Johnathan",AUTO,D060G,AUTO D060G,4,10,3,0,0,0
2016,Winter,"Bryant, Robert",AUTO,D062A,AUTO D062A,1,3,4,4,5,1
2016,Winter,"Maynard, Richard",AUTO,D063D,AUTO D063D,2,3,9,3,1,0
2016,Winter,"Bryant, Robert",AUTO,D092B,AUTO D092B,3,12,9,1,0,0
2016,Winter,"Bryant, Robert",AUTO,D092C,AUTO D092C,25,0,0,0,0,0
2016,Winter,"Maynard, Richard",AUTO,D093A,AUTO D093A,8,9,7,1,0,0
2016,Winter,"Maynard, Richard",AUTO,D093B,AUTO D093B,8,9,7,1,0,0
2016,Winter,"Capitolo, David",AUTO,D094C,AUTO D094C,10,10,4,0,0,1
2016,Winter,"Capitolo, David",AUTO,D094D,AUTO D094D,9,7,6,2,0,0
2016,Winter,"Vernazza, Lawrence",AUTO,D099C,AUTO D099C,11,4,8,1,0,0
2016,Winter,"Vernazza, Lawrence",AUTO,D099D,AUTO D099D,11,4,3,4,1,0
2016,Fall,"Wishart, William",AUTO,D050A,AUTO D050A,13,9,4,0,5,3
2016,Fall,"Walton, Johnathan",AUTO,D050A,AUTO D050A,5,6,10,1,9,6
2016,Fall,"Wishart, William",AUTO,D050A,AUTO D050A,12,7,6,0,4,8
2016,Fall,"Wishart, William",AUTO,D050B,AUTO D050B,6,8,2,1,0,3
2016,Fall,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,9,3,5,0,2,5
2016,Fall,"Wishart, William",AUTO,D050B,AUTO D050B,16,1,1,0,1,4
2016,Fall,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,8,1,5,0,5,1
2016,Fall,"McCart, Michael",AUTO,D053A,AUTO D053A,4,15,3,5,3,1
2016,Fall,"McCart, Michael",AUTO,D060,AUTO D060,2,11,4,7,1,1
2016,Fall,"Walton, Johnathan",AUTO,D060A,AUTO D060A,2,6,6,3,2,0
2016,Fall,"Walton, Johnathan",AUTO,D060B,AUTO D060B,2,5,6,0,2,5
2016,Fall,"Walton, Johnathan",AUTO,D060D,AUTO D060D,3,4,8,0,0,0
2016,Fall,"Walton, Johnathan",AUTO,D060E,AUTO D060E,3,2,7,0,1,0
2016,Fall,"Ng, Melissa",AUTO,D061A,AUTO D061A,10,5,2,1,0,1
2016,Fall,"Zimbauer, Keith",AUTO,D061B,AUTO D061B,4,4,2,1,1,3
2016,Fall,"Maynard, Richard",AUTO,D063,AUTO D063,1,2,1,4,3,1
2016,Fall,"Capitolo, David",AUTO,D064,AUTO D064,6,4,4,0,1,1
2016,Fall,"McCart, Michael",AUTO,D065P,AUTO D065P,10,5,2,2,1,0
2016,Fall,"McCart, Michael",AUTO,D065W,AUTO D065W,10,5,2,2,1,0
2016,Fall,"Maynard, Richard",AUTO,D091A,AUTO D091A,11,10,4,0,1,0
2016,Fall,"Maynard, Richard",AUTO,D092A,AUTO D092A,9,10,6,1,0,0
2016,Fall,"Capitolo, David",AUTO,D094A,AUTO D094A,10,8,5,3,0,0
2016,Fall,"Capitolo, David",AUTO,D094B,AUTO D094B,8,8,8,2,0,0
2016,Fall,"Vernazza, Lawrence",AUTO,D099A,AUTO D099A,11,13,1,0,0,0
2016,Fall,"Vernazza, Lawrence",AUTO,D099B,AUTO D099B,12,9,3,2,0,0
2016,Summer,"Wishart, William",AUTO,D050A,AUTO D050A,7,7,4,0,1,7
2016,Summer,"O’Brien, Forrest",AUTO,D050B,AUTO D050B,9,8,0,0,1,4
2016,Summer,"Maynard, Richard",AUTO,D060K,AUTO D060K,1,3,6,0,0,0
2016,Summer,"Bryant, Robert",AUTO,D066,AUTO D066,0,6,1,1,0,3
