YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Gray, David",CHEM,D001A,CHEM D001A,8,7,5,4,1,5
2015,Fall,"Gray, David",CHEM,D001A,CHEM D001A,11,6,3,3,0,7
2015,Fall,"Wan, Kanny",CHEM,D001A,CHEM D001A,6,11,5,2,3,3
2015,Fall,"Wan, Kanny",CHEM,D001A,CHEM D001A,7,9,5,2,4,2
2015,Fall,"Subramaniam, Ramachandran",CHEM,D001A,CHEM D001A,12,9,5,2,0,2
2015,Fall,"Subramaniam, Ramachandran",CHEM,D001A,CHEM D001A,14,10,5,0,0,1
2015,Fall,"Lane, Michael",CHEM,D001A,CHEM D001A,5,4,7,4,2,6
2015,Fall,"Lane, Michael",CHEM,D001A,CHEM D001A,10,5,11,0,0,4
2015,Fall,"Muzzi, Cinzia",CHEM,D001B,CHEM D001B,7,5,6,5,3,4
2015,Fall,"Muzzi, Cinzia",CHEM,D001B,CHEM D001B,5,8,10,3,2,2
2015,Fall,"Khouderchah, Nada",CHEM,D001B,CHEM D001B,11,12,4,0,0,3
2015,Fall,"Lo, Billie",CHEM,D001C,CHEM D001C,19,5,3,1,0,2
2015,Fall,"Lo, Billie",CHEM,D001C,CHEM D001C,13,9,5,0,1,1
2015,Fall,"Zlatogorov, Elena",CHEM,D010,CHEM D010,15,2,0,0,2,2
2015,Fall,"Zlatogorov, Elena",CHEM,D010,CHEM D010,9,3,2,0,5,5
2015,Fall,"Cihonski, John",CHEM,D010,CHEM D010,2,4,4,0,5,7
2015,Fall,"Woodbury, Erik",CHEM,D012A,CHEM D012A,10,4,7,2,2,1
2015,Fall,"Woodbury, Erik",CHEM,D012A,CHEM D012A,8,6,8,2,1,1
2015,Fall,"Gray, David",CHEM,D012A,CHEM D012A,12,6,6,1,0,1
2015,Fall,"Tong, Homer",CHEM,D025,CHEM D025,3,5,9,2,1,4
2015,Fall,"Tong, Homer",CHEM,D025,CHEM D025,5,4,6,2,3,5
2015,Fall,"Tong, Homer",CHEM,D025,CHEM D025,6,6,9,1,4,3
2015,Fall,"Tong, Homer",CHEM,D025,CHEM D025,4,3,10,1,5,3
2015,Fall,"Garnel, Howard",CHEM,D025,CHEM D025,2,2,1,1,8,6
2015,Fall,"Garnel, Howard",CHEM,D025,CHEM D025,5,1,3,2,2,9
2015,Fall,"DeMello, Nicholas",CHEM,D030A,CHEM D030A,4,10,11,2,1,2
2015,Fall,"DeMello, Nicholas",CHEM,D030A,CHEM D030A,10,4,8,2,2,4
2015,Fall,"Maxwell, James",CHEM,D030A,CHEM D030A,16,8,4,1,1,0
2015,Fall,"Muzzi, Cinzia",CHEM,D030B,CHEM D030B,8,3,3,0,1,3
2015,Fall,"Muzzi, Cinzia",CHEM,D077,CHEM D077,0,0,0,0,0,0
2015,Fall,"Staff, M",CHEM,D077X,CHEM D077X,0,0,0,0,,
2015,Fall,"Subramaniam, Ramachandran",CHEM,D077Y,CHEM D077Y,0,0,0,0,,
2015,Summer,"Muzzi, Cinzia",CHEM,D001A,CHEM D001A,8,6,4,5,2,5
2015,Summer,"Zlatogorov, Elena",CHEM,D001A,CHEM D001A,20,6,0,0,1,2
2015,Summer,"Cantin, Lucas",CHEM,D001A,CHEM D001A,14,6,4,2,1,2
2015,Summer,"Tong, Homer",CHEM,D001B,CHEM D001B,5,4,7,0,0,1
2015,Summer,"Liu, Yue",CHEM,D001B,CHEM D001B,21,6,2,0,0,1
2015,Summer,"Cihonski, John",CHEM,D001C,CHEM D001C,10,6,10,3,1,0
2015,Summer,"Woodbury, Erik",CHEM,D001C,CHEM D001C,8,5,7,1,0,2
2015,Summer,"Gray, David",CHEM,D012C,CHEM D012C,14,6,4,1,0,0
2015,Summer,"Subramaniam, Ramachandran",CHEM,D050,CHEM D050,10,9,1,1,2,3
2015,Summer,"Subramaniam, Ramachandran",CHEM,D050,CHEM D050,8,10,6,0,0,1
2015,Summer,"DeMello, Nicholas",CHEM,D050,CHEM D050,8,7,10,2,0,0
2015,Summer,"Staff, M",CHEM,D077,CHEM D077,0,0,0,0,,
2015,Summer,"Staff, M",CHEM,D077X,CHEM D077X,0,0,0,0,,
2015,Summer,"Staff, M",CHEM,D077Y,CHEM D077Y,0,0,0,0,,
2016,Spring,"Muzzi, Cinzia",CHEM,D001A,CHEM D001A,8,11,3,4,2,2
2016,Spring,"Muzzi, Cinzia",CHEM,D001A,CHEM D001A,11,6,7,2,3,0
2016,Spring,"Wan, Kanny",CHEM,D001A,CHEM D001A,7,7,6,1,1,8
2016,Spring,"Wan, Kanny",CHEM,D001A,CHEM D001A,6,4,10,3,1,6
2016,Spring,"Muzzi, Cinzia",CHEM,D001A,CHEM D001A,11,10,6,1,1,1
2016,Spring,"Gray, David",CHEM,D001B,CHEM D001B,14,12,2,2,0,0
2016,Spring,"Gray, David",CHEM,D001B,CHEM D001B,14,10,2,3,0,1
2016,Spring,"Cihonski, John",CHEM,D001B,CHEM D001B,7,8,5,2,2,6
2016,Spring,"Feiler, David",CHEM,D001B,CHEM D001B,8,10,10,0,0,2
2016,Spring,"Subramaniam, Ramachandran",CHEM,D001C,CHEM D001C,14,13,2,0,0,2
2016,Spring,"Subramaniam, Ramachandran",CHEM,D001C,CHEM D001C,14,9,3,0,0,4
2016,Spring,"Lo, Billie",CHEM,D001C,CHEM D001C,14,9,1,1,0,5
2016,Spring,"Zlatogorov, Elena",CHEM,D010,CHEM D010,11,5,1,0,1,3
2016,Spring,"Zlatogorov, Elena",CHEM,D010,CHEM D010,11,1,1,0,0,2
2016,Spring,"Bakhtar, Paria",CHEM,D010,CHEM D010,5,4,6,3,4,2
2016,Spring,"Khouderchah, Nada",CHEM,D012B,CHEM D012B,10,10,1,0,0,4
2016,Spring,"Khouderchah, Nada",CHEM,D012B,CHEM D012B,13,4,2,0,0,2
2016,Spring,"Woodbury, Erik",CHEM,D012C,CHEM D012C,16,4,3,0,0,1
2016,Spring,"Woodbury, Erik",CHEM,D012C,CHEM D012C,8,4,1,0,0,0
2016,Spring,"Gray, David",CHEM,D012C,CHEM D012C,14,6,4,0,0,0
2016,Spring,"Tong, Homer",CHEM,D025,CHEM D025,3,10,9,2,3,3
2016,Spring,"Tong, Homer",CHEM,D025,CHEM D025,3,8,12,3,0,2
2016,Spring,"Tong, Homer",CHEM,D025,CHEM D025,5,6,9,0,2,1
2016,Spring,"Tong, Homer",CHEM,D025,CHEM D025,4,5,11,0,2,6
2016,Spring,"Tong, Homer",CHEM,D025,CHEM D025,5,3,5,4,2,4
