YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Sakakihara, Joel",COMM,D001,COMM D001,10,9,2,0,3,1
2015,Fall,"Sakakihara, Joel",COMM,D001,COMM D001,10,12,9,1,2,1
2015,Fall,"Holler, Michael",COMM,D001,COMM D001,8,11,4,2,6,1
2015,Fall,"Anderson, Stephanie",COMM,D001,COMM D001,7,10,9,1,0,4
2015,Fall,"Hong, Russell",COMM,D001,COMM D001,16,7,3,1,0,1
2015,Fall,"Ward, Kendall",COMM,D001,COMM D001,10,17,3,0,0,1
2015,Fall,"Kramer, Alexander",COMM,D001,COMM D001,11,15,5,2,1,0
2015,Fall,"Zamora, Levy",COMM,D001,COMM D001,9,3,1,1,7,4
2015,Fall,"Holler, Michael",COMM,D001,COMM D001,13,10,6,0,0,4
2015,Fall,"Stasio, Donna",COMM,D001,COMM D001,11,12,4,1,0,3
2015,Fall,"Kaur, Shagundeep",COMM,D001,COMM D001,16,6,3,0,1,5
2015,Fall,"Hong, Russell",COMM,D001,COMM D001,24,2,0,0,0,0
2015,Fall,"Kramer, Alexander",COMM,D001,COMM D001,10,12,5,0,1,3
2015,Fall,"Zamora, Levy",COMM,D001,COMM D001,5,8,3,2,3,4
2015,Fall,"Kaur, Shagundeep",COMM,D001,COMM D001,15,4,1,0,4,7
2015,Fall,"McDonnell, Patrick",COMM,D001,COMM D001,20,4,0,0,1,2
2015,Fall,"Lee, Peter",COMM,D001,COMM D001,17,13,0,1,2,0
2015,Fall,"Stasio, Donna",COMM,D001,COMM D001,19,6,1,1,2,3
2015,Fall,"Brockmann, Bettina",COMM,D001,COMM D001,7,8,5,1,4,1
2015,Fall,"Ahern, James",COMM,D001,COMM D001,3,15,6,2,4,2
2015,Fall,"Ahern, James",COMM,D001,COMM D001,1,15,4,0,5,3
2015,Fall,"Isacson, Karl",COMM,D001,COMM D001,16,6,4,0,0,2
2015,Fall,"Gainer, Brandon",COMM,D001,COMM D001,9,4,9,0,5,3
2015,Fall,"Cnudde, Roxanne",COMM,D001,COMM D001,5,10,0,0,3,1
2015,Fall,"Cnudde, Roxanne",COMM,D001,COMM D001,3,10,3,3,5,3
2015,Fall,"Isacson, Karl",COMM,D001,COMM D001,15,7,3,0,1,0
2015,Fall,"Hinerman, Stephen",COMM,D001,COMM D001,7,12,3,3,1,2
2015,Fall,"Gainer, Brandon",COMM,D001,COMM D001,12,3,1,2,5,4
2015,Fall,"Hong, Russell",COMM,D001,COMM D001,17,7,2,0,0,0
2015,Fall,"McDonnell, Patrick",COMM,D001,COMM D001,19,2,2,0,3,1
2015,Fall,"Kaur, Shagundeep",COMM,D001,COMM D001,14,5,2,0,2,9
2015,Summer,"Hamilton, David",COMM,D001,COMM D001,27,5,1,0,0,2
2015,Summer,"Kramer, Alexander",COMM,D001,COMM D001,17,6,4,0,0,1
2015,Summer,"Kaur, Shagundeep",COMM,D001,COMM D001,23,4,0,0,1,1
