YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Thomas, Monika",ECON,D001,ECON D001,4,13,8,3,9,6
2019,Spring,"Singh, Ravjeet",ECON,D001,ECON D001,21,9,6,1,3,6
2019,Spring,"West, Judith",ECON,D001,ECON D001,19,10,11,1,1,2
2019,Spring,"Malek, Ninos",ECON,D001,ECON D001,8,21,9,3,4,2
2019,Spring,"Thomas, Monika",ECON,D001,ECON D001,8,19,10,1,5,5
2019,Spring,"Malek, Ninos",ECON,D001,ECON D001,9,15,15,12,5,0
2019,Spring,"Zill, Stephen",ECON,D001,ECON D001,7,4,12,5,11,3
2019,Spring,"Malek, Ninos",ECON,D001,ECON D001,6,10,8,10,4,0
2019,Spring,"Koshin, Abdullahi",ECON,D001,ECON D001,51,1,0,0,1,0
2019,Spring,"Koshin, Abdullahi",ECON,D001,ECON D001,45,0,0,0,1,5
2019,Spring,"Singh, Ravjeet",ECON,D001,ECON D001,28,17,2,0,0,7
2019,Spring,"Seshadri, Triyakshana",ECON,D001,ECON D001,24,12,6,0,1,10
2019,Spring,"Uy-Barreta, Don",ECON,D001,ECON D001,26,10,5,2,1,1
2019,Spring,"Thomas, Monika",ECON,D001H,ECON D001H,0,0,0,0,,
2019,Spring,"Singh, Ravjeet",ECON,D001H,ECON D001H,3,0,0,0,0,0
2019,Spring,"West, Judith",ECON,D001H,ECON D001H,5,1,0,0,0,0
2019,Spring,"Thomas, Monika",ECON,D001H,ECON D001H,1,0,0,0,0,0
2019,Spring,"Zill, Stephen",ECON,D001H,ECON D001H,0,0,0,0,1,0
2019,Spring,"Brady, John",ECON,D002,ECON D002,4,12,6,2,1,4
2019,Spring,"Thomas, Monika",ECON,D002,ECON D002,10,16,10,1,4,4
2019,Spring,"Malek, Ninos",ECON,D002,ECON D002,16,26,10,1,3,0
2019,Spring,"Singh, Ravjeet",ECON,D002,ECON D002,27,12,4,1,1,3
2019,Spring,"Singh, Ravjeet",ECON,D002,ECON D002,32,12,2,0,0,4
2019,Spring,"Zill, Stephen",ECON,D002,ECON D002,5,10,8,4,10,3
