YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,26,9,1,0,2,2
2015,Fall,"Aarons, Lee",ENGR,D010,ENGR D010,14,9,3,0,4,2
2015,Fall,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,27,13,0,0,0,1
2015,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,19,7,1,0,4,5
2015,Summer,"Zand, Manizheh",ENGR,D010,ENGR D010,16,4,2,0,1,6
2015,Summer,"Zand, Manizheh",ENGR,D010,ENGR D010,14,3,0,0,1,0
2015,Summer,"Esfandyarpour, Rahim",ENGR,D037,ENGR D037,15,10,0,0,0,1
2015,Summer,"Hamel-Bissell, Brendan",ENGR,D037,ENGR D037,15,14,1,0,0,3
2016,Spring,"Zand, Manizheh",ENGR,D010,ENGR D010,30,4,0,0,0,4
2016,Spring,"Manickam, Sathish",ENGR,D035,ENGR D035,4,5,0,0,3,1
2016,Spring,"Lukkoor, Rajashree",ENGR,D037,ENGR D037,24,6,4,0,0,1
2016,Winter,"Zand, Manizheh",ENGR,D010,ENGR D010,22,6,3,2,2,0
2016,Winter,"Aarons, Lee",ENGR,D010,ENGR D010,11,9,3,3,4,2
2016,Winter,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,17,18,1,3,0,0
2016,Winter,"Manickam, Sathish",ENGR,D035,ENGR D035,14,4,1,0,0,1
2016,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,34,5,0,0,0,3
2016,Fall,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,17,7,4,1,1,5
2016,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,19,7,0,1,0,2
2016,Fall,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,25,6,0,0,0,1
2016,Summer,"Zand, Manizheh",ENGR,D010,ENGR D010,31,2,0,1,0,4
2016,Summer,"Zand, Manizheh",ENGR,D037,ENGR D037,10,20,8,0,1,0
2016,Summer,"Lukkoor, Rajashree",ENGR,D037,ENGR D037,27,14,2,0,0,1
2017,Spring,"Zand, Manizheh",ENGR,D010,ENGR D010,27,4,1,0,1,2
2017,Spring,"Manickam, Sathish",ENGR,D035,ENGR D035,9,4,2,0,0,2
2017,Spring,"Zand, Manizheh",ENGR,D037,ENGR D037,13,7,2,0,1,5
2017,Winter,"Kidd, Taylor",ENGR,D010,ENGR D010,13,12,7,0,3,1
2017,Winter,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,23,8,3,0,2,1
2017,Winter,"Manickam, Sathish",ENGR,D035,ENGR D035,14,3,1,0,0,0
2017,Winter,"Kidd, Taylor",ENGR,D037,ENGR D037,16,12,3,2,0,0
2017,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,32,4,1,0,0,0
2017,Fall,"Wang, Huan",ENGR,D010,ENGR D010,4,4,1,3,0,3
2017,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,22,7,2,0,2,1
2017,Fall,"Lukkoor, Rajashree",ENGR,D010,ENGR D010,22,3,2,2,4,1
2017,Summer,"Zand, Manizheh",ENGR,D010,ENGR D010,23,0,1,0,2,1
2017,Summer,"Zand, Manizheh",ENGR,D037,ENGR D037,11,17,2,0,0,1
2017,Summer,"Lukkoor, Rajashree",ENGR,D037,ENGR D037,12,13,5,0,0,0
2018,Spring,"Zand, Manizheh",ENGR,D010,ENGR D010,23,2,1,2,0,3
2018,Spring,"Manickam, Sathish",ENGR,D035,ENGR D035,15,4,0,0,0,3
2018,Spring,"Zand, Manizheh",ENGR,D037,ENGR D037,7,2,7,1,0,4
2018,Winter,"Wang, Huan",ENGR,D010,ENGR D010,5,9,2,2,1,1
2018,Winter,"Wang, Huan",ENGR,D010,ENGR D010,6,9,0,1,4,5
2018,Winter,"Hawes, Anna",ENGR,D010,ENGR D010,18,5,3,1,1,2
2018,Winter,"Lukkoor, Rajashree",ENGR,D037,ENGR D037,14,7,5,1,0,1
2018,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,24,5,2,0,3,4
2018,Fall,"Zand, Manizheh",ENGR,D010,ENGR D010,18,5,2,0,2,4
2018,Summer,"Zand, Manizheh",ENGR,D010,ENGR D010,16,4,7,0,2,0
2018,Summer,"Zand, Manizheh",ENGR,D037,ENGR D037,11,9,5,1,0,0
2018,Summer,"Lukkoor, Rajashree",ENGR,D037,ENGR D037,17,3,0,0,0,0
2019,Spring,"Zand, Manizheh",ENGR,D010,ENGR D010,29,3,1,0,0,0
2019,Winter,"Wang, Huan",ENGR,D037,ENGR D037,26,8,0,0,0,1
2019,Spring,"Zand, Manizheh",ENGR,D010,ENGR D010,18,3,0,0,0,4
2019,Spring,"Manickam, Sathish",ENGR,D035,ENGR D035,18,4,1,0,1,2
2019,Winter,"Ahsan, Salman",ENGR,D010,ENGR D010,14,10,2,1,1,2
2019,Winter,"Ahsan, Salman",ENGR,D010,ENGR D010,6,8,7,2,1,1
