YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Roeder, William",E S,D001,E S D001,31,6,2,0,0,3
2019,Winter,"Wheelehan, Ronald",E S,D001,E S D001,30,7,4,0,2,2
2019,Spring,"Roeder, William",E S,D001,E S D001,28,4,2,0,0,1
2019,Winter,"Roeder, William",E S,D001,E S D001,28,6,2,2,0,0
2019,Winter,"Wheelehan, Ronald",E S,D081,E S D081,27,2,2,1,5,1
2019,Spring,"Roeder, William",E S,D004,E S D004,26,4,2,0,4,1
2019,Winter,"Thorensen, Lynn",E S,D003,E S D003,26,3,1,1,3,2
2019,Spring,"Roeder, William",E S,D001,E S D001,23,6,3,0,1,2
2019,Spring,"Wheelehan, Ronald",E S,D058,E S D058,22,0,2,1,3,2
2019,Winter,"Wheelehan, Ronald",E S,D058,E S D058,22,3,2,1,6,1
2019,Winter,"Roeder, William",E S,D079,E S D079,21,1,4,0,3,1
2019,Winter,"Roeder, William",E S,D004,E S D004,20,5,1,2,1,1
2019,Spring,"Thorensen, Lynn",E S,D003,E S D003,18,8,3,1,3,6
2019,Spring,"Wheelehan, Ronald",E S,D069,E S D069,18,0,2,0,4,2
2019,Winter,"Roeder, William",E S,D001,E S D001,18,10,8,3,2,2
2019,Spring,"De Toro, Alicia",E S,D002,E S D002,14,3,5,4,6,2
2019,Spring,"Thorensen, Lynn",E S,D003,E S D003,14,6,4,3,8,1
2019,Spring,"Staudinger, Jeffery",E S,D006,E S D006,13,8,2,1,4,8
2019,Spring,"Staudinger, Jeffery",E S,D062C,E S D062C,13,3,1,0,2,4
2019,Spring,"Staudinger, Jeffery",E S,D062D,E S D062D,13,4,1,0,1,5
2019,Winter,"Staudinger, Jeffery",E S,D061A,E S D061A,13,5,2,2,4,4
2019,Spring,"Poffenroth, Mary",E S,D001,E S D001,12,13,2,2,7,2
2019,Spring,"Thorensen, Lynn",E S,D003,E S D003,12,7,2,1,1,2
2019,Spring,"Roeder, William",E S,D069A,E S D069A,12,6,0,1,6,6
2019,Winter,"Thorensen, Lynn",E S,D003,E S D003,12,15,2,1,5,2
2019,Winter,"Staudinger, Jeffery",E S,D062A,E S D062A,12,3,1,0,2,4
2019,Spring,"Maniaci, Massimo",E S,D076A,E S D076A,11,4,4,1,9,2
2019,Winter,"De Toro, Alicia",E S,D001,E S D001,11,4,3,0,10,0
2019,Spring,"De Toro, Alicia",E S,D001,E S D001,10,4,0,2,4,1
2019,Spring,"Staudinger, Jeffery",E S,D061B,E S D061B,10,4,1,0,5,6
2019,Winter,"Staudinger, Jeffery",E S,D001,E S D001,9,12,4,1,3,4
2019,Winter,"Staudinger, Jeffery",E S,D062B,E S D062B,9,2,0,0,4,2
2019,Winter,"Maniaci, Massimo",E S,D070,E S D070,9,8,5,3,11,1
