YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Roeder, William",ESCI,D001,ESCI D001,55,8,4,0,1,1
2015,Fall,"De Toro, Alicia",ESCI,D001,ESCI D001,30,2,4,3,6,1
2015,Fall,"Srinivasan, Neela",ESCI,D001,ESCI D001,23,9,1,0,2,4
2015,Fall,"Alderkamp, Anne",ESCI,D001,ESCI D001,28,6,1,3,1,6
2015,Fall,"Williams, Caitlin",ESCI,D001,ESCI D001,28,2,2,0,4,1
2015,Fall,"Nakase, Dana",ESCI,D001,ESCI D001,30,8,3,0,1,2
2015,Fall,"Marquez, Ada",ESCI,D001,ESCI D001,13,7,2,3,0,5
2015,Fall,"Frisbee, Adrienne",ESCI,D001,ESCI D001,20,11,2,0,2,2
2015,Fall,"Williams, Caitlin",ESCI,D001,ESCI D001,21,0,2,2,5,1
2015,Fall,"Sanders, Jana",ESCI,D001,ESCI D001,13,11,3,1,1,7
2015,Fall,"Wenck-Reilly, Brennan",ESCI,D001L,ESCI D001L,7,4,0,0,0,2
2015,Fall,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,23,4,0,0,1,1
2015,Fall,"Wenck-Reilly, Brennan",ESCI,D001L,ESCI D001L,4,1,0,0,0,0
2015,Fall,"De Toro, Alicia",ESCI,D001L,ESCI D001L,26,2,1,0,4,2
2015,Fall,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,13,5,0,0,0,1
2015,Fall,"Phillips, Ryan",ESCI,D001L,ESCI D001L,29,4,0,0,1,0
2015,Fall,"Zhu, He",ESCI,D001L,ESCI D001L,9,5,2,0,1,0
2015,Fall,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,25,1,0,0,0,1
2015,Fall,"Martin, Miriam",ESCI,D019,ESCI D019,11,5,1,1,0,3
2015,Fall,"Martinez, Dianna",ESCI,D019,ESCI D019,35,2,2,0,1,0
2015,Fall,"Martinez, Dianna",ESCI,D019,ESCI D019,26,4,0,0,0,2
2015,Fall,"Poffenroth, Mary",ESCI,D019,ESCI D019,3,2,5,0,6,5
2015,Fall,"Poffenroth, Mary",ESCI,D019,ESCI D019,3,3,2,0,3,2
2015,Fall,"Phillips, Ryan",ESCI,D020,ESCI D020,11,6,5,0,1,4
2015,Fall,"Srinivasan, Neela",ESCI,D054,ESCI D054,5,5,0,0,0,1
2015,Fall,"Phillips, Ryan",ESCI,D082,ESCI D082,7,1,1,0,0,1
2015,Fall,"Phillips, Ryan",ESCI,D092,ESCI D092,14,0,0,0,1,0
2015,Summer,"McCluskey, Joshua",ESCI,D001,ESCI D001,15,9,4,0,1,0
2015,Summer,"Frisbee, Adrienne",ESCI,D001,ESCI D001,8,2,2,0,0,0
2015,Summer,"Sanders, Jana",ESCI,D001,ESCI D001,18,6,0,1,0,2
2015,Summer,"Sanders, Jana",ESCI,D001,ESCI D001,12,4,2,0,3,8
2015,Summer,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,25,6,0,0,0,1
2015,Summer,"Phillips, Ryan",ESCI,D001L,ESCI D001L,24,2,0,0,3,1
2015,Summer,"Frisbee, Adrienne",ESCI,D019,ESCI D019,11,2,0,0,0,1
2015,Summer,"Phillips, Ryan",ESCI,D087,ESCI D087,6,0,0,0,0,0
2015,Summer,"Phillips, Ryan",ESCI,D092,ESCI D092,12,1,0,0,0,1
2016,Spring,"De Toro, Alicia",ESCI,D001,ESCI D001,36,11,1,2,5,1
2016,Spring,"Frisbee, Adrienne",ESCI,D001,ESCI D001,35,12,2,0,1,0
2016,Spring,"Nakase, Dana",ESCI,D001,ESCI D001,48,4,0,0,0,0
2016,Spring,"Martin, Miriam",ESCI,D001,ESCI D001,24,5,5,1,0,5
2016,Spring,"Martin, Miriam",ESCI,D001,ESCI D001,19,4,10,4,1,2
2016,Spring,"Bordignon, Guido",ESCI,D001,ESCI D001,14,6,10,0,5,3
2016,Spring,"Marquez, Ada",ESCI,D001,ESCI D001,13,10,3,3,1,4
2016,Spring,"Sanders, Jana",ESCI,D001,ESCI D001,13,7,7,0,1,5
2016,Spring,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,28,1,0,0,1,1
2016,Spring,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,38,0,0,0,0,1
2016,Spring,"De Toro, Alicia",ESCI,D001L,ESCI D001L,31,6,3,1,1,0
2016,Spring,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,30,0,0,0,0,3
2016,Spring,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,27,2,0,0,3,1
2016,Spring,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,29,0,0,0,2,1
2016,Spring,"Voelkel, Sharene",ESCI,D019,ESCI D019,28,0,1,0,0,1
2016,Spring,"Voelkel, Sharene",ESCI,D019,ESCI D019,31,3,0,0,0,0
2016,Spring,"Poffenroth, Mary",ESCI,D019,ESCI D019,15,5,2,0,0,0
2016,Spring,"Poffenroth, Mary",ESCI,D019,ESCI D019,17,4,2,0,2,2
2016,Spring,"Phillips, Ryan",ESCI,D030,ESCI D030,8,4,6,0,3,3
2016,Spring,"Srinivasan, Neela",ESCI,D055,ESCI D055,6,2,5,0,0,1
2016,Spring,"Andonian, Krikor",ESCI,D056,ESCI D056,9,5,1,0,0,0
2016,Spring,"Srinivasan, Neela",ESCI,D058,ESCI D058,2,3,1,0,0,1
2016,Spring,"Hamidi, Ridha",ESCI,D061,ESCI D061,10,5,0,1,3,2
2016,Spring,"De Toro, Alicia",ESCI,D077,ESCI D077,2,0,0,0,0,0
2016,Spring,"De Toro, Alicia",ESCI,D077X,ESCI D077X,1,0,0,0,0,0
2016,Spring,"De Toro, Alicia",ESCI,D077Y,ESCI D077Y,1,0,0,0,0,0
2016,Spring,"Phillips, Ryan",ESCI,D092,ESCI D092,13,0,0,0,0,0
2016,Winter,"Frisbee, Adrienne",ESCI,D001,ESCI D001,25,4,6,5,3,3
2016,Winter,"Frisbee, Adrienne",ESCI,D001,ESCI D001,23,11,1,2,3,2
2016,Winter,"Nakase, Dana",ESCI,D001,ESCI D001,39,6,0,2,0,3
2016,Winter,"Nakase, Dana",ESCI,D001,ESCI D001,38,6,5,0,1,1
2016,Winter,"Sullivan, Kristin",ESCI,D001,ESCI D001,28,9,1,1,1,1
2016,Winter,"Sullivan, Kristin",ESCI,D001,ESCI D001,2,0,0,0,0,0
2016,Winter,"Andonian, Krikor",ESCI,D001,ESCI D001,15,10,5,0,3,4
2016,Winter,"Srinivasan, Neela",ESCI,D001,ESCI D001,15,17,3,0,3,2
2016,Winter,"De Toro, Alicia",ESCI,D001,ESCI D001,36,10,1,1,3,1
2016,Winter,"Marquez, Ada",ESCI,D001,ESCI D001,16,10,4,0,0,5
2016,Winter,"Sanders, Jana",ESCI,D001,ESCI D001,12,9,7,1,5,6
2016,Winter,"De Toro, Alicia",ESCI,D001L,ESCI D001L,16,6,2,0,7,2
2016,Winter,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,15,0,0,0,1,1
2016,Winter,"Wenck-Reilly, Brennan",ESCI,D001L,ESCI D001L,10,3,3,0,1,1
2016,Winter,"Staudinger, Jeffery",ESCI,D001L,ESCI D001L,14,8,5,0,0,1
2016,Winter,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,24,0,0,0,0,0
2016,Winter,"McCluskey, Joshua",ESCI,D001L,ESCI D001L,20,0,0,0,0,1
2016,Winter,"Phillips, Ryan",ESCI,D001L,ESCI D001L,29,2,0,0,1,1
2016,Winter,"Wenck-Reilly, Brennan",ESCI,D001L,ESCI D001L,17,6,5,0,2,1
2016,Winter,"Voelkel, Sharene",ESCI,D019,ESCI D019,34,0,0,0,0,0
2016,Winter,"Voelkel, Sharene",ESCI,D019,ESCI D019,26,0,0,0,0,0
2016,Winter,"Poffenroth, Mary",ESCI,D019,ESCI D019,14,4,2,0,5,2
2016,Winter,"Poffenroth, Mary",ESCI,D019,ESCI D019,13,3,3,1,7,2
2016,Winter,"Phillips, Ryan",ESCI,D021,ESCI D021,8,3,5,0,0,0
2016,Winter,"Phillips, Ryan",ESCI,D050,ESCI D050,13,7,5,1,0,0
2016,Winter,"De Toro, Alicia",ESCI,D077X,ESCI D077X,1,0,0,0,0,0
2016,Winter,"Phillips, Ryan",ESCI,D090,ESCI D090,20,0,0,0,0,0
2016,Fall,"Greene, Valerie",ESCI,D001,ESCI D001,16,11,10,3,3,3
2016,Fall,"Greene, Valerie",ESCI,D001,ESCI D001,11,10,6,1,2,6
2016,Fall,"Ratsirarson, Helian",ESCI,D001,ESCI D001,10,10,7,1,2,4
2016,Fall,"Frisbee, Adrienne",ESCI,D001,ESCI D001,39,7,1,2,0,0
2016,Fall,"Frisbee, Adrienne",ESCI,D001,ESCI D001,30,14,0,3,2,0
2016,Fall,"Alderkamp, Anne",ESCI,D001,ESCI D001,26,7,0,0,2,2
2016,Fall,"Sanders, Jana",ESCI,D001,ESCI D001,7,8,4,3,2,7
