YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Marchiano, Michelle",ESL,D005,ESL D005,0,2,8,4,1,1
2015,Fall,"Marianetti, Noel",ESL,D005,ESL D005,9,10,3,0,0,0
2015,Fall,"Thistlethwaite, Ann",ESL,D005,ESL D005,2,7,3,0,0,0
2015,Fall,"Nguyen, Lynh",ESL,D005,ESL D005,10,9,5,0,0,0
2015,Summer,"Cabral, Lucinda",ESL,D005,ESL D005,0,0,3,1,0,15
2015,Summer,"Carrell, Tanya",ESL,D005,ESL D005,0,0,3,2,1,1
2015,Summer,"Marin, Maria",ESL,D005,ESL D005,6,3,1,1,0,6
2015,Fall,"Ormeno, Valerie",ESL,D200,ESL D200,8,7,2,0,2,5
2015,Fall,"Wong, Letty",ESL,D234,ESL D234,4,7,5,2,1,1
2015,Fall,"Boerner, Karen",ESL,D234,ESL D234,8,9,4,0,2,2
2015,Fall,"Molino-Torres, Alejandro",ESL,D234,ESL D234,3,9,11,1,0,0
2015,Summer,"Ormeno, Valerie",ESL,D234,ESL D234,13,11,0,0,0,0
2015,Fall,"Flores, Kathy",ESL,D244,ESL D244,3,7,4,0,6,2
2015,Fall,"Kohnhorst, Lisa",ESL,D244,ESL D244,4,9,5,1,0,1
2015,Fall,"Betlach, Marcy",ESL,D244,ESL D244,1,2,6,0,7,8
2015,Fall,"Hamilton, Webster",ESL,D244,ESL D244,7,13,2,1,0,1
2015,Fall,"Goodwin, Mary Ellen",ESL,D244,ESL D244,7,11,2,2,0,0
2015,Summer,"Betlach, Marcy",ESL,D244,ESL D244,1,4,1,0,0,6
2015,Summer,"Topalovic, Jasmina",ESL,D244,ESL D244,1,2,5,0,0,1
2015,Summer,"Ruumet, Marika",ESL,D244,ESL D244,1,5,4,3,0,3
2015,Fall,"Lee, Andrea",ESL,D251,ESL D251,5,5,2,0,2,2
2015,Fall,"Heistein, Gloria",ESL,D251,ESL D251,5,6,3,0,1,1
2015,Fall,"Norman, Craig",ESL,D251,ESL D251,5,3,3,1,0,1
2015,Fall,"Heistein, Gloria",ESL,D251,ESL D251,7,8,1,0,1,3
