YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2018,Spring,"Chiriaeva, Larissa",GERM,D002,GERM D002,11,4,2,0,0,5
2018,Spring,"Ahrends, Maike",GERM,D003,GERM D003,27,3,0,2,1,3
2018,Winter,"Chiriaeva, Larissa",GERM,D001,GERM D001,9,9,3,0,5,9
2018,Winter,"Ahrends, Maike",GERM,D002,GERM D002,28,4,4,0,2,1
2018,Fall,"Ahrends, Maike",GERM,D001,GERM D001,18,2,0,0,3,0
2018,Fall,"Chiriaeva, Larissa",GERM,D001,GERM D001,16,3,2,0,4,1
2019,Winter,"Ahrends, Maike",GERM,D002,GERM D002,19,4,1,0,1,2
2019,Spring,"Ahrends, Maike",GERM,D003,GERM D003,16,2,2,0,1,2
2019,Winter,"Chiriaeva, Larissa",GERM,D001,GERM D001,8,6,0,0,2,2
2019,Spring,"Chiriaeva, Larissa",GERM,D002,GERM D002,7,4,2,1,1,3
2017,Spring,"Chiriaeva, Larissa",GERM,D002,GERM D002,5,9,1,0,3,3
2017,Spring,"Ahrends, Maike",GERM,D003,GERM D003,6,14,1,0,1,0
2017,Winter,"Chiriaeva, Larissa",GERM,D001,GERM D001,8,4,3,0,4,1
2017,Winter,"Chiriaeva, Larissa",GERM,D001,GERM D001,13,2,3,0,5,8
2017,Winter,"Ahrends, Maike",GERM,D002,GERM D002,14,11,0,0,3,0
2017,Fall,"Ahrends, Maike",GERM,D001,GERM D001,7,6,2,0,2,2
2017,Fall,"Ahrends, Maike",GERM,D001,GERM D001,7,2,1,0,9,2
2017,Fall,"Ahrends, Maike",GERM,D001,GERM D001,21,1,1,0,3,4
2017,Fall,"Chiriaeva, Larissa",GERM,D001,GERM D001,9,5,2,0,2,5
2016,Spring,"Ahrends, Maike",GERM,D003,GERM D003,15,7,3,0,1,2
2016,Winter,"Ahrends, Maike",GERM,D001,GERM D001,20,9,1,0,4,2
2016,Winter,"Chiriaeva, Larissa",GERM,D002,GERM D002,4,4,5,0,3,3
2016,Winter,"Ahrends, Maike",GERM,D002,GERM D002,17,8,1,0,1,5
2016,Fall,"Ahrends, Maike",GERM,D001,GERM D001,11,6,3,1,1,6
2016,Fall,"Ahrends, Maike",GERM,D001,GERM D001,18,4,3,2,2,3
2016,Fall,"Ahrends, Maike",GERM,D004,GERM D004,14,5,2,0,1,0
2015,Fall,"Chiriaeva, Larissa",GERM,D001,GERM D001,7,8,6,0,3,2
2015,Fall,"Ahrends, Maike",GERM,D001,GERM D001,19,6,2,0,2,3
2015,Fall,"Ahrends, Maike",GERM,D001,GERM D001,18,7,3,0,3,4
2015,Fall,"Ahrends, Maike",GERM,D004,GERM D004,14,5,0,0,1,0
