YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,22,4,1,1,3,2
2015,Fall,"Kragalott, Arden",HLTH,D051,HLTH D051,6,11,1,0,3,2
2015,Fall,"Donahue, Mary",HLTH,D057A,HLTH D057A,15,6,1,0,0,4
2015,Fall,"Donahue, Mary",HLTH,D057E,HLTH D057E,0,0,0,0,0,2
2015,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,25,5,2,3,0,2
2016,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,32,2,2,0,1,1
2016,Spring,"Kragalott, Arden",HLTH,D051,HLTH D051,11,8,6,2,3,2
2016,Spring,"Donahue, Mary",HLTH,D057A,HLTH D057A,20,1,0,0,1,1
2016,Spring,"Donahue, Mary",HLTH,D057E,HLTH D057E,0,0,0,0,0,5
2016,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,30,7,0,0,0,2
2016,Winter,"Kragalott, Arden",HLTH,D051,HLTH D051,8,5,11,1,1,1
2016,Winter,"Donahue, Mary",HLTH,D057A,HLTH D057A,23,3,0,0,1,2
2016,Winter,"Donahue, Mary",HLTH,D057E,HLTH D057E,0,0,0,0,0,6
2016,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,27,2,3,2,1,3
2016,Fall,"Donahue, Mary",HLTH,D057A,HLTH D057A,14,4,1,1,1,2
2016,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,26,8,0,0,1,1
2016,Summer,"Kragalott, Arden",HLTH,D051,HLTH D051,8,2,1,2,0,2
2017,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,30,3,1,0,2,1
2017,Spring,"Donahue, Mary",HLTH,D057A,HLTH D057A,12,5,0,0,1,7
2017,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,23,6,1,0,1,3
2017,Winter,"Donahue, Mary",HLTH,D057A,HLTH D057A,17,5,1,1,1,2
2017,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,28,10,0,0,2,3
2017,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,17,11,3,1,5,2
2017,Fall,"Donahue, Mary",HLTH,D057A,HLTH D057A,14,3,0,0,0,5
2017,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,19,4,5,0,3,6
2018,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,27,5,1,1,0,3
2018,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,18,5,2,1,4,2
2018,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,20,7,1,1,5,2
2018,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,17,6,5,0,3,3
2018,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,16,5,3,1,8,3
2018,Spring,"Donahue, Mary",HLTH,D057A,HLTH D057A,15,0,1,1,0,4
2018,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,26,2,4,0,2,3
2018,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,20,4,1,1,6,3
2018,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,20,4,2,2,4,3
2018,Winter,"Donahue, Mary",HLTH,D057A,HLTH D057A,23,2,0,0,1,7
2018,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,33,2,2,0,0,2
2018,Fall,"Liechty, Barbara",HLTH,D021,HLTH D021,23,7,2,2,1,2
2018,Fall,"Donahue, Mary",HLTH,D057A,HLTH D057A,16,1,0,0,0,6
2018,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,26,1,1,0,3,3
2018,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,20,7,1,1,4,4
2018,Summer,"Liechty, Barbara",HLTH,D021,HLTH D021,21,6,5,0,1,1
2019,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,30,3,1,1,2,4
2019,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,29,5,2,0,2,1
2019,Spring,"Liechty, Barbara",HLTH,D021,HLTH D021,27,3,2,1,1,3
2019,Winter,"Liechty, Barbara",HLTH,D021,HLTH D021,25,5,2,1,0,1
2019,Winter,"Donahue, Mary",HLTH,D057A,HLTH D057A,13,0,0,0,0,4
2019,Spring,"Donahue, Mary",HLTH,D057A,HLTH D057A,12,1,1,0,1,2
