YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Gupta, Nilu",HNDI,D003,HNDI D003,25,2,0,0,0,0
2019,Winter,"Gupta, Nilu",HNDI,D002,HNDI D002,23,2,0,0,0,2
2018,Spring,"Gupta, Nilu",HNDI,D003,HNDI D003,25,0,0,0,0,1
2018,Winter,"Gupta, Nilu",HNDI,D002,HNDI D002,26,1,0,0,0,2
2018,Fall,"Gupta, Nilu",HNDI,D001,HNDI D001,31,2,0,0,0,5
2017,Spring,"Gupta, Nilu",HNDI,D003,HNDI D003,33,2,0,0,0,0
2017,Winter,"Gupta, Nilu",HNDI,D002,HNDI D002,19,12,0,0,0,0
2017,Fall,"Gupta, Nilu",HNDI,D001,HNDI D001,18,14,0,0,0,2
2016,Spring,"Gupta, Nilu",HNDI,D003,HNDI D003,28,7,0,0,0,0
2016,Winter,"Gupta, Nilu",HNDI,D002,HNDI D002,23,11,0,0,0,3
2016,Fall,"Gupta, Nilu",HNDI,D001,HNDI D001,26,14,0,0,0,0
2015,Fall,"Gupta, Nilu",HNDI,D001,HNDI D001,28,4,0,0,0,3
