YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Erickson, Susan",HTEC,D060A,HTEC D060A,50,15,11,0,9,10
2019,Spring,"Erickson, Susan",HTEC,D060A,HTEC D060A,39,14,7,4,16,10
2019,Winter,"Shurtliff, Roy",HTEC,D073,HTEC D073,26,9,3,0,2,2
2019,Spring,"Sherlekar, Sumedha",HTEC,D060H,HTEC D060H,25,9,2,0,0,5
2019,Spring,"Shurtliff, Roy",HTEC,D073,HTEC D073,25,9,6,0,0,1
2019,Winter,"Miramontes, Maureen",HTEC,D060A,HTEC D060A,20,10,3,3,2,7
2019,Spring,"Shurtliff, Roy",HTEC,D061,HTEC D061,14,8,0,0,2,0
2019,Spring,"Miramontes, Maureen",HTEC,D060A,HTEC D060A,13,9,3,1,3,5
2019,Winter,"Williams, Patricia",HTEC,D091,HTEC D091,13,8,5,1,2,5
2019,Winter,"Shurtliff, Roy",HTEC,D061,HTEC D061,12,6,2,0,0,1
2019,Winter,"Cabayan, Sarah",HTEC,D085C,HTEC D085C,11,14,1,0,0,0
2019,Spring,"Shurtliff, Roy",HTEC,D074A,HTEC D074A,8,2,0,0,0,0
2019,Spring,"Rangwala, Sunita",HTEC,D076A,HTEC D076A,8,1,0,0,1,2
2019,Spring,"Duong, Shinny",HTEC,D084A,HTEC D084A,8,11,4,0,0,9
2019,Spring,"Miramontes, Maureen",HTEC,D094,HTEC D094,8,8,3,0,0,0
2019,Winter,"Schmitz, Susan",HTEC,D060G,HTEC D060G,8,9,5,1,0,1
2019,Spring,"Miramontes, Maureen",HTEC,D064A,HTEC D064A,7,9,10,5,4,3
2019,Spring,"Miramontes, Maureen",HTEC,D110,HTEC D110,7,0,0,0,0,1
2019,Spring,"Lavin, Mary",HTEC,D064B,HTEC D064B,6,9,10,1,0,0
2019,Spring,"Miller, Benjamin",HTEC,D084,HTEC D084,6,6,0,0,0,5
2019,Winter,"Buchner, Patricia",HTEC,D083,HTEC D083,6,12,2,2,0,2
2019,Winter,"Miramontes, Maureen",HTEC,D095B,HTEC D095B,6,3,0,0,2,0
2019,Spring,"Miramontes, Maureen",HTEC,D095B,HTEC D095B,5,10,1,0,0,0
2019,Winter,"Lavin, Mary",HTEC,D064B,HTEC D064B,5,10,8,2,0,4
2019,Winter,"Erickson, Susan",HTEC,D071,HTEC D071,5,8,1,0,1,1
2019,Winter,"Wagner, Deborah",HTEC,D085A,HTEC D085A,5,19,2,0,0,0
2019,Spring,"Miramontes, Maureen",HTEC,D095A,HTEC D095A,4,1,0,0,0,0
2019,Spring,"Miramontes, Maureen",HTEC,D096A,HTEC D096A,4,1,0,0,0,0
2019,Spring,"Buchner, Patricia",HTEC,D180,HTEC D180,4,0,0,0,0,0
2019,Spring,"Buchner, Patricia",HTEC,D183,HTEC D183,4,0,0,0,0,0
2019,Winter,"Russell, Juanita",HTEC,D064A,HTEC D064A,4,7,10,3,1,4
2019,Winter,"Moon, Eric",HTEC,D082,HTEC D082,4,3,5,0,0,2
2019,Winter,"Buchner, Patricia",HTEC,D083A,HTEC D083A,4,12,3,3,0,2
2019,Winter,"Kim, Kyounghee",HTEC,D093,HTEC D093,4,12,8,0,0,2
2019,Winter,"Miramontes, Maureen",HTEC,D110,HTEC D110,4,0,0,0,0,0
2019,Winter,"Buchner, Patricia",HTEC,D184,HTEC D184,4,0,0,0,0,0
2019,Winter,"Buchner, Patricia",HTEC,D185,HTEC D185,4,0,0,0,0,0
2019,Spring,"Cabayan, Sarah",HTEC,D085D,HTEC D085D,3,8,1,0,0,1
2019,Spring,"Miramontes, Maureen",HTEC,D096F,HTEC D096F,3,0,0,0,0,0
2019,Spring,"Buchner, Patricia",HTEC,D184,HTEC D184,3,0,0,0,0,0
2019,Spring,"Buchner, Patricia",HTEC,D185,HTEC D185,3,0,0,0,0,0
2019,Winter,"Miramontes, Maureen",HTEC,D068,HTEC D068,3,0,0,0,0,0
