YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Hernando, Herminio",HUMA,D010,HUMA D010,41,4,2,0,7,0
2019,Spring,"Hernando, Herminio",HUMA,D010,HUMA D010,38,1,0,1,4,2
2019,Spring,"Alexander, Robert",HUMA,D010,HUMA D010,32,7,1,0,0,1
2019,Spring,"Woo, Shireen",HUMA,D030,HUMA D030,27,3,0,0,0,4
2019,Spring,"Wethington, Pauline",HUMA,D030,HUMA D030,27,7,3,0,1,1
2019,Spring,"Glapion, Kevin",HUMA,D010,HUMA D010,26,12,3,2,2,4
2019,Spring,"Huynh, Ky-Duyen",HUMA,D030,HUMA D030,24,7,3,0,2,0
2019,Winter,"Wethington, Pauline",HUMA,D030,HUMA D030,23,6,2,0,2,0
2019,Winter,"Huynh, Ky-Duyen",HUMA,D030,HUMA D030,22,5,0,0,3,1
2019,Spring,"Hughes, Melinda",HUMA,D020,HUMA D020,21,3,3,0,3,2
2019,Spring,"Hernando, Herminio",HUMA,D020,HUMA D020,18,11,3,0,5,0
2019,Winter,"Glapion, Kevin",HUMA,D010,HUMA D010,17,11,6,1,7,3
2019,Winter,"Joplin, Natasha",HUMA,D010,HUMA D010,17,15,6,0,7,7
2019,Winter,"Alexander, Robert",HUMA,D010,HUMA D010,16,15,16,0,3,2
2019,Winter,"Hughes, Melinda",HUMA,D020,HUMA D020,16,1,0,0,6,1
2019,Spring,"Wethington, Pauline",HUMA,D020,HUMA D020,14,7,2,0,11,2
2019,Spring,"Joplin, Natasha",HUMA,D010,HUMA D010,13,15,11,3,8,4
2019,Winter,"Wethington, Pauline",HUMA,D020,HUMA D020,13,12,2,0,3,5
2019,Winter,"Inoue, Betty",HUMA,D030,HUMA D030,13,6,5,1,4,4
2019,Spring,"Jackler, Frances",HUMA,D010,HUMA D010,12,5,7,2,2,7
2019,Winter,"Joplin, Natasha",HUMA,D010,HUMA D010,8,16,13,4,7,4
2019,Winter,"Glapion, Kevin",HUMA,D010,HUMA D010,5,13,3,2,4,5
2019,Spring,"Jackler, Frances",HUMA,D010H,HUMA D010H,0,0,0,0,,
2018,Spring,"Glapion, Kevin",HUMA,D010,HUMA D010,23,12,5,3,1,3
2018,Spring,"Pierre, Adrienne",HUMA,D010,HUMA D010,12,5,8,2,7,4
