YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Berney, Apryl",HUMI,D001,HUMI D001,19,21,19,3,8,6
2015,Fall,"Berney, Apryl",HUMI,D001,HUMI D001,28,25,10,1,4,4
2015,Fall,"Clinchard, Lori",HUMI,D001,HUMI D001,43,15,7,5,4,6
2015,Fall,"White, Wendy",HUMI,D001,HUMI D001,9,6,1,4,14,4
2015,Fall,"Clinchard, Lori",HUMI,D001,HUMI D001,48,10,5,5,3,7
2015,Fall,"Clinchard, Lori",HUMI,D001,HUMI D001,49,17,10,1,4,2
2015,Fall,"Shaw, Janet",HUMI,D001,HUMI D001,13,11,2,2,6,3
2015,Fall,"Mischke, John",HUMI,D001,HUMI D001,41,19,9,1,4,3
2015,Fall,"Rueda, Alysia",HUMI,D001,HUMI D001,11,7,3,5,5,3
2015,Fall,"Jackman, Rashi",HUMI,D001,HUMI D001,36,3,1,2,2,1
2015,Fall,"Hoffman, Barbara",HUMI,D001,HUMI D001,26,12,9,4,7,10
2015,Fall,"Jackman, Rashi",HUMI,D001,HUMI D001,27,3,2,1,5,1
2015,Fall,"Mischke, John",HUMI,D001,HUMI D001,13,8,1,0,1,5
2015,Fall,"Rueda, Alysia",HUMI,D001,HUMI D001,15,2,3,2,7,5
2015,Fall,"Rueda, Alysia",HUMI,D001,HUMI D001,17,1,2,0,5,4
2015,Fall,"Hoffman, Barbara",HUMI,D001,HUMI D001,18,20,7,1,4,3
2015,Fall,"Clinchard, Lori",HUMI,D001H,HUMI D001H,2,0,0,0,0,0
2015,Fall,"Clinchard, Lori",HUMI,D001H,HUMI D001H,3,0,0,0,0,0
2015,Fall,"Clinchard, Lori",HUMI,D001H,HUMI D001H,1,0,0,0,0,0
2015,Fall,"White, Wendy",HUMI,D005,HUMI D005,10,3,1,1,6,9
2015,Fall,"Galindo, Javier",HUMI,D006,HUMI D006,8,9,12,3,5,0
2015,Fall,"Ramsey, Raeann",HUMI,D006,HUMI D006,13,11,5,0,3,5
