YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Dubarry, Michele",LING,D001,LING D001,18,10,4,3,2,7
2019,Spring,"Board Liljenstolpe, Rebecca",LING,D001,LING D001,15,11,4,0,2,11
2019,Spring,"Dubarry, Michele",LING,D001,LING D001,5,5,3,4,2,3
2018,Spring,"Dubarry, Michele",LING,D001,LING D001,22,12,6,0,1,7
2018,Winter,"Dubarry, Michele",LING,D001,LING D001,14,10,5,2,3,7
2018,Fall,"Dubarry, Michele",LING,D001,LING D001,12,9,5,2,5,4
2017,Spring,"Dubarry, Michele",LING,D001,LING D001,7,12,8,2,7,7
2017,Winter,"Board Liljenstolpe, Rebecca",LING,D001,LING D001,12,12,3,3,4,9
2017,Fall,"Dubarry, Michele",LING,D001,LING D001,9,7,5,3,2,11
2016,Spring,"Board Liljenstolpe, Rebecca",LING,D001,LING D001,14,9,4,1,1,10
2016,Winter,"Lombardi, Amy",LING,D001,LING D001,22,10,8,0,3,4
2016,Fall,"Dubarry, Michele",LING,D001,LING D001,13,7,1,1,5,4
2015,Fall,"Lombardi, Amy",LING,D001,LING D001,23,7,3,0,4,5
