YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Liu, Hua-Fu",MAND,D001,MAND D001,30,2,1,0,0,2
2015,Fall,"Juan, Shirley",MAND,D001,MAND D001,13,8,0,0,3,1
2015,Fall,"Lai, Frances",MAND,D001,MAND D001,19,5,1,2,2,5
2015,Fall,"Chiu, Judy",MAND,D001,MAND D001,5,4,1,0,4,3
2015,Fall,"Schnittgrund, Xiaomei",MAND,D001,MAND D001,22,3,1,0,1,3
2015,Fall,"Schnittgrund, Xiaomei",MAND,D001,MAND D001,19,3,0,0,6,4
2015,Fall,"Liu, Hua-Fu",MAND,D002,MAND D002,29,2,0,0,0,4
2015,Fall,"Lai, Frances",MAND,D003,MAND D003,13,3,1,0,2,3
2015,Fall,"Liu, Hua-Fu",MAND,D004,MAND D004,39,1,1,0,0,1
2016,Spring,"Juan, Shirley",MAND,D001,MAND D001,23,4,1,0,5,2
2016,Spring,"Phung, April",MAND,D001,MAND D001,23,5,1,1,0,7
2016,Spring,"Liu, Hua-Fu",MAND,D002,MAND D002,40,4,0,0,1,0
2016,Spring,"Liu, Hua-Fu",MAND,D003,MAND D003,36,4,0,0,1,2
2016,Spring,"Schnittgrund, Xiaomei",MAND,D003,MAND D003,26,4,1,0,4,1
2016,Spring,"Liu, Hua-Fu",MAND,D006,MAND D006,33,2,0,0,2,3
2016,Winter,"Liu, Hua-Fu",MAND,D001,MAND D001,35,0,0,0,0,5
2016,Winter,"Juan, Shirley",MAND,D001,MAND D001,15,8,0,0,4,4
2016,Winter,"Liu, Hua-Fu",MAND,D002,MAND D002,26,0,1,1,2,1
2016,Winter,"Lai, Frances",MAND,D002,MAND D002,15,4,1,0,0,1
2016,Winter,"Schnittgrund, Xiaomei",MAND,D002,MAND D002,23,4,1,0,2,4
2016,Winter,"Liu, Hua-Fu",MAND,D005,MAND D005,40,1,0,0,0,1
2016,Fall,"Liu, Hua-Fu",MAND,D001,MAND D001,28,2,1,0,0,1
2016,Fall,"Lai, Frances",MAND,D001,MAND D001,12,2,0,0,0,5
2016,Fall,"Lai, Frances",MAND,D001,MAND D001,20,3,1,0,1,5
2016,Fall,"Schnittgrund, Xiaomei",MAND,D001,MAND D001,16,2,1,0,9,3
2016,Fall,"Schnittgrund, Xiaomei",MAND,D001,MAND D001,18,4,1,0,5,5
2016,Fall,"Juan, Shirley",MAND,D002,MAND D002,17,5,0,0,0,0
2016,Fall,"Liu, Hua-Fu",MAND,D003,MAND D003,31,5,0,0,1,4
2016,Fall,"Liu, Hua-Fu",MAND,D004,MAND D004,41,3,0,0,0,1
2017,Spring,"Lai, Frances",MAND,D001,MAND D001,22,1,1,0,0,7
2017,Spring,"Juan, Shirley",MAND,D001,MAND D001,17,3,1,0,2,7
2017,Spring,"Liu, Hua-Fu",MAND,D002,MAND D002,39,1,0,0,1,1
2017,Spring,"Liu, Hua-Fu",MAND,D003,MAND D003,37,3,0,0,0,0
2017,Spring,"Schnittgrund, Xiaomei",MAND,D003,MAND D003,39,3,1,0,2,0
2017,Spring,"Liu, Hua-Fu",MAND,D006,MAND D006,48,1,0,0,0,2
2017,Winter,"Liu, Hua-Fu",MAND,D001,MAND D001,40,0,0,0,0,3
2017,Winter,"Juan, Shirley",MAND,D001,MAND D001,18,3,0,0,6,2
2017,Winter,"Liu, Hua-Fu",MAND,D002,MAND D002,32,0,0,0,1,1
2017,Winter,"Lai, Frances",MAND,D002,MAND D002,18,3,0,0,0,7
2017,Winter,"Schnittgrund, Xiaomei",MAND,D002,MAND D002,19,4,1,0,1,2
2017,Winter,"Liu, Hua-Fu",MAND,D005,MAND D005,48,0,1,0,2,1
2017,Fall,"Liu, Hua-Fu",MAND,D001,MAND D001,31,3,0,0,0,2
2017,Fall,"Lai, Frances",MAND,D001,MAND D001,20,2,2,0,0,7
2017,Fall,"Juan, Shirley",MAND,D001,MAND D001,13,4,0,0,6,3
2017,Fall,"Schnittgrund, Xiaomei",MAND,D001,MAND D001,19,2,2,0,5,1
2017,Fall,"Lai, Frances",MAND,D001,MAND D001,17,2,0,0,2,6
2017,Fall,"Phung, April",MAND,D002,MAND D002,10,5,1,0,0,0
2017,Fall,"Liu, Hua-Fu",MAND,D003,MAND D003,43,0,0,0,1,1
2017,Fall,"Liu, Hua-Fu",MAND,D004,MAND D004,47,1,1,0,0,2
2018,Spring,"Lai, Frances",MAND,D001,MAND D001,22,4,0,0,2,3
2018,Spring,"Phung, April",MAND,D001,MAND D001,6,3,1,2,0,4
2018,Spring,"Liu, Hua-Fu",MAND,D002,MAND D002,39,2,0,0,0,2
2018,Spring,"Liu, Hua-Fu",MAND,D003,MAND D003,38,3,2,0,0,1
2018,Spring,"Schnittgrund, Xiaomei",MAND,D003,MAND D003,31,5,1,0,1,4
2018,Spring,"Liu, Hua-Fu",MAND,D006,MAND D006,49,2,0,0,1,0
2018,Winter,"Liu, Hua-Fu",MAND,D001,MAND D001,30,3,1,0,1,2
2018,Winter,"Juan, Shirley",MAND,D001,MAND D001,10,11,5,1,1,1
2018,Winter,"Liu, Hua-Fu",MAND,D002,MAND D002,25,3,0,0,0,3
2018,Winter,"Lai, Frances",MAND,D002,MAND D002,18,7,0,0,0,3
2018,Winter,"Schnittgrund, Xiaomei",MAND,D002,MAND D002,21,3,1,0,0,3
2018,Winter,"Liu, Hua-Fu",MAND,D005,MAND D005,57,1,0,0,0,1
2018,Fall,"Liu, Hua-Fu",MAND,D001,MAND D001,30,1,0,0,4,0
