YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Singh, Kulwant",P E,D04XX,P E D04XX,5,0,0,0,0,0
2019,Winter,"Singh, Kulwant",P E,D04XX,P E D04XX,5,0,0,0,0,0
2019,Spring,"Altman, Danielle",P E,D32JX,P E D32JX,4,0,0,0,1,0
2019,Winter,"Raich, Erick",P E,D047M,P E D047M,4,0,0,0,0,0
2019,Winter,"Allen, Michael",P E,D44WX,P E D44WX,4,8,0,0,0,0
2019,Spring,"Owiesny, Cheryl",P E,D032S,P E D032S,3,1,0,0,0,0
2019,Winter,"Damjanovic, Jason",P E,D44MX,P E D44MX,3,0,0,0,0,0
2019,Winter,"Mattis, Nicholas",P E,D046,P E D046,1,0,0,0,0,1
2019,Spring,"Johnson, Mark",P E,D032M,P E D032M,0,0,0,0,,
2019,Winter,"Landefeld, Mark",P E,D099,P E D099,0,0,0,0,0,0
2019,Spring,"Mattis, Nicholas",P E,D046X,P E D046X,46,0,0,0,0,2
2019,Winter,"Mattis, Nicholas",P E,D046,P E D046,46,0,0,0,0,0
2019,Winter,"Raich, Erick",P E,D047M,P E D047M,42,1,0,0,0,0
2019,Spring,"Santos, Anthony",P E,D032I,P E D032I,38,0,0,0,0,1
2019,Spring,"Santos, Anthony",P E,D04XX,P E D04XX,35,0,0,0,0,3
2019,Spring,"Allen, Michael",P E,D032K,P E D032K,31,1,0,0,0,0
2019,Spring,"Singh, Kulwant",P E,D47MX,P E D47MX,31,0,0,0,0,1
2019,Winter,"Santos, Anthony",P E,D32IX,P E D32IX,30,0,0,0,0,1
2019,Spring,"Altman, Danielle",P E,D045X,P E D045X,21,0,0,0,0,0
2019,Winter,"Johnson, Mark",P E,D032M,P E D032M,21,5,4,3,4,2
2019,Spring,"Johnson, Mark",P E,D032M,P E D032M,20,5,6,1,7,1
2019,Winter,"Guevara, Dawnis",P E,D032L,P E D032L,18,4,5,0,0,1
2019,Winter,"Campion, Aidan",P E,D32HX,P E D32HX,18,0,0,0,0,0
2019,Spring,"Guevara, Dawnis",P E,D032L,P E D032L,17,2,0,0,1,0
2019,Spring,"Damjanovic, Jason",P E,D032K,P E D032K,16,0,0,0,0,1
2019,Spring,"Mattis, Nicholas",P E,D046X,P E D046X,16,0,0,0,0,2
2019,Spring,"Landefeld, Mark",P E,D38WX,P E D38WX,14,0,0,0,0,0
2019,Winter,"Landefeld, Mark",P E,D038W,P E D038W,14,0,0,0,0,0
2019,Winter,"Altman, Danielle",P E,D045,P E D045,14,1,0,0,1,0
2019,Winter,"Cornell, Raymond",P E,D046,P E D046,14,0,0,0,0,0
2019,Winter,"Altman, Danielle",P E,D045,P E D045,12,1,0,0,0,0
2019,Winter,"Damjanovic, Jason",P E,D44MX,P E D44MX,12,0,0,0,0,0
2019,Winter,"Owiesny, Cheryl",P E,D032S,P E D032S,11,0,0,0,0,3
2019,Winter,"Altman, Danielle",P E,D04XX,P E D04XX,10,0,0,0,1,0
2019,Spring,"Owiesny, Cheryl",P E,D032S,P E D032S,8,1,0,0,0,1
2019,Spring,"Altman, Danielle",P E,D32JX,P E D32JX,8,0,0,0,0,0
2019,Spring,"Singh, Kulwant",P E,D04XX,P E D04XX,7,0,0,0,0,0
2019,Spring,"Altman, Danielle",P E,D045X,P E D045X,5,0,0,0,0,0
2019,Spring,"Singh, Kulwant",P E,D47MX,P E D47MX,5,0,0,0,0,0
2019,Winter,"Owiesny, Cheryl",P E,D032S,P E D032S,5,0,0,0,0,0
2019,Winter,"Altman, Danielle",P E,D045X,P E D045X,5,0,0,0,0,0
2018,Fall,"Mattis, Nicholas",P E,D032N,P E D032N,13,0,0,0,0,1
2018,Fall,"Mattis, Nicholas",P E,D032N,P E D032N,25,0,0,0,0,0
2018,Fall,"Altman, Danielle",P E,D032P,P E D032P,11,0,0,0,0,0
2018,Fall,"Altman, Danielle",P E,D032P,P E D032P,12,0,1,0,1,2
2018,Fall,"Bugg, Jason",P E,D032W,P E D032W,0,0,0,0,,
2018,Fall,"Bugg, Jason",P E,D032W,P E D032W,8,0,0,0,0,0
2018,Fall,"Johnson, Mark",P E,D039M,P E D039M,2,0,0,0,0,0
2018,Fall,"Johnson, Mark",P E,D039M,P E D039M,29,4,1,0,0,0
2018,Fall,"Owiesny, Cheryl",P E,D039W,P E D039W,3,0,0,0,0,0
2018,Fall,"Owiesny, Cheryl",P E,D039W,P E D039W,24,0,0,0,0,0
2018,Fall,"Santos, Anthony",P E,D040,P E D040,3,0,0,0,0,0
2018,Fall,"Campion, Aidan",P E,D040,P E D040,49,0,1,0,0,0
2018,Fall,"Santos, Anthony",P E,D040,P E D040,9,0,0,0,0,1
2018,Fall,"Altman, Danielle",P E,D041,P E D041,12,0,0,0,0,0
2018,Fall,"Altman, Danielle",P E,D041,P E D041,22,0,0,0,0,1
2018,Fall,"Guevara, Dawnis",P E,D042W,P E D042W,2,0,0,0,0,0
2018,Fall,"Guevara, Dawnis",P E,D042W,P E D042W,10,0,0,0,0,0
2018,Fall,"Mattis, Nicholas",P E,D043,P E D043,5,0,0,0,0,0
2018,Fall,"Mattis, Nicholas",P E,D043,P E D043,11,0,0,0,0,0
2018,Fall,"Damjanovic, Jason",P E,D044M,P E D044M,1,0,0,0,0,0
2018,Fall,"Damjanovic, Jason",P E,D044M,P E D044M,18,0,0,0,0,0
2018,Fall,"Allen, Michael",P E,D044W,P E D044W,0,0,0,0,0,1
2018,Fall,"Allen, Michael",P E,D044W,P E D044W,10,1,1,0,0,1
2018,Fall,"Singh, Kulwant",P E,D04XX,P E D04XX,4,0,0,0,0,0
2018,Summer,"Santos, Anthony",P E,D032H,P E D032H,34,0,1,0,0,2
2018,Summer,"Campion, Aidan",P E,D032I,P E D032I,36,1,5,0,0,2
2018,Summer,"Altman, Danielle",P E,D032J,P E D032J,10,0,0,0,0,0
2018,Summer,"Damjanovic, Jason",P E,D032K,P E D032K,14,0,0,0,2,0
2018,Summer,"Allen, Michael",P E,D032K,P E D032K,22,5,0,0,0,1
2018,Summer,"Mattis, Nicholas",P E,D032N,P E D032N,19,0,0,0,0,0
2018,Summer,"Mattis, Nicholas",P E,D032N,P E D032N,13,0,0,0,0,1
2018,Summer,"Altman, Danielle",P E,D032P,P E D032P,9,0,0,0,0,0
2018,Summer,"Altman, Danielle",P E,D032P,P E D032P,5,0,0,0,0,1
