YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Ramirez, Antonio",PHIL,D001,PHIL D001,8,14,5,5,7,11
2015,Fall,"Le, Trung",PHIL,D001,PHIL D001,9,8,7,9,7,3
2015,Fall,"Vician, Thomas",PHIL,D001,PHIL D001,5,8,7,4,5,16
2015,Fall,"Hanson, Anthony",PHIL,D001,PHIL D001,8,7,11,7,10,8
2015,Fall,"Hammerud, Richard",PHIL,D001,PHIL D001,16,7,3,1,7,13
2015,Fall,"Baiamonte, Nicholas",PHIL,D001,PHIL D001,102,25,4,0,3,5
2015,Fall,"Baiamonte, Nicholas",PHIL,D002,PHIL D002,37,4,4,0,4,7
2015,Fall,"Hammerud, Richard",PHIL,D002,PHIL D002,15,5,5,1,4,9
2015,Fall,"Baiamonte, Nicholas",PHIL,D003,PHIL D003,86,2,1,0,0,1
2015,Fall,"Baiamonte, Nicholas",PHIL,D003,PHIL D003,92,2,0,0,0,0
2015,Fall,"Ramirez, Antonio",PHIL,D004,PHIL D004,12,6,8,9,6,5
2015,Fall,"Klumpe, Paul",PHIL,D004,PHIL D004,33,10,3,1,3,3
2015,Fall,"Klumpe, Paul",PHIL,D004,PHIL D004,29,14,2,0,2,1
2015,Fall,"Bunce, Daniel",PHIL,D004,PHIL D004,13,16,15,1,1,3
2015,Fall,"Hanson, Anthony",PHIL,D004,PHIL D004,6,10,8,3,6,11
2015,Fall,"Vician, Thomas",PHIL,D004,PHIL D004,3,12,8,0,17,3
2015,Fall,"Ramirez, Antonio",PHIL,D004,PHIL D004,4,7,10,3,10,0
2015,Fall,"Le, Trung",PHIL,D004,PHIL D004,2,12,8,3,5,4
2015,Fall,"Ramirez, Antonio",PHIL,D007,PHIL D007,9,7,10,1,18,3
2015,Fall,"Ramirez, Antonio",PHIL,D008,PHIL D008,13,13,10,3,5,4
2015,Fall,"Baiamonte, Nicholas",PHIL,D008,PHIL D008,129,4,1,1,7,4
2015,Fall,"Baiamonte, Nicholas",PHIL,D014B,PHIL D014B,39,2,1,0,5,2
2015,Fall,"Kaufman, Cynthia",PHIL,D017,PHIL D017,5,9,1,0,1,1
2015,Fall,"Kaufman, Cynthia",PHIL,D017,PHIL D017,1,0,0,0,0,0
2015,Fall,"Galindo, Javier",PHIL,D024,PHIL D024,11,3,9,0,5,4
2015,Fall,"Klumpe, Paul",PHIL,D049,PHIL D049,8,3,0,0,6,2
2015,Fall,"Klumpe, Paul",PHIL,D049,PHIL D049,5,1,0,0,0,0
2015,Summer,"Ramirez, Antonio",PHIL,D001,PHIL D001,10,14,4,2,5,3
