YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Castano, Wilfred",PHTG,D001,PHTG D001,9,6,0,0,6,3
2015,Fall,"Castano, Wilfred",PHTG,D001,PHTG D001,9,6,1,4,3,2
2015,Fall,"Bhattacharji, Sita",PHTG,D001,PHTG D001,7,6,0,2,3,1
2015,Fall,"Pack, Tressa",PHTG,D004,PHTG D004,14,8,3,0,3,2
2015,Fall,"Bhattacharji, Sita",PHTG,D004,PHTG D004,14,6,2,0,7,3
2015,Fall,"Mattick, William",PHTG,D004,PHTG D004,8,7,0,5,1,4
2015,Fall,"Mattick, William",PHTG,D004,PHTG D004,0,0,0,0,,
2015,Fall,"Castano, Wilfred",PHTG,D007,PHTG D007,28,14,1,2,1,4
2015,Fall,"Hajialiasga, Sholeh",PHTG,D007,PHTG D007,18,12,8,1,4,4
2015,Fall,"Mattick, William",PHTG,D007,PHTG D007,4,25,7,3,0,5
2015,Fall,"Bhattacharji, Sita",PHTG,D060,PHTG D060,8,3,3,2,10,6
2015,Fall,"Mattick, William",PHTG,D060,PHTG D060,2,5,11,3,3,5
2015,Fall,"Castano, Wilfred",PHTG,D077,PHTG D077,2,0,0,0,0,0
2015,Summer,"Castano, Wilfred",PHTG,D001,PHTG D001,10,7,0,2,0,2
2015,Summer,"Pierce, Diane",PHTG,D004,PHTG D004,12,5,0,0,0,6
2015,Summer,"Bhattacharji, Sita",PHTG,D060,PHTG D060,21,6,0,2,5,2
2016,Spring,"Pierce, Diane",PHTG,D001,PHTG D001,8,4,1,0,1,7
2016,Spring,"Pierce, Diane",PHTG,D001,PHTG D001,19,3,1,0,3,0
2016,Spring,"Pierce, Diane",PHTG,D001,PHTG D001,9,4,1,2,2,0
2016,Spring,"Pierce, Diane",PHTG,D002,PHTG D002,4,1,0,0,2,0
2016,Spring,"Pierce, Diane",PHTG,D003,PHTG D003,1,1,1,0,1,0
2016,Spring,"Bhattacharji, Sita",PHTG,D004,PHTG D004,12,5,1,2,3,6
2016,Spring,"Pack, Tressa",PHTG,D004,PHTG D004,9,4,0,0,2,4
2016,Spring,"Mattick, William",PHTG,D004,PHTG D004,0,6,0,0,1,3
2016,Spring,"Mattick, William",PHTG,D005,PHTG D005,2,6,1,0,0,1
2016,Spring,"Castano, Wilfred",PHTG,D007,PHTG D007,17,7,3,5,3,1
2016,Spring,"Castano, Wilfred",PHTG,D007,PHTG D007,24,11,5,2,4,1
2016,Spring,"Castano, Wilfred",PHTG,D007,PHTG D007,13,12,5,2,3,1
2016,Spring,"Mattick, William",PHTG,D007,PHTG D007,0,11,10,1,4,11
2016,Spring,"Pierce, Diane",PHTG,D054,PHTG D054,10,2,1,0,0,3
2016,Spring,"Pack, Tressa",PHTG,D057A,PHTG D057A,9,5,0,0,1,0
2016,Spring,"Pack, Tressa",PHTG,D057B,PHTG D057B,2,2,0,0,1,0
2016,Spring,"Bhattacharji, Sita",PHTG,D060,PHTG D060,7,7,5,4,7,3
2016,Spring,"Pierce, Diane",PHTG,D077,PHTG D077,1,0,0,0,0,0
2016,Winter,"Castano, Wilfred",PHTG,D001,PHTG D001,2,13,0,2,4,2
2016,Winter,"Castano, Wilfred",PHTG,D001,PHTG D001,8,10,3,2,5,0
2016,Winter,"Castano, Wilfred",PHTG,D001,PHTG D001,7,4,4,0,1,2
2016,Winter,"Pierce, Diane",PHTG,D004,PHTG D004,20,3,1,0,0,6
