INSTRUCTOR,YEAR,SEMESTER,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
"Chaharsough Shirazi, Atousa",2019,Spring,PHYS,D004A,PHYS D004A,8,8,10,0,3,5
"Chiang, Chien-I",2019,Spring,PHYS,D050,PHYS D050,10,0,6,0,3,7
"Chin, Alan",2016,Spring,PHYS,D002C,PHYS D002C,23,16,0,0,0,0
"Chin, Alan",2016,Fall,PHYS,D002B,PHYS D002B,11,2,2,0,1,3
"Dickson, Stephanie",2015,Fall,PHYS,D004A,PHYS D004A,3,11,14,4,1,3
"Dickson, Stephanie",2015,Fall,PHYS,D004A,PHYS D004A,12,7,13,0,3,1
"Dickson, Stephanie",2016,Spring,PHYS,D004C,PHYS D004C,4,13,7,0,0,4
"Dickson, Stephanie",2016,Spring,PHYS,D004C,PHYS D004C,7,11,8,0,0,4
"Dickson, Stephanie",2016,Winter,PHYS,D004B,PHYS D004B,4,13,15,0,3,2
"Dickson, Stephanie",2016,Winter,PHYS,D004B,PHYS D004B,2,8,19,2,4,0
"Dickson, Stephanie",2016,Fall,PHYS,D004A,PHYS D004A,7,10,9,4,3,2
"Dickson, Stephanie",2016,Fall,PHYS,D004A,PHYS D004A,6,9,15,4,1,2
"Dickson, Stephanie",2017,Spring,PHYS,D004C,PHYS D004C,11,13,6,1,1,4
"Dickson, Stephanie",2017,Spring,PHYS,D004C,PHYS D004C,6,11,7,0,1,10
"Dickson, Stephanie",2017,Winter,PHYS,D004B,PHYS D004B,5,12,17,0,2,2
"Dickson, Stephanie",2017,Winter,PHYS,D004B,PHYS D004B,5,9,18,1,1,4
"Dickson, Stephanie",2017,Fall,PHYS,D004A,PHYS D004A,7,3,15,0,3,6
"Dickson, Stephanie",2017,Fall,PHYS,D004A,PHYS D004A,4,7,9,2,4,8
"Dickson, Stephanie",2018,Spring,PHYS,D004C,PHYS D004C,7,16,9,0,0,1
"Dickson, Stephanie",2018,Spring,PHYS,D004C,PHYS D004C,7,11,14,0,0,1
"Dickson, Stephanie",2018,Winter,PHYS,D004B,PHYS D004B,8,11,11,2,2,2
"Dickson, Stephanie",2018,Winter,PHYS,D004B,PHYS D004B,7,6,18,0,0,3
"Dickson, Stephanie",2018,Fall,PHYS,D004A,PHYS D004A,3,6,12,6,4,6
"Dickson, Stephanie",2018,Fall,PHYS,D004A,PHYS D004A,4,8,10,4,3,9
"Dickson, Stephanie",2019,Spring,PHYS,D004C,PHYS D004C,7,11,11,0,0,7
"Dickson, Stephanie",2019,Spring,PHYS,D004C,PHYS D004C,4,8,8,0,0,10
"Dickson, Stephanie",2019,Winter,PHYS,D004B,PHYS D004B,6,13,10,2,1,4
"Dickson, Stephanie",2019,Winter,PHYS,D004B,PHYS D004B,8,8,11,2,5,3
"Francis, Ronald",2015,Fall,PHYS,D002A,PHYS D002A,1,5,5,3,6,7
"Francis, Ronald",2015,Fall,PHYS,D050,PHYS D050,4,2,9,2,3,11
"Francis, Ronald",2015,Fall,PHYS,D050,PHYS D050,2,3,3,1,3,16
"Francis, Ronald",2015,Summer,PHYS,D002A,PHYS D002A,0,2,5,4,0,8
"Francis, Ronald",2015,Summer,PHYS,D002A,PHYS D002A,3,0,0,1,2,4
"Francis, Ronald",2016,Spring,PHYS,D004B,PHYS D004B,3,5,10,0,1,4
"Francis, Ronald",2016,Spring,PHYS,D004B,PHYS D004B,1,5,11,2,3,4
"Francis, Ronald",2016,Spring,PHYS,D004D,PHYS D004D,3,7,9,2,1,5
"Francis, Ronald",2016,Spring,PHYS,D077,PHYS D077,0,0,0,0,,
"Francis, Ronald",2016,Spring,PHYS,D077X,PHYS D077X,0,0,0,0,0,0
"Francis, Ronald",2016,Spring,PHYS,D077Y,PHYS D077Y,0,0,0,0,,
"Francis, Ronald",2016,Winter,PHYS,D004C,PHYS D004C,3,5,4,1,4,2
"Francis, Ronald",2016,Winter,PHYS,D004C,PHYS D004C,2,1,4,1,0,2
"Francis, Ronald",2016,Winter,PHYS,D050,PHYS D050,0,3,2,1,5,9
"Francis, Ronald",2016,Fall,PHYS,D002A,PHYS D002A,1,1,9,0,2,4
"Francis, Ronald",2016,Fall,PHYS,D002A,PHYS D002A,1,3,3,3,3,3
"Francis, Ronald",2016,Fall,PHYS,D050,PHYS D050,2,2,8,0,3,14
"Francis, Ronald",2016,Summer,PHYS,D002A,PHYS D002A,1,4,3,0,2,2
"Francis, Ronald",2016,Summer,PHYS,D002A,PHYS D002A,1,1,1,1,2,3
"Francis, Ronald",2017,Spring,PHYS,D004B,PHYS D004B,0,1,10,0,2,8
"Francis, Ronald",2017,Spring,PHYS,D004B,PHYS D004B,1,3,1,0,5,14
"Francis, Ronald",2017,Spring,PHYS,D004D,PHYS D004D,2,7,10,0,0,5
"Francis, Ronald",2017,Spring,PHYS,D050,PHYS D050,4,4,5,7,8,9
"Francis, Ronald",2017,Winter,PHYS,D004C,PHYS D004C,4,7,8,4,1,1
"Francis, Ronald",2017,Winter,PHYS,D004C,PHYS D004C,0,4,10,0,0,2
"Francis, Ronald",2017,Winter,PHYS,D050,PHYS D050,2,1,3,2,8,6
"Francis, Ronald",2017,Fall,PHYS,D002A,PHYS D002A,1,1,2,2,3,7
"Francis, Ronald",2017,Fall,PHYS,D050,PHYS D050,2,4,6,0,5,14
"Francis, Ronald",2017,Summer,PHYS,D002A,PHYS D002A,0,2,2,0,3,3
"Francis, Ronald",2017,Summer,PHYS,D002A,PHYS D002A,0,2,1,0,2,3
"Francis, Ronald",2018,Spring,PHYS,D004D,PHYS D004D,3,4,9,1,0,3
"Francis, Ronald",2018,Spring,PHYS,D050,PHYS D050,2,2,8,3,7,17
"Francis, Ronald",2018,Winter,PHYS,D004C,PHYS D004C,0,3,6,0,0,1
"Francis, Ronald",2018,Winter,PHYS,D004C,PHYS D004C,2,1,6,1,1,1
"Francis, Ronald",2018,Winter,PHYS,D050,PHYS D050,0,5,2,0,4,8
"Francis, Ronald",2018,Fall,PHYS,D004A,PHYS D004A,2,1,3,2,5,8
"Francis, Ronald",2018,Fall,PHYS,D004B,PHYS D004B,1,2,6,1,5,5
"Francis, Ronald",2018,Fall,PHYS,D050,PHYS D050,3,3,4,2,3,12
"Francis, Ronald",2018,Summer,PHYS,D010,PHYS D010,2,6,2,0,1,13
"Francis, Ronald",2019,Spring,PHYS,D004A,PHYS D004A,1,3,14,1,4,10
"Francis, Ronald",2019,Spring,PHYS,D004A,PHYS D004A,2,2,14,4,3,11
"Francis, Ronald",2019,Spring,PHYS,D004B,PHYS D004B,1,3,9,2,9,10
"Francis, Ronald",2019,Spring,PHYS,D004B,PHYS D004B,0,2,8,2,2,11
"Francis, Ronald",2019,Winter,PHYS,D002B,PHYS D002B,2,9,6,1,1,1
"Francis, Ronald",2019,Winter,PHYS,D004C,PHYS D004C,3,4,12,3,1,1
"Huang, Yiyun",2016,Fall,PHYS,D050,PHYS D050,16,4,10,1,2,7
"Huang, Yiyun",2017,Spring,PHYS,D002C,PHYS D002C,11,10,8,0,0,3
"Huang, Yiyun",2017,Spring,PHYS,D004A,PHYS D004A,5,9,11,1,1,4
"Huang, Yiyun",2017,Spring,PHYS,D004A,PHYS D004A,5,10,9,0,2,7
"Huang, Yiyun",2017,Winter,PHYS,D002A,PHYS D002A,4,15,7,0,0,5
"Huang, Yiyun",2017,Winter,PHYS,D002A,PHYS D002A,3,7,4,2,0,5
"Huang, Yiyun",2017,Winter,PHYS,D010,PHYS D010,11,2,6,1,0,5
"Huang, Yiyun",2017,Fall,PHYS,D002B,PHYS D002B,4,4,5,1,0,7
"Huang, Yiyun",2017,Fall,PHYS,D010,PHYS D010,6,7,3,1,0,5
"Huet, Patrick",2016,Spring,PHYS,D010,PHYS D010,0,12,3,0,1,4
"Huet, Patrick",2016,Fall,PHYS,D050,PHYS D050,6,5,4,0,6,8
"Huet, Patrick",2017,Spring,PHYS,D010,PHYS D010,2,7,0,0,2,0
"Huet, Patrick",2017,Winter,PHYS,D004B,PHYS D004B,9,8,9,0,2,1
"Jiao, Juming",2015,Fall,PHYS,D004A,PHYS D004A,3,4,8,3,5,12
"Jiao, Juming",2015,Fall,PHYS,D004A,PHYS D004A,3,7,9,2,3,10
"Jiao, Juming",2016,Spring,PHYS,D004A,PHYS D004A,4,6,3,0,5,11
"Jiao, Juming",2016,Spring,PHYS,D004A,PHYS D004A,4,2,10,2,2,13
"Jiao, Juming",2016,Winter,PHYS,D002B,PHYS D002B,3,4,9,2,0,1
"Jiao, Juming",2016,Winter,PHYS,D002B,PHYS D002B,6,6,1,0,2,1
"Jiao, Juming",2016,Fall,PHYS,D004A,PHYS D004A,4,3,6,3,2,7
"Jiao, Juming",2016,Fall,PHYS,D004A,PHYS D004A,4,6,7,3,4,6
"Jiao, Juming",2017,Spring,PHYS,D004A,PHYS D004A,6,4,4,1,2,6
"Jiao, Juming",2017,Spring,PHYS,D004A,PHYS D004A,2,3,3,0,4,8
"Jiao, Juming",2017,Winter,PHYS,D002B,PHYS D002B,10,6,9,1,0,3
"Jiao, Juming",2017,Fall,PHYS,D004A,PHYS D004A,2,5,7,2,3,6
"Jiao, Juming",2017,Fall,PHYS,D004A,PHYS D004A,5,6,4,1,5,7
"Jiao, Juming",2018,Spring,PHYS,D004A,PHYS D004A,7,6,6,3,5,8
"Jiao, Juming",2018,Spring,PHYS,D004A,PHYS D004A,9,8,5,2,3,7
"Jiao, Juming",2018,Winter,PHYS,D002B,PHYS D002B,7,8,2,0,0,1
"Jiao, Juming",2018,Winter,PHYS,D002B,PHYS D002B,2,2,0,0,1,1
"Jiao, Juming",2018,Fall,PHYS,D004A,PHYS D004A,7,5,11,1,1,8
"Jiao, Juming",2018,Fall,PHYS,D004A,PHYS D004A,7,4,4,2,7,8
"Jiao, Juming",2019,Winter,PHYS,D002A,PHYS D002A,11,5,6,0,4,6
"Jiao, Juming",2019,Winter,PHYS,D002A,PHYS D002A,5,4,9,0,4,6
"Judd, Ellen",2019,Spring,PHYS,D002C,PHYS D002C,15,12,1,0,0,0
"Judd, Ellen",2019,Winter,PHYS,D050,PHYS D050,12,8,6,2,6,5
"Khazeni, Kasra",2019,Spring,PHYS,D050,PHYS D050,4,1,0,4,0,11
"Kwiatkowski, Alexander Tibay",2017,Fall,PHYS,D050,PHYS D050,36,10,0,0,0,1
