YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Hoyman, Lisa",PSYC,D001,PSYC D001,17,9,8,6,8,1
2015,Fall,"Healy, Mark",PSYC,D001,PSYC D001,58,29,14,5,7,2
2015,Fall,"Ramskov, Charles",PSYC,D001,PSYC D001,19,26,39,9,37,19
2015,Fall,"Beckum, Laquisha",PSYC,D001,PSYC D001,33,18,6,0,1,1
2015,Fall,"Healy, Mark",PSYC,D001,PSYC D001,81,36,27,11,5,1
2015,Fall,"Ramskov, Charles",PSYC,D001,PSYC D001,11,16,41,10,19,13
2015,Fall,"Hoyman, Lisa",PSYC,D001,PSYC D001,23,17,7,4,5,2
2015,Fall,"Diep, Hy",PSYC,D001,PSYC D001,18,13,4,1,7,3
2015,Fall,"Clifford Jr, James",PSYC,D001,PSYC D001,15,5,7,2,13,8
2015,Fall,"Avera, Joshua",PSYC,D001,PSYC D001,9,12,10,9,7,2
2015,Fall,"Johnson, Elise",PSYC,D001,PSYC D001,8,10,15,3,9,8
2015,Fall,"Hoyman, Lisa",PSYC,D001,PSYC D001,18,7,5,2,11,7
2015,Fall,"Trafalis, Sandra",PSYC,D001,PSYC D001,8,15,9,3,3,3
2015,Fall,"Diep, Hy",PSYC,D001,PSYC D001,19,12,15,0,1,2
2015,Fall,"Buettner, David",PSYC,D001,PSYC D001,19,15,4,2,4,1
2015,Fall,"Ramskov, Charles",PSYC,D002,PSYC D002,7,7,5,0,7,1
2015,Fall,"Cohen, Harvey",PSYC,D004,PSYC D004,21,20,15,0,1,2
2015,Fall,"Firpo, Catherine",PSYC,D004,PSYC D004,13,8,6,4,11,5
2015,Fall,"Trafalis, Sandra",PSYC,D004,PSYC D004,16,3,2,1,8,7
2015,Fall,"Hurkmans, Linda",PSYC,D004,PSYC D004,39,1,2,2,1,7
2015,Fall,"Rose, Murielle",PSYC,D005,PSYC D005,14,2,0,2,2,5
2015,Fall,"Bunce, Daniel",PSYC,D006,PSYC D006,15,9,2,0,1,6
2015,Fall,"Firpo, Catherine",PSYC,D008,PSYC D008,4,17,10,4,8,2
2015,Fall,"Avera, Joshua",PSYC,D008,PSYC D008,14,16,7,7,5,3
2015,Fall,"Beckum, Laquisha",PSYC,D008,PSYC D008,24,6,9,2,7,4
2015,Fall,"Ward Eichel, Maureen",PSYC,D009,PSYC D009,16,8,3,2,8,7
2015,Fall,"Zarghami, Fatemeh",PSYC,D010G,PSYC D010G,1,2,5,0,1,0
2015,Fall,"Wilkie, Zana",PSYC,D010G,PSYC D010G,2,1,3,1,1,1
2015,Fall,"Buchanan, Angela",PSYC,D010G,PSYC D010G,2,7,0,1,3,0
2015,Fall,"Wilkie, Zana",PSYC,D010G,PSYC D010G,3,0,3,1,1,1
2015,Fall,"Leal, Ana",PSYC,D010G,PSYC D010G,9,1,1,0,0,0
2015,Fall,"Buchanan, Angela",PSYC,D010H,PSYC D010H,2,3,1,1,2,1
2015,Fall,"Maleksalehi, Jila",PSYC,D010H,PSYC D010H,9,1,0,0,1,0
2015,Fall,"Leal, Ana",PSYC,D010H,PSYC D010H,7,3,0,0,0,3
2015,Fall,"Cohen, Harvey",PSYC,D012,PSYC D012,8,10,8,2,0,2
2015,Fall,"Clifford Jr, James",PSYC,D014,PSYC D014,13,10,9,4,9,5
2015,Fall,"Schulte, Robin",PSYC,D014,PSYC D014,10,17,4,0,4,6
2015,Fall,"Tamas, Melissa",PSYC,D014,PSYC D014,16,20,4,2,5,0
2015,Fall,"Healy, Mark",PSYC,D015,PSYC D015,19,7,3,1,1,1
2015,Fall,"Sterling, Cassidy",PSYC,D024,PSYC D024,23,22,15,5,21,1
2015,Fall,"Bonini, Griffin",PSYC,D063,PSYC D063,3,1,1,0,0,0
2015,Fall,"Healy, Mark",PSYC,D064,PSYC D064,1,0,0,0,0,1
2015,Fall,"Healy, Mark",PSYC,D064X,PSYC D064X,4,0,0,0,0,1
2015,Fall,"Healy, Mark",PSYC,D064Y,PSYC D064Y,0,0,0,0,0,1
2015,Fall,"Healy, Mark",PSYC,D064Z,PSYC D064Z,3,0,0,0,0,0
2015,Summer,"Firpo, Catherine",PSYC,D001,PSYC D001,16,9,10,3,1,3
2015,Summer,"Healy, Mark",PSYC,D001,PSYC D001,71,18,10,3,3,7
2015,Summer,"Avera, Joshua",PSYC,D001,PSYC D001,27,12,6,4,0,2
2015,Summer,"Clifford Jr, James",PSYC,D001,PSYC D001,41,2,3,0,2,2
2015,Summer,"Clifford Jr, James",PSYC,D001,PSYC D001,34,5,8,1,2,1
2015,Summer,"Ramskov, Charles",PSYC,D001,PSYC D001,15,13,5,2,5,7
2015,Summer,"Buettner, David",PSYC,D004,PSYC D004,10,4,5,2,3,2
