YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Chiriaeva, Larissa",RUSS,D001,RUSS D001,24,7,2,0,3,7
2019,Spring,"Chiriaeva, Larissa",RUSS,D003,RUSS D003,33,2,0,0,0,2
2019,Winter,"Chiriaeva, Larissa",RUSS,D002,RUSS D002,31,2,0,0,1,3
2018,Spring,"Chiriaeva, Larissa",RUSS,D003,RUSS D003,34,0,1,0,1,0
2018,Winter,"Chiriaeva, Larissa",RUSS,D002,RUSS D002,29,4,2,0,0,1
2018,Fall,"Chiriaeva, Larissa",RUSS,D001,RUSS D001,30,6,2,0,2,2
2017,Spring,"Chiriaeva, Larissa",RUSS,D003,RUSS D003,31,3,0,0,0,0
2017,Winter,"Chiriaeva, Larissa",RUSS,D002,RUSS D002,25,6,1,0,0,3
2017,Fall,"Chiriaeva, Larissa",RUSS,D001,RUSS D001,26,9,1,0,3,7
2016,Spring,"Chiriaeva, Larissa",RUSS,D003,RUSS D003,27,1,0,0,1,0
2016,Winter,"Chiriaeva, Larissa",RUSS,D002,RUSS D002,19,5,1,0,0,4
2016,Fall,"Chiriaeva, Larissa",RUSS,D001,RUSS D001,20,11,3,0,1,2
