YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Tapia, Maristella",SOC,D001,SOC D001,34,3,1,0,4,3
2019,Spring,"Pasion, Mark",SOC,D001,SOC D001,29,16,1,1,2,1
2019,Spring,"Tapia, Maristella",SOC,D001,SOC D001,29,5,7,1,0,5
2019,Winter,"Pasion, Mark",SOC,D001,SOC D001,29,13,4,1,3,2
2019,Winter,"Tapia, Maristella",SOC,D020,SOC D020,27,4,2,0,0,4
2019,Spring,"Tapia, Maristella",SOC,D001,SOC D001,24,7,5,3,6,4
2019,Spring,"Nava, Steve",SOC,D035,SOC D035,24,12,5,0,2,1
2019,Spring,"Jeung, Jensen",SOC,D020,SOC D020,22,13,2,5,7,0
2019,Winter,"Tapia, Maristella",SOC,D020,SOC D020,22,5,5,2,3,7
2019,Winter,"Nava, Steve",SOC,D001,SOC D001,21,20,4,0,5,4
2019,Winter,"Nava, Steve",SOC,D001,SOC D001,19,11,2,0,3,6
2019,Winter,"Myhre, Jennifer",SOC,D001,SOC D001,19,9,4,2,5,8
2019,Winter,"Nava, Steve",SOC,D020,SOC D020,19,14,5,0,4,8
2019,Winter,"Nava, Steve",SOC,D035,SOC D035,19,13,7,0,7,4
2019,Spring,"Myhre, Jennifer",SOC,D001,SOC D001,18,6,5,0,6,9
2019,Winter,"Myhre, Jennifer",SOC,D014,SOC D014,18,9,6,3,2,2
2019,Winter,"Tapia, Maristella",SOC,D001,SOC D001,17,14,2,2,3,2
2019,Spring,"Tapia, Maristella",SOC,D001,SOC D001,16,8,7,2,6,1
2019,Spring,"Nava, Steve",SOC,D028,SOC D028,15,9,1,0,0,1
2019,Spring,"Myhre, Jennifer",SOC,D001,SOC D001,14,12,4,1,6,7
2019,Spring,"Myhre, Jennifer",SOC,D020,SOC D020,13,8,6,1,6,8
2019,Winter,"Myhre, Jennifer",SOC,D001,SOC D001,12,13,2,3,4,7
2019,Spring,"Healy, Mark",SOC,D015,SOC D015,11,7,7,1,0,1
2019,Spring,"Nava, Steve",SOC,D035,SOC D035,10,10,4,0,1,1
2019,Winter,"Rose, Murielle",SOC,D015,SOC D015,9,2,1,0,1,2
2019,Winter,"Healy, Mark",SOC,D015,SOC D015,8,3,7,1,0,1
2019,Spring,"Green, DuJuan",SOC,D054,SOC D054,7,2,0,0,0,0
2019,Spring,"Rose, Murielle",SOC,D015,SOC D015,5,6,2,1,0,2
2019,Winter,"Harsany, Andrew",SOC,D073,SOC D073,2,1,0,1,2,2
2019,Spring,"Peretti, Bryan",SOC,D073,SOC D073,1,3,2,0,1,0
2019,Winter,"Myhre, Jennifer",SOC,D077X,SOC D077X,0,0,0,0,,
2018,Spring,"Myhre, Jennifer",SOC,D001,SOC D001,7,7,4,3,2,5
2018,Spring,"Myhre, Jennifer",SOC,D001,SOC D001,20,7,9,2,1,8
2018,Spring,"Myhre, Jennifer",SOC,D001,SOC D001,22,12,6,1,2,5
2018,Spring,"Birago, Kamau",SOC,D001,SOC D001,1,7,5,8,1,7
2018,Spring,"Birago, Kamau",SOC,D001,SOC D001,5,11,8,5,5,3
2018,Spring,"Dehaan, Tracy",SOC,D001,SOC D001,1,4,3,4,1,11
2018,Spring,"Pasion, Mark",SOC,D001,SOC D001,19,21,7,0,1,4
2018,Spring,"Pasion, Mark",SOC,D001,SOC D001,24,19,4,1,3,2
2018,Spring,"Healy, Mark",SOC,D015,SOC D015,7,7,7,1,0,0
2018,Spring,"Rose, Murielle",SOC,D015,SOC D015,3,6,0,0,0,1
2018,Spring,"Jeung, Jensen",SOC,D020,SOC D020,15,13,5,3,2,1
2018,Spring,"Jeung, Jensen",SOC,D020,SOC D020,18,12,5,1,5,0
2018,Spring,"Dehaan, Jason",SOC,D028,SOC D028,9,4,10,2,1,0
2018,Spring,"Nava, Steve",SOC,D035,SOC D035,15,10,7,0,1,2
2018,Spring,"Nava, Steve",SOC,D035,SOC D035,18,9,0,0,1,1
2018,Spring,"Gomes, Rodney",SOC,D073,SOC D073,3,4,1,1,0,0
2018,Winter,"Myhre, Jennifer",SOC,D001,SOC D001,6,5,5,0,0,6
2018,Winter,"Myhre, Jennifer",SOC,D001,SOC D001,14,6,4,2,4,7
2018,Winter,"Myhre, Jennifer",SOC,D001,SOC D001,19,10,5,1,6,6
2018,Winter,"Birago, Kamau",SOC,D001,SOC D001,2,8,9,2,3,3
2018,Winter,"Pasion, Mark",SOC,D001,SOC D001,21,20,6,2,1,3
2018,Winter,"Pasion, Mark",SOC,D001,SOC D001,24,10,8,2,1,1
2018,Winter,"Dehaan, Tracy",SOC,D001,SOC D001,11,9,7,3,6,7
2018,Winter,"Nava, Steve",SOC,D001,SOC D001,4,9,7,0,7,3
2018,Winter,"Nava, Steve",SOC,D001,SOC D001,6,9,5,0,3,1
2018,Winter,"Nava, Steve",SOC,D001,SOC D001,12,11,8,0,5,0
2018,Winter,"Myhre, Jennifer",SOC,D014,SOC D014,19,11,5,4,0,1
2018,Winter,"Healy, Mark",SOC,D015,SOC D015,9,7,5,0,0,1
2018,Winter,"Rose, Murielle",SOC,D015,SOC D015,7,6,2,0,1,2
2018,Winter,"Jeung, Jensen",SOC,D020,SOC D020,14,10,3,2,2,0
2018,Winter,"Jeung, Jensen",SOC,D020,SOC D020,29,8,6,0,1,2
2018,Winter,"Nava, Steve",SOC,D028,SOC D028,14,5,2,0,3,3
2018,Winter,"Dehaan, Jason",SOC,D035,SOC D035,8,16,3,1,3,10
2018,Winter,"Myhre, Jennifer",SOC,D077X,SOC D077X,1,0,0,0,0,0
2018,Fall,"Myhre, Jennifer",SOC,D001,SOC D001,10,9,5,1,4,12
2018,Fall,"Myhre, Jennifer",SOC,D001,SOC D001,20,10,1,1,7,12
2018,Fall,"Myhre, Jennifer",SOC,D001,SOC D001,17,8,3,0,3,10
2018,Fall,"Nava, Steve",SOC,D001,SOC D001,26,14,5,0,11,7
2018,Fall,"Nava, Steve",SOC,D001,SOC D001,33,11,4,0,5,1
2018,Fall,"Jeung, Jensen",SOC,D001,SOC D001,28,10,5,1,8,1
2018,Fall,"Pasion, Mark",SOC,D001,SOC D001,28,18,5,0,4,1
2018,Fall,"Tapia, Maristella",SOC,D001,SOC D001,23,12,6,1,4,1
2018,Fall,"Tapia, Maristella",SOC,D001,SOC D001,11,1,7,4,5,2
2018,Fall,"Tapia, Maristella",SOC,D001,SOC D001,20,2,4,2,3,1
2018,Fall,"Healy, Mark",SOC,D015,SOC D015,5,4,4,2,0,1
2018,Fall,"Birago, Kamau",SOC,D020,SOC D020,4,9,11,3,8,4
2018,Fall,"Myhre, Jennifer",SOC,D020,SOC D020,14,7,3,1,6,13
2018,Fall,"Tapia, Maristella",SOC,D028,SOC D028,13,5,1,2,1,3
2018,Fall,"Nava, Steve",SOC,D035,SOC D035,30,10,2,0,3,3
2018,Summer,"Dehaan, Jason",SOC,D001,SOC D001,22,15,3,3,3,4
2018,Summer,"Dehaan, Jason",SOC,D001,SOC D001,20,13,6,2,1,2
2018,Summer,"Tapia, Maristella",SOC,D001,SOC D001,35,3,4,0,2,2
2018,Summer,"Tapia, Maristella",SOC,D001,SOC D001,34,4,1,0,3,3
2018,Summer,"Dehaan, Tracy",SOC,D020,SOC D020,3,6,5,1,1,1
