YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,13,7,6,2,0,6
2015,Fall,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,14,6,4,1,3,2
2015,Fall,"Mancilla, Jeffrey",SPAN,D001,SPAN D001,9,4,4,5,1,7
2015,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,7,7,3,3,3,4
2015,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,6,5,5,3,6,3
2015,Fall,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,10,9,1,1,1,2
2015,Fall,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,14,7,2,3,0,9
2015,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,6,7,1,0,6,3
2015,Fall,"Duran Bezak, Maria",SPAN,D001,SPAN D001,6,2,5,3,2,5
2015,Fall,"Ramos, Carmen",SPAN,D002,SPAN D002,6,1,3,2,3,1
2015,Fall,"Lizardi-Folley, Carmen",SPAN,D004,SPAN D004,11,9,4,1,1,0
2015,Fall,"Lizardi-Folley, Carmen",SPAN,D004,SPAN D004,0,0,0,0,,
2015,Summer,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,10,6,0,0,0,3
2015,Summer,"Ramos, Carmen",SPAN,D001,SPAN D001,13,3,4,3,1,3
2015,Summer,"Ramos, Carmen",SPAN,D002,SPAN D002,6,5,4,4,4,3
2015,Summer,"Mancilla, Jeffrey",SPAN,D003,SPAN D003,28,8,5,2,1,0
2016,Spring,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,11,6,4,0,3,7
2016,Spring,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,8,6,4,2,2,10
2016,Spring,"Valencia-Bostic, D",SPAN,D001,SPAN D001,9,8,7,1,4,2
2016,Spring,"Vinall, Kimberly",SPAN,D001,SPAN D001,5,11,4,3,1,6
2016,Spring,"Vinall, Kimberly",SPAN,D001,SPAN D001,10,4,7,1,1,3
2016,Spring,"Ramos, Carmen",SPAN,D001,SPAN D001,3,7,7,2,6,6
2016,Spring,"Valencia-Bostic, D",SPAN,D001,SPAN D001,6,4,5,2,5,8
2016,Spring,"Ortiz Parra, Lucila",SPAN,D002,SPAN D002,18,2,2,0,0,0
2016,Spring,"Abrica-Carrasco, Ruben",SPAN,D002,SPAN D002,12,9,3,0,0,3
2016,Spring,"Vinall, Kimberly",SPAN,D002,SPAN D002,5,5,4,1,2,1
2016,Spring,"Lizardi-Folley, Carmen",SPAN,D003,SPAN D003,17,3,2,2,2,1
2016,Spring,"Abrica-Carrasco, Ruben",SPAN,D003,SPAN D003,21,4,0,0,0,4
2016,Winter,"Mancilla, Jeffrey",SPAN,D001,SPAN D001,9,9,3,6,1,8
2016,Winter,"Ramos, Carmen",SPAN,D001,SPAN D001,6,13,4,1,4,2
2016,Winter,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,15,7,4,4,0,6
2016,Winter,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,14,5,1,1,0,8
2016,Winter,"Vinall, Kimberly",SPAN,D001,SPAN D001,12,7,3,0,3,2
2016,Winter,"Vinall, Kimberly",SPAN,D001,SPAN D001,6,8,8,0,3,5
2016,Winter,"Mancilla, Jeffrey",SPAN,D002,SPAN D002,14,5,6,1,0,3
2016,Winter,"Vinall, Kimberly",SPAN,D002,SPAN D002,6,10,6,2,1,1
2016,Winter,"Abrica-Carrasco, Ruben",SPAN,D002,SPAN D002,14,5,0,1,0,4
2016,Fall,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,12,11,3,0,4,1
2016,Fall,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,12,11,2,1,1,7
2016,Fall,"Ramos, Carmen",SPAN,D001,SPAN D001,10,2,6,3,3,0
2016,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,10,10,6,1,2,3
2016,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,13,15,2,2,2,1
2016,Fall,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,6,12,0,3,0,7
2016,Fall,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,9,11,0,2,0,9
2016,Fall,"Vinall, Kimberly",SPAN,D001,SPAN D001,11,9,2,3,5,2
2016,Fall,"Valencia-Bostic, D",SPAN,D001,SPAN D001,15,7,2,0,5,5
2016,Fall,"Lizardi-Folley, Carmen",SPAN,D004,SPAN D004,16,4,1,0,0,1
2016,Summer,"Abrica-Carrasco, Ruben",SPAN,D001,SPAN D001,14,7,0,0,0,9
2016,Summer,"Mancilla, Jeffrey",SPAN,D001,SPAN D001,17,7,2,0,1,0
2016,Summer,"Mancilla, Jeffrey",SPAN,D002,SPAN D002,12,4,2,0,0,3
2016,Summer,"Ramos, Carmen",SPAN,D003,SPAN D003,10,12,9,2,1,2
2017,Spring,"Ramos, Carmen",SPAN,D001,SPAN D001,3,7,2,1,8,4
2017,Spring,"Lizardi-Folley, Carmen",SPAN,D001,SPAN D001,11,8,1,1,2,4
2017,Spring,"Vinall, Kimberly",SPAN,D001,SPAN D001,7,4,3,0,8,4
2017,Spring,"Vinall, Kimberly",SPAN,D001,SPAN D001,9,3,3,2,6,4
2017,Spring,"Mancilla, Jeffrey",SPAN,D001,SPAN D001,5,5,1,0,3,5
2017,Spring,"Ramos, Carmen",SPAN,D001,SPAN D001,5,4,4,2,2,2
2017,Spring,"Valencia-Bostic, D",SPAN,D001,SPAN D001,7,6,1,3,5,3
2017,Spring,"Ramos, Carmen",SPAN,D002,SPAN D002,4,4,1,2,2,3
2017,Spring,"Abrica-Carrasco, Ruben",SPAN,D002,SPAN D002,11,8,2,2,0,11
2017,Spring,"Abrica-Carrasco, Ruben",SPAN,D002,SPAN D002,15,10,1,1,0,7
2017,Spring,"Lizardi-Folley, Carmen",SPAN,D003,SPAN D003,18,6,4,1,0,2
2017,Spring,"Vinall, Kimberly",SPAN,D003,SPAN D003,14,4,1,0,0,2
2017,Spring,"Lizardi-Folley, Carmen",SPAN,D005,SPAN D005,13,3,1,2,0,1
