YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Tran, Bac",VIET,D003,VIET D003,32,2,0,0,1,0
2019,Winter,"Tran, Bac",VIET,D001,VIET D001,30,1,0,0,1,1
2019,Winter,"Tran, Bac",VIET,D002,VIET D002,29,3,0,0,2,2
2019,Spring,"Tran, Bac",VIET,D002,VIET D002,19,0,0,0,0,1
2018,Spring,"Tran, Bac",VIET,D002,VIET D002,27,7,0,0,0,1
2018,Spring,"Tran, Bac",VIET,D003,VIET D003,39,3,1,0,0,1
2018,Winter,"Tran, Bac",VIET,D001,VIET D001,28,2,0,0,1,1
2018,Winter,"Tran, Bac",VIET,D002,VIET D002,27,0,0,0,0,2
2018,Fall,"Tran, Bac",VIET,D001,VIET D001,35,3,0,0,1,1
2018,Fall,"Tran, Bac",VIET,D001,VIET D001,30,1,0,0,3,3
2017,Spring,"Tran, Bac",VIET,D002,VIET D002,26,0,0,0,2,0
2017,Spring,"Tran, Bac",VIET,D003,VIET D003,36,6,0,0,0,0
2017,Winter,"Tran, Bac",VIET,D001,VIET D001,45,0,0,0,0,1
2017,Winter,"Tran, Bac",VIET,D002,VIET D002,29,0,0,0,0,1
2017,Fall,"Tran, Bac",VIET,D001,VIET D001,29,3,0,0,2,5
2017,Fall,"Tran, Bac",VIET,D001,VIET D001,26,0,0,0,1,3
2016,Spring,"Nguyen, Dzuong",VIET,D003,VIET D003,48,0,0,0,0,0
2016,Winter,"Nguyen, Dzuong",VIET,D002,VIET D002,37,3,0,0,0,0
2016,Fall,"Tran, Bac",VIET,D001,VIET D001,36,1,0,0,2,1
2015,Fall,"Nguyen, Dzuong",VIET,D001,VIET D001,40,0,0,0,0,1
2015,Fall,"Nguyen, Dzuong",VIET,D001,VIET D001,42,0,0,0,0,0
