YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Coronado, Marc",WMST,D001,WMST D001,30,6,0,0,3,7
2019,Spring,"Coronado, Marc",WMST,D001,WMST D001,27,4,3,0,1,9
2019,Winter,"Coronado, Marc",WMST,D001,WMST D001,27,5,3,1,3,3
2019,Winter,"Coronado, Marc",WMST,D008,WMST D008,26,2,0,0,12,3
2019,Winter,"Alvarez, Rosanna",WMST,D026,WMST D026,22,18,5,0,6,4
2019,Spring,"Coronado, Marc",WMST,D008,WMST D008,21,7,2,2,2,10
2019,Winter,"Lewis, Julie",WMST,D008,WMST D008,20,8,3,0,6,12
2019,Spring,"Lewis, Julie",WMST,D025,WMST D025,15,7,4,1,0,17
2019,Spring,"Alvarez, Rosanna",WMST,D026,WMST D026,12,15,4,0,13,6
2019,Winter,"Cohen, Harvey",WMST,D012,WMST D012,10,4,0,1,0,2
2019,Winter,"Quinn, Roseanne",WMST,D021,WMST D021,9,2,0,0,0,3
2019,Spring,"Cohen, Harvey",WMST,D012,WMST D012,8,6,4,0,0,0
2019,Spring,"Nava, Steve",WMST,D028,WMST D028,7,9,0,0,1,5
2019,Spring,"Hubbard, Judith",WMST,D021,WMST D021,5,3,1,0,0,2
2018,Spring,"Coronado, Marc",WMST,D001,WMST D001,32,3,3,1,3,3
2018,Spring,"Coronado, Marc",WMST,D001,WMST D001,9,2,7,2,10,6
2018,Spring,"Mjelde, Elizabeth",WMST,D003C,WMST D003C,6,6,0,1,0,1
2018,Spring,"Cohen, Harvey",WMST,D012,WMST D012,3,1,1,0,0,0
2018,Spring,"Hubbard, Judith",WMST,D021,WMST D021,5,0,1,0,2,0
2018,Spring,"Lewis, Julie",WMST,D025,WMST D025,14,3,4,0,7,15
2018,Spring,"Alvarez, Rosanna",WMST,D026,WMST D026,14,8,1,0,2,1
2018,Spring,"Dehaan, Jason",WMST,D028,WMST D028,1,5,3,0,3,1
2018,Spring,"Nava, Steve",WMST,D029,WMST D029,10,0,0,0,4,3
2018,Winter,"Coronado, Marc",WMST,D001,WMST D001,32,7,3,0,0,4
2018,Winter,"Coronado, Marc",WMST,D008,WMST D008,21,3,0,1,2,7
2018,Winter,"Lewis, Julie",WMST,D008,WMST D008,13,6,2,1,6,16
2018,Winter,"Cini, Carol",WMST,D009,WMST D009,2,1,2,2,1,1
2018,Winter,"Cini, Carol",WMST,D009H,WMST D009H,0,0,0,0,,
2018,Winter,"Cohen, Harvey",WMST,D012,WMST D012,1,4,0,1,0,2
2018,Winter,"Quinn, Roseanne",WMST,D021,WMST D021,7,4,0,0,0,2
2018,Winter,"Alvarez, Rosanna",WMST,D027,WMST D027,9,3,3,0,7,7
2018,Winter,"Nava, Steve",WMST,D028,WMST D028,7,6,1,0,0,3
2018,Fall,"Alvarez, Rosanna",WMST,D001,WMST D001,6,14,5,1,15,10
2018,Fall,"Lewis, Julie",WMST,D008,WMST D008,11,5,2,2,8,27
2018,Fall,"Hickling, Anne",WMST,D009,WMST D009,1,2,1,2,1,1
2018,Fall,"Cohen, Harvey",WMST,D012,WMST D012,10,6,4,0,2,1
2018,Fall,"Tapia, Maristella",WMST,D028,WMST D028,9,2,1,3,1,4
2018,Fall,"Alvarez, Rosanna",WMST,D031,WMST D031,23,7,0,3,12,9
2018,Fall,"Booher, Charles",WMST,D049,WMST D049,7,4,1,1,0,2
2018,Summer,"Coronado, Marc",WMST,D001,WMST D001,37,2,0,0,4,2
2018,Summer,"Lewis, Julie",WMST,D008,WMST D008,36,5,1,0,4,2
2018,Summer,"Chow, Karen",WMST,D022,WMST D022,18,4,1,0,7,7
2017,Spring,"Coronado, Marc",WMST,D001,WMST D001,5,3,4,0,8,3
2017,Spring,"Mjelde, Elizabeth",WMST,D003C,WMST D003C,13,4,2,0,3,4
2017,Spring,"Lewis, Julie",WMST,D008,WMST D008,18,4,2,1,1,22
2017,Spring,"Cini, Carol",WMST,D009,WMST D009,1,4,1,0,3,0
2017,Spring,"Cohen, Harvey",WMST,D012,WMST D012,6,5,4,0,1,3
2017,Spring,"Lewis, Julie",WMST,D025,WMST D025,5,5,1,0,0,9
2017,Spring,"Alvarez, Rosanna",WMST,D026,WMST D026,5,5,9,0,3,6
2017,Spring,"Nava, Steve",WMST,D028,WMST D028,12,4,0,0,1,4
2017,Winter,"Coronado, Marc",WMST,D001,WMST D001,20,3,4,1,7,4
2017,Winter,"Alvarez, Rosanna",WMST,D008,WMST D008,8,9,4,0,3,1
2017,Winter,"Lewis, Julie",WMST,D008,WMST D008,11,4,3,2,1,16
2017,Winter,"Cini, Carol",WMST,D009,WMST D009,2,4,6,1,3,1
2017,Winter,"Cohen, Harvey",WMST,D012,WMST D012,3,7,6,3,2,0
2017,Winter,"Coronado, Marc",WMST,D024,WMST D024,7,0,0,0,0,1
2017,Winter,"Alvarez, Rosanna",WMST,D027,WMST D027,14,11,5,0,2,2
2017,Winter,"Nava, Steve",WMST,D028,WMST D028,0,1,1,0,0,1
2017,Fall,"Alvarez, Rosanna",WMST,D001,WMST D001,19,4,5,0,12,8
2017,Fall,"Lewis, Julie",WMST,D008,WMST D008,15,5,3,1,5,17
2017,Fall,"Cini, Carol",WMST,D009,WMST D009,2,2,3,4,2,10
2017,Fall,"Cini, Carol",WMST,D009H,WMST D009H,0,0,0,0,,
2017,Fall,"Cohen, Harvey",WMST,D012,WMST D012,4,11,3,0,0,0
2017,Fall,"Dehaan, Jason",WMST,D028,WMST D028,6,5,2,0,6,4
2017,Fall,"Alvarez, Rosanna",WMST,D031,WMST D031,6,13,3,0,5,8
2017,Fall,"Booher, Charles",WMST,D049,WMST D049,7,6,1,0,2,3
2017,Summer,"Alvarez, Rosanna",WMST,D001,WMST D001,27,10,4,1,7,9
2017,Summer,"Lewis, Julie",WMST,D008,WMST D008,27,2,4,1,1,9
2017,Summer,"Alvarez, Rosanna",WMST,D008,WMST D008,25,9,5,1,5,2
2016,Spring,"Coronado, Marc",WMST,D001,WMST D001,10,6,7,1,11,3
2016,Spring,"Mjelde, Elizabeth",WMST,D003C,WMST D003C,13,8,0,0,0,1
2016,Spring,"Lewis, Julie",WMST,D008,WMST D008,18,6,2,1,3,7
2016,Spring,"Cini, Carol",WMST,D009,WMST D009,2,6,4,0,1,5
2016,Spring,"Cini, Carol",WMST,D009,WMST D009,0,0,0,0,,
2016,Spring,"Cohen, Harvey",WMST,D012,WMST D012,7,7,4,0,0,0
2016,Spring,"Lewis, Julie",WMST,D025,WMST D025,19,5,2,1,0,3
2016,Spring,"Alvarez, Rosanna",WMST,D027,WMST D027,16,16,5,0,4,4
2016,Spring,"Nava, Steve",WMST,D028,WMST D028,6,8,1,0,5,1
