YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Denny, David",ELIT,D010,ELIT D010,21,5,1,2,6,6
2015,Fall,"Giardino, Alexandria",ELIT,D011,ELIT D011,21,6,2,4,1,11
2015,Fall,"Patton, Marilyn",ELIT,D012,ELIT D012,22,7,7,0,3,1
2015,Fall,"Patton, Marilyn",ELIT,D012,ELIT D012,5,0,0,0,0,0
2015,Fall,"Palmore, Kim",ELIT,D017,ELIT D017,10,13,3,3,5,3
2015,Fall,"Board Liljenstolpe, Rebecca",ELIT,D019,ELIT D019,10,7,0,0,6,5
2015,Fall,"Quinn, Roseanne",ELIT,D021,ELIT D021,19,2,0,0,2,2
2015,Fall,"Mendoza, Sherwin",ELIT,D024,ELIT D024,12,0,1,0,1,0
2015,Fall,"Simes, Alan",ELIT,D039,ELIT D039,7,15,4,0,5,1
2015,Fall,"Simes, Alan",ELIT,D039,ELIT D039,1,0,0,0,0,0
2015,Fall,"Shively, Timothy",ELIT,D046A,ELIT D046A,7,12,4,0,0,6
2015,Fall,"Limcolioc, Luis",ELIT,D046C,ELIT D046C,13,7,8,2,5,3
2015,Fall,"Pesano, Julie",ELIT,D048A,ELIT D048A,16,14,4,0,2,3
2015,Fall,"Pesano, Julie",ELIT,D048A,ELIT D048A,3,1,0,0,0,0
2015,Summer,"Cudahy, Mary",ELIT,D010,ELIT D010,15,16,0,0,5,4
2015,Summer,"Denny, David",ELIT,D011,ELIT D011,9,3,2,1,2,2
2015,Summer,"Smith, Brian",ELIT,D017,ELIT D017,10,6,2,0,0,0
2015,Summer,"Quigley, Jill",ELIT,D021,ELIT D021,21,3,0,0,0,1
2015,Summer,"Nelson, Renee",ELIT,D022,ELIT D022,22,11,0,0,6,2
2016,Spring,"Caparas, Francesca",ELIT,D010,ELIT D010,14,10,13,3,8,2
2016,Spring,"Quinn, Roseanne",ELIT,D010,ELIT D010,20,15,1,0,2,5
2016,Spring,"Weisner, Kenneth",ELIT,D011,ELIT D011,23,9,4,0,6,4
2016,Spring,"Delaney, Anthony",ELIT,D019,ELIT D019,4,5,3,1,3,5
2016,Spring,"Hubbard, Judith",ELIT,D021,ELIT D021,13,5,5,2,5,5
2016,Spring,"Nelson, Renee",ELIT,D022,ELIT D022,19,10,4,0,5,2
2016,Spring,"Caparas, Francesca",ELIT,D024,ELIT D024,8,5,1,0,1,0
2016,Spring,"Pesano, Julie",ELIT,D046B,ELIT D046B,4,17,5,3,3,5
