YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Limcolioc, Luis",EWRT,D001A,EWRT D001A,9,14,3,0,3,5
2015,Fall,"Limcolioc, Luis",EWRT,D001A,EWRT D001A,8,9,5,0,3,9
2015,Fall,"Giardino, Alexandria",EWRT,D001A,EWRT D001A,29,4,0,0,0,1
2015,Fall,"Kline, Julie",EWRT,D001A,EWRT D001A,15,6,1,1,6,2
2015,Fall,"Giardino, Alexandria",EWRT,D001A,EWRT D001A,29,3,0,0,2,0
2015,Fall,"Braasch, Kimberly",EWRT,D001A,EWRT D001A,8,15,3,0,1,4
2015,Fall,"Waldsmith, Anne Marie",EWRT,D001A,EWRT D001A,7,11,1,2,0,4
2015,Fall,"Fasano, Carolyn",EWRT,D001A,EWRT D001A,8,7,5,0,2,4
2015,Fall,"Rizzo, Sergio",EWRT,D001A,EWRT D001A,3,13,7,1,2,3
2015,Fall,"Wilson, Jimmie",EWRT,D001A,EWRT D001A,20,8,0,0,0,0
2015,Fall,"Vesco, Shawna",EWRT,D001A,EWRT D001A,10,10,5,0,3,2
2015,Fall,"Wilson, James",EWRT,D001A,EWRT D001A,6,5,7,2,7,3
2015,Fall,"Mendoza, Sherwin",EWRT,D001A,EWRT D001A,31,2,0,0,1,0
2015,Fall,"Doreen, Dianna",EWRT,D001A,EWRT D001A,30,1,0,0,0,1
2015,Fall,"Rizzo, Sergio",EWRT,D001A,EWRT D001A,7,16,3,3,2,0
2015,Fall,"Fasano, Carolyn",EWRT,D001A,EWRT D001A,15,9,9,1,0,0
2015,Fall,"Penkethman, Jennifer",EWRT,D001A,EWRT D001A,25,4,1,1,0,0
2015,Fall,"Gray, Charles",EWRT,D001A,EWRT D001A,4,9,7,0,6,3
2015,Fall,"Garvin, Richard",EWRT,D001A,EWRT D001A,9,19,0,0,0,1
2015,Fall,"Wilson, Jimmie",EWRT,D001A,EWRT D001A,28,4,0,0,1,0
2015,Fall,"Lewis, Brian",EWRT,D001A,EWRT D001A,5,9,7,4,6,3
2015,Fall,"Patton, Marilyn",EWRT,D001A,EWRT D001A,21,9,1,0,1,0
2015,Fall,"Kareemi, Khalida",EWRT,D001A,EWRT D001A,7,11,6,2,0,5
2015,Fall,"Figueredo, Elizabeth",EWRT,D001A,EWRT D001A,16,4,4,2,1,1
2015,Fall,"Arefi Anbarani, Azin",EWRT,D001A,EWRT D001A,6,11,3,3,2,6
2015,Fall,"Vengadam, Prasanna",EWRT,D001A,EWRT D001A,15,3,1,1,6,3
2015,Fall,"Garvin, Richard",EWRT,D001A,EWRT D001A,5,16,0,2,0,7
2015,Fall,"Lewis, Brian",EWRT,D001A,EWRT D001A,8,7,5,9,2,1
2015,Fall,"Pesano, Julie",EWRT,D001A,EWRT D001A,11,13,1,1,1,1
2015,Fall,"Gray, Charles",EWRT,D001A,EWRT D001A,6,13,3,0,6,1
2015,Fall,"Benson, Emily",EWRT,D001A,EWRT D001A,10,13,3,0,1,2
2015,Fall,"Denny, David",EWRT,D001A,EWRT D001A,18,4,1,1,3,6
2015,Fall,"Leonard, Amy",EWRT,D001A,EWRT D001A,25,7,2,0,0,0
2015,Fall,"Breunig, Emily",EWRT,D001A,EWRT D001A,19,8,1,1,1,1
2015,Fall,"Sandel, Adam",EWRT,D001A,EWRT D001A,15,10,2,1,1,1
2015,Fall,"Peck, Monica",EWRT,D001A,EWRT D001A,12,11,3,2,2,0
2015,Fall,"Benson, Emily",EWRT,D001A,EWRT D001A,16,10,2,0,0,3
2015,Fall,"Caparas, Francesca",EWRT,D001A,EWRT D001A,17,6,4,0,1,3
2015,Fall,"Aydelott, Elizabeth",EWRT,D001A,EWRT D001A,8,10,2,4,2,3
2015,Fall,"Figueredo, Elizabeth",EWRT,D001A,EWRT D001A,11,4,4,3,1,3
2015,Fall,"Ray, Thomas",EWRT,D001A,EWRT D001A,10,9,6,0,5,0
2015,Fall,"Sandel, Adam",EWRT,D001A,EWRT D001A,18,2,3,0,2,2
2015,Fall,"Coronado, Marc",EWRT,D001A,EWRT D001A,9,8,0,0,3,3
2015,Fall,"Peck, Monica",EWRT,D001A,EWRT D001A,3,16,6,1,4,1
2015,Fall,"Arefi Anbarani, Azin",EWRT,D001A,EWRT D001A,3,8,4,0,1,10
2015,Fall,"Swensson, John",EWRT,D001A,EWRT D001A,17,10,0,0,2,3
2015,Fall,"Trimble, Ruth",EWRT,D001A,EWRT D001A,5,5,1,1,1,9
2015,Fall,"Gray, Charles",EWRT,D001A,EWRT D001A,3,9,4,2,5,6
2015,Fall,"Swensson, John",EWRT,D001A,EWRT D001A,28,4,0,0,3,1
2015,Fall,"Trimble, Ruth",EWRT,D001A,EWRT D001A,7,7,1,0,3,6
2015,Fall,"Chow, Karen",EWRT,D001A,EWRT D001A,15,10,3,2,0,0
2015,Summer,"Wilson, Jimmie",EWRT,D001A,EWRT D001A,24,6,0,0,0,0
2015,Summer,"Leonard, Amy",EWRT,D001A,EWRT D001A,17,7,2,0,0,3
2015,Summer,"Leonard, Amy",EWRT,D001A,EWRT D001A,12,6,3,1,2,7
2015,Summer,"Arefi Anbarani, Azin",EWRT,D001A,EWRT D001A,7,7,6,2,2,4
2015,Summer,"Wilson, Jimmie",EWRT,D001A,EWRT D001A,22,9,0,0,0,0
2015,Summer,"Quinn, Roseanne",EWRT,D001A,EWRT D001A,23,8,0,0,0,2
2015,Summer,"Hanzimanolis, Margaret",EWRT,D001A,EWRT D001A,17,7,0,0,1,5
2015,Summer,"Quinn, Roseanne",EWRT,D001A,EWRT D001A,21,8,0,0,0,0
2015,Summer,"Hanzimanolis, Margaret",EWRT,D001A,EWRT D001A,11,13,1,0,2,1
2015,Summer,"Palmore, Kim",EWRT,D001A,EWRT D001A,11,5,4,1,2,0
2015,Summer,"Coronado, Marc",EWRT,D001A,EWRT D001A,9,1,0,0,2,6
2015,Summer,"Palmore, Kim",EWRT,D001A,EWRT D001A,3,11,2,0,4,6
2015,Summer,"Coronado, Marc",EWRT,D001A,EWRT D001A,14,1,0,0,0,6
2015,Summer,"Hoyle, Jonah",EWRT,D001A,EWRT D001A,15,9,1,0,1,3
2015,Summer,"Hoyle, Jonah",EWRT,D001A,EWRT D001A,10,9,0,0,0,3
2016,Spring,"Limcolioc, Luis",EWRT,D001A,EWRT D001A,7,4,1,0,7,6
2016,Spring,"Board Liljenstolpe, Rebecca",EWRT,D001A,EWRT D001A,8,10,6,2,4,0
2016,Spring,"Limcolioc, Luis",EWRT,D001A,EWRT D001A,3,8,2,5,5,5
2016,Spring,"Limcolioc, Luis",EWRT,D001A,EWRT D001A,4,8,3,0,6,3
2016,Spring,"Board Liljenstolpe, Rebecca",EWRT,D001A,EWRT D001A,10,13,4,0,3,1
2016,Spring,"Lisha, Sarah",EWRT,D001A,EWRT D001A,13,13,6,1,0,2
2016,Spring,"Palmore, Kim",EWRT,D001A,EWRT D001A,8,12,5,2,1,0
2016,Spring,"Bonilla, Maryalice",EWRT,D001A,EWRT D001A,6,5,4,0,2,3
