YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Mcnamara, Martin",F/TV,D070A,F/TV D070A,30,2,0,0,1,0
2019,Winter,"Grozeva, Milena",F/TV,D026,F/TV D026,28,1,0,0,0,0
2019,Winter,"Gillette, Aimee",F/TV,D010,F/TV D010,26,8,6,2,3,3
2019,Winter,"Abramson, Joel",F/TV,D023,F/TV D023,26,4,0,0,0,0
2019,Spring,"Dey, Teresa",F/TV,D078X,F/TV D078X,23,0,0,0,3,2
2019,Winter,"Mcnamara, Martin",F/TV,D066A,F/TV D066A,22,4,0,0,0,0
2019,Spring,"Grozeva, Milena",F/TV,D039,F/TV D039,21,8,0,0,0,0
2019,Spring,"Irwin, Dennis",F/TV,D027,F/TV D027,20,9,0,0,1,0
2019,Winter,"Mcnamara, Martin",F/TV,D075K,F/TV D075K,20,2,2,0,0,1
2019,Spring,"Gillette, Aimee",F/TV,D010,F/TV D010,19,11,5,1,6,2
2019,Spring,"Tavernetti, Susan",F/TV,D002A,F/TV D002A,17,14,7,3,4,7
2019,Spring,"Irwin, Dennis",F/TV,D020,F/TV D020,17,0,0,1,0,4
2019,Winter,"Tavernetti, Susan",F/TV,D001,F/TV D001,17,26,6,1,2,3
2019,Winter,"Grozeva, Milena",F/TV,D020,F/TV D020,17,8,0,4,1,4
2019,Spring,"Losben, Joshua",F/TV,D006A,F/TV D006A,16,5,0,0,0,4
2019,Spring,"Haack, Warren",F/TV,D031,F/TV D031,16,1,1,0,2,0
2019,Winter,"Losben, Joshua",F/TV,D006A,F/TV D006A,16,6,0,1,3,0
2019,Spring,"Tavernetti, Susan",F/TV,D001,F/TV D001,15,25,8,1,3,5
2019,Spring,"Grozeva, Milena",F/TV,D020,F/TV D020,15,7,2,4,0,3
2019,Spring,"Dey, Teresa",F/TV,D069A,F/TV D069A,14,8,1,3,2,4
2019,Winter,"Gillette, Aimee",F/TV,D056A,F/TV D056A,14,7,1,0,1,2
2019,Winter,"Tavernetti, Susan",F/TV,D002B,F/TV D002B,13,23,6,0,5,1
2019,Winter,"Dey, Teresa",F/TV,D068A,F/TV D068A,13,5,4,1,4,3
2019,Winter,"Dey, Teresa",F/TV,D072G,F/TV D072G,13,3,0,3,4,0
2019,Spring,"Grozeva, Milena",F/TV,D029,F/TV D029,11,10,0,1,1,4
2019,Spring,"Lovell, Glenn",F/TV,D002B,F/TV D002B,10,11,9,2,8,5
2019,Winter,"Gamburg, Thomas",F/TV,D006A,F/TV D006A,10,5,0,0,0,6
2019,Winter,"Losben, Joshua",F/TV,D060B,F/TV D060B,10,2,0,0,0,1
2019,Spring,"Lovell, Glenn",F/TV,D001,F/TV D001,9,10,13,3,8,4
2019,Winter,"Tavernetti, Susan",F/TV,D002C,F/TV D002C,9,14,8,1,4,1
2019,Winter,"Irwin, Dennis",F/TV,D020,F/TV D020,9,10,1,1,0,2
2019,Spring,"Losben, Joshua",F/TV,D064C,F/TV D064C,8,2,0,0,0,0
2019,Winter,"Lovell, Glenn",F/TV,D001,F/TV D001,8,12,12,1,8,4
2019,Winter,"Grozeva, Milena",F/TV,D059,F/TV D059,8,9,0,0,1,4
2019,Spring,"Gillette, Aimee",F/TV,D020,F/TV D020,7,6,0,0,7,4
2019,Spring,"Losben, Joshua",F/TV,D064A,F/TV D064A,7,2,0,0,0,1
2019,Spring,"Dey, Teresa",F/TV,D071G,F/TV D071G,7,7,3,1,0,5
2019,Winter,"Losben, Joshua",F/TV,D064B,F/TV D064B,7,0,0,0,0,0
2019,Spring,"Gamburg, Thomas",F/TV,D006A,F/TV D006A,6,8,1,1,1,2
2019,Spring,"Gillette, Aimee",F/TV,D026,F/TV D026,6,16,3,1,3,1
2019,Spring,"Gamburg, Thomas",F/TV,D060C,F/TV D060C,6,1,0,0,0,0
2019,Spring,"Dey, Teresa",F/TV,D075G,F/TV D075G,6,15,2,1,0,6
2019,Winter,"Gillette, Aimee",F/TV,D020,F/TV D020,6,10,3,1,1,7
2019,Winter,"Losben, Joshua",F/TV,D060C,F/TV D060C,6,1,0,0,0,0
2019,Spring,"Losben, Joshua",F/TV,D064B,F/TV D064B,5,0,0,0,0,0
2019,Winter,"Vizcarrondo, Sara",F/TV,D001,F/TV D001,5,10,4,3,9,7
2019,Winter,"Dey, Teresa",F/TV,D071G,F/TV D071G,5,4,0,2,3,5
2019,Spring,"Gillette, Aimee",F/TV,D056A,F/TV D056A,4,9,1,0,3,5
2019,Spring,"Dey, Teresa",F/TV,D072G,F/TV D072G,4,0,2,0,1,3
2019,Winter,"Dey, Teresa",F/TV,D071H,F/TV D071H,4,3,0,0,1,0
2019,Spring,"Dey, Teresa",F/TV,D071H,F/TV D071H,3,2,1,0,1,0
2019,Spring,"Dey, Teresa",F/TV,D072H,F/TV D072H,3,1,1,0,0,1
2019,Winter,"Losben, Joshua",F/TV,D064A,F/TV D064A,3,0,0,0,0,0
2019,Spring,"Gamburg, Thomas",F/TV,D060B,F/TV D060B,2,4,1,2,1,2
2019,Winter,"Dey, Teresa",F/TV,D072H,F/TV D072H,2,0,0,0,0,0
2019,Spring,"Dey, Teresa",F/TV,D072J,F/TV D072J,1,1,0,0,0,0
2019,Winter,"Tavernetti, Susan",F/TV,D001H,F/TV D001H,1,0,0,0,0,0
2019,Spring,"Tavernetti, Susan",F/TV,D001H,F/TV D001H,0,0,0,0,,
2019,Spring,"Tavernetti, Susan",F/TV,D02AH,F/TV D02AH,0,0,1,0,0,0
2019,Winter,"Tavernetti, Susan",F/TV,D02BH,F/TV D02BH,0,0,0,0,,
2019,Winter,"Tavernetti, Susan",F/TV,D02CH,F/TV D02CH,0,0,0,0,,
2019,Winter,"Dey, Teresa",F/TV,D072J,F/TV D072J,0,0,0,0,,
2018,Spring,"Lovell, Glenn",F/TV,D001,F/TV D001,7,8,10,5,6,5
2018,Spring,"Tavernetti, Susan",F/TV,D001,F/TV D001,14,16,7,1,11,2
2018,Spring,"Tavernetti, Susan",F/TV,D001H,F/TV D001H,0,0,0,0,,
2018,Spring,"Tavernetti, Susan",F/TV,D002A,F/TV D002A,11,19,13,0,4,2
2018,Spring,"Tavernetti, Susan",F/TV,D002B,F/TV D002B,11,12,9,2,8,4
2018,Spring,"Losben, Joshua",F/TV,D006A,F/TV D006A,22,8,1,0,0,0
2018,Spring,"Gamburg, Thomas",F/TV,D006A,F/TV D006A,15,3,1,1,3,3
2018,Spring,"Gillette, Aimee",F/TV,D010,F/TV D010,20,7,4,0,3,9
2018,Spring,"Gillette, Aimee",F/TV,D010,F/TV D010,11,12,3,2,13,7
2018,Spring,"Grozeva, Milena",F/TV,D020,F/TV D020,8,15,0,0,3,3
2018,Spring,"Grozeva, Milena",F/TV,D020,F/TV D020,6,16,2,0,0,4
2018,Spring,"Gillette, Aimee",F/TV,D020,F/TV D020,3,2,2,2,5,2
2018,Spring,"Gillette, Aimee",F/TV,D026,F/TV D026,14,3,4,0,2,4
2018,Spring,"Irwin, Dennis",F/TV,D027,F/TV D027,27,3,0,0,1,0
2018,Spring,"Haack, Warren",F/TV,D031,F/TV D031,15,5,0,0,0,1
2018,Spring,"Irwin, Dennis",F/TV,D044A,F/TV D044A,5,6,1,1,0,0
2018,Spring,"Irwin, Dennis",F/TV,D044B,F/TV D044B,1,2,1,0,0,2
2018,Spring,"Grozeva, Milena",F/TV,D057A,F/TV D057A,12,7,2,0,0,1
2018,Spring,"Grozeva, Milena",F/TV,D057B,F/TV D057B,1,0,0,0,0,0
2018,Spring,"Losben, Joshua",F/TV,D060B,F/TV D060B,12,7,0,0,1,0
2018,Spring,"Losben, Joshua",F/TV,D060C,F/TV D060C,6,1,0,0,0,1
2018,Spring,"Dey, Teresa",F/TV,D071G,F/TV D071G,9,1,1,2,1,4
2018,Spring,"Dey, Teresa",F/TV,D071H,F/TV D071H,6,0,1,0,0,2
2018,Spring,"Dey, Teresa",F/TV,D072G,F/TV D072G,4,1,0,0,2,0
