YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Hafid, Loubna",FREN,D001,FREN D001,17,5,2,3,2,2
2015,Fall,"Hafid, Loubna",FREN,D001,FREN D001,13,1,0,2,4,13
2015,Fall,"Karst, Laura",FREN,D001,FREN D001,11,4,0,2,0,9
2015,Fall,"Karst, Laura",FREN,D001,FREN D001,14,3,0,2,7,5
2015,Fall,"Thao, Chantal",FREN,D001,FREN D001,17,3,2,0,4,3
2015,Fall,"Karst, Laura",FREN,D002,FREN D002,9,3,2,3,0,3
2015,Summer,"Hafid, Loubna",FREN,D001,FREN D001,8,5,2,1,0,2
2016,Spring,"Karst, Laura",FREN,D001,FREN D001,15,4,6,1,2,0
2016,Spring,"Karst, Laura",FREN,D001,FREN D001,11,4,2,0,1,6
2016,Spring,"Hafid, Loubna",FREN,D001,FREN D001,10,2,2,1,1,6
2016,Spring,"Karst, Laura",FREN,D002,FREN D002,18,10,3,2,2,1
2016,Spring,"Thao, Chantal",FREN,D003,FREN D003,21,4,1,0,1,1
2016,Spring,"Thao, Chantal",FREN,D003,FREN D003,16,2,3,0,2,6
2016,Winter,"Karst, Laura",FREN,D001,FREN D001,15,5,4,2,1,5
2016,Winter,"Karst, Laura",FREN,D001,FREN D001,18,5,3,0,1,7
2016,Winter,"Hafid, Loubna",FREN,D001,FREN D001,13,1,1,0,4,6
2016,Winter,"Karst, Laura",FREN,D002,FREN D002,23,6,2,0,2,0
2016,Winter,"Thao, Chantal",FREN,D002,FREN D002,19,2,3,0,1,3
2016,Fall,"Hafid, Loubna",FREN,D001,FREN D001,14,7,2,0,1,1
2016,Fall,"Hafid, Loubna",FREN,D001,FREN D001,12,1,3,1,5,4
2016,Fall,"Karst, Laura",FREN,D001,FREN D001,11,3,1,0,2,2
2016,Fall,"Karst, Laura",FREN,D001,FREN D001,11,3,1,1,5,4
2016,Fall,"Thao, Chantal",FREN,D001,FREN D001,18,3,0,0,4,3
2016,Fall,"Karst, Laura",FREN,D002,FREN D002,14,5,3,3,1,1
2016,Fall,"Thao, Chantal",FREN,D004,FREN D004,14,3,2,0,0,0
2016,Summer,"Hafid, Loubna",FREN,D001,FREN D001,14,2,3,1,2,2
2017,Spring,"Hafid, Loubna",FREN,D001,FREN D001,6,6,1,2,3,7
2017,Spring,"Hafid, Loubna",FREN,D001,FREN D001,9,4,4,0,5,4
2017,Spring,"Thao, Chantal",FREN,D003,FREN D003,19,1,3,1,1,1
2017,Spring,"Thao, Chantal",FREN,D003,FREN D003,17,2,1,0,0,3
2017,Winter,"Hafid, Loubna",FREN,D001,FREN D001,13,2,2,1,3,3
2017,Winter,"Hafid, Loubna",FREN,D001,FREN D001,16,2,4,0,1,4
2017,Winter,"Thao, Chantal",FREN,D002,FREN D002,19,2,1,0,1,5
2017,Winter,"Thao, Chantal",FREN,D002,FREN D002,15,1,0,0,2,6
2017,Fall,"Hafid, Loubna",FREN,D001,FREN D001,11,3,3,0,5,2
2017,Fall,"Hafid, Loubna",FREN,D001,FREN D001,5,2,3,2,2,5
2017,Fall,"Thao, Chantal",FREN,D001,FREN D001,11,6,3,0,3,3
2017,Fall,"Thao, Chantal",FREN,D001,FREN D001,21,1,2,0,3,0
2017,Summer,"Thao, Chantal",FREN,D001,FREN D001,15,1,1,0,1,3
2018,Spring,"Hafid, Loubna",FREN,D001,FREN D001,11,1,0,2,1,9
2018,Spring,"Thao, Chantal",FREN,D001,FREN D001,8,4,0,2,4,5
2018,Spring,"Thao, Chantal",FREN,D003,FREN D003,22,3,1,1,2,2
2018,Winter,"Hafid, Loubna",FREN,D001,FREN D001,14,5,2,1,1,5
2018,Winter,"Hafid, Loubna",FREN,D001,FREN D001,10,3,1,3,6,6
2018,Winter,"Thao, Chantal",FREN,D002,FREN D002,14,3,0,1,3,2
2018,Winter,"Thao, Chantal",FREN,D002,FREN D002,15,2,3,0,0,0
2018,Fall,"Hafid, Loubna",FREN,D001,FREN D001,12,4,4,1,2,5
2018,Fall,"Thao, Chantal",FREN,D001,FREN D001,16,2,2,0,4,4
2019,Winter,"Hafid, Loubna",FREN,D001,FREN D001,13,2,4,2,5,7
2019,Spring,"Hafid, Loubna",FREN,D001,FREN D001,11,1,2,2,0,6
2019,Winter,"Ortega Rocha, Maria De La Luz",FREN,D002,FREN D002,8,6,1,0,1,9
2019,Spring,"Ortega Rocha, Maria De La Luz",FREN,D001,FREN D001,3,6,0,0,0,6
