YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Dutt, Sohini",GEO,D001,GEO D001,33,9,4,1,3,2
2015,Fall,"Dutt, Sohini",GEO,D001,GEO D001,34,9,2,6,4,2
2015,Fall,"Kelley, Maureen",GEO,D001,GEO D001,4,5,2,3,10,5
2015,Fall,"Hasty, Joseph",GEO,D001,GEO D001,2,4,5,5,6,1
2015,Fall,"Rohrmeier, Kerry",GEO,D001,GEO D001,19,12,5,0,7,5
2015,Fall,"Dutt, Sohini",GEO,D004,GEO D004,37,5,5,2,4,0
2015,Fall,"Ye, Minting",GEO,D010,GEO D010,9,8,1,2,7,3
2015,Fall,"Pena, Eileen",GEO,D010,GEO D010,11,7,16,4,3,2
2015,Fall,"Pena, Eileen",GEO,D010,GEO D010,16,11,10,3,4,3
2015,Summer,"Dutt, Sohini",GEO,D001,GEO D001,22,7,0,0,2,1
2015,Summer,"Rohrmeier, Kerry",GEO,D001,GEO D001,12,13,5,1,2,12
2015,Summer,"Rohrmeier, Kerry",GEO,D004,GEO D004,15,8,1,0,1,0
2015,Summer,"Dutt, Sohini",GEO,D010,GEO D010,14,3,2,2,0,0
2015,Summer,"Pena, Eileen",GEO,D010,GEO D010,28,9,3,0,0,3
2015,Summer,"Pena, Eileen",GEO,D010,GEO D010,31,6,5,0,4,1
2016,Spring,"Fernandez, Purba",GEO,D001,GEO D001,4,11,12,5,3,9
2016,Spring,"Fernandez, Purba",GEO,D001,GEO D001,6,9,6,2,8,13
2016,Spring,"Rohrmeier, Kerry",GEO,D001,GEO D001,32,7,5,1,5,5
2016,Spring,"Fernandez, Purba",GEO,D004,GEO D004,12,8,8,0,4,7
2016,Spring,"Pena, Eileen",GEO,D010,GEO D010,12,13,6,0,3,3
2016,Spring,"Pena, Eileen",GEO,D010,GEO D010,18,15,5,2,2,6
2016,Winter,"Fernandez, Purba",GEO,D001,GEO D001,5,3,14,4,4,11
2016,Winter,"Fernandez, Purba",GEO,D001,GEO D001,5,3,10,4,1,15
2016,Winter,"Dutt, Sohini",GEO,D001,GEO D001,33,11,3,0,3,1
2016,Winter,"Dutt, Sohini",GEO,D001,GEO D001,34,9,2,0,2,2
2016,Winter,"Rohrmeier, Kerry",GEO,D001,GEO D001,15,15,7,1,6,3
2016,Winter,"Rohrmeier, Kerry",GEO,D001,GEO D001,14,13,4,2,7,7
2016,Winter,"Fernandez, Purba",GEO,D004,GEO D004,10,6,9,3,10,10
2016,Winter,"Dutt, Sohini",GEO,D010,GEO D010,40,10,2,0,1,1
2016,Fall,"Fernandez, Purba",GEO,D001,GEO D001,7,5,6,1,3,11
2016,Fall,"Fernandez, Purba",GEO,D001,GEO D001,8,6,7,3,3,5
2016,Fall,"Fernandez, Purba",GEO,D001,GEO D001,12,9,10,1,5,14
2016,Fall,"Dutt, Sohini",GEO,D001,GEO D001,28,14,4,2,1,1
2016,Fall,"Dutt, Sohini",GEO,D001,GEO D001,32,10,7,2,2,3
2016,Fall,"Morgan, Paul",GEO,D001,GEO D001,3,3,11,0,1,7
2016,Fall,"Rohrmeier, Kerry",GEO,D001,GEO D001,17,12,6,3,7,5
2016,Fall,"Fernandez, Purba",GEO,D004,GEO D004,13,8,6,2,5,15
2016,Fall,"Dutt, Sohini",GEO,D010,GEO D010,37,6,2,5,1,1
2016,Fall,"Pena, Eileen",GEO,D010,GEO D010,12,2,4,1,1,2
2016,Fall,"Pena, Eileen",GEO,D010,GEO D010,27,12,10,2,4,1
2016,Summer,"Kelley, Maureen",GEO,D001,GEO D001,5,1,0,1,3,1
2016,Summer,"Dutt, Sohini",GEO,D001,GEO D001,22,12,1,0,2,2
2016,Summer,"Rohrmeier, Kerry",GEO,D001,GEO D001,27,12,5,0,1,5
2016,Summer,"Dutt, Sohini",GEO,D004,GEO D004,24,3,1,0,1,1
2016,Summer,"Pena, Eileen",GEO,D010,GEO D010,31,5,7,0,0,2
2016,Summer,"Pena, Eileen",GEO,D010,GEO D010,32,12,3,0,1,2
2017,Spring,"Fernandez, Purba",GEO,D001,GEO D001,6,7,1,2,1,5
2017,Spring,"Fernandez, Purba",GEO,D001,GEO D001,4,10,3,2,4,3
2017,Spring,"Fernandez, Purba",GEO,D001,GEO D001,2,7,9,1,1,3
2017,Spring,"Morgan, Paul",GEO,D001,GEO D001,1,10,10,0,3,4
2017,Spring,"Rohrmeier, Kerry",GEO,D001,GEO D001,22,11,7,2,4,2
2017,Spring,"Dutt, Sohini",GEO,D004,GEO D004,28,15,6,3,1,2
2017,Spring,"Pena, Eileen",GEO,D010,GEO D010,35,9,5,0,0,1
2017,Spring,"Pena, Eileen",GEO,D010,GEO D010,26,9,8,2,0,1
2017,Winter,"Fernandez, Purba",GEO,D001,GEO D001,8,6,3,1,4,12
2017,Winter,"Fernandez, Purba",GEO,D001,GEO D001,12,8,7,2,6,7
2017,Winter,"Dutt, Sohini",GEO,D001,GEO D001,37,14,0,1,1,2
2017,Winter,"Rohrmeier, Kerry",GEO,D001,GEO D001,35,8,1,0,3,4
2017,Winter,"Fernandez, Purba",GEO,D004,GEO D004,9,9,7,1,0,6
2017,Winter,"Dutt, Sohini",GEO,D010,GEO D010,38,10,8,1,0,1
2017,Winter,"Pena, Eileen",GEO,D010,GEO D010,28,14,5,1,1,0
2017,Fall,"Fernandez, Purba",GEO,D001,GEO D001,4,7,5,2,2,10
2017,Fall,"Fernandez, Purba",GEO,D001,GEO D001,7,1,3,3,5,7
2017,Fall,"Fernandez, Purba",GEO,D001,GEO D001,7,10,11,3,2,5
2017,Fall,"Dutt, Sohini",GEO,D001,GEO D001,30,12,9,1,3,2
2017,Fall,"Rohrmeier, Kerry",GEO,D001,GEO D001,28,15,4,0,1,6
2017,Fall,"Fernandez, Purba",GEO,D004,GEO D004,7,9,7,0,0,7
2017,Fall,"Dutt, Sohini",GEO,D010,GEO D010,24,8,7,1,2,1
2017,Fall,"Dutt, Sohini",GEO,D010,GEO D010,14,10,5,0,1,1
2017,Fall,"Rohrmeier, Kerry",GEO,D010,GEO D010,28,10,2,1,5,3
2017,Fall,"Rohrmeier, Kerry",GEO,D010,GEO D010,15,11,4,3,13,3
2017,Summer,"Rohrmeier, Kerry",GEO,D001,GEO D001,29,8,0,4,2,7
2017,Summer,"Rohrmeier, Kerry",GEO,D001,GEO D001,28,9,8,0,2,1
2017,Summer,"Ducote, Keith",GEO,D004,GEO D004,5,2,1,0,0,1
2017,Summer,"Pena, Eileen",GEO,D010,GEO D010,27,7,3,2,0,0
2017,Summer,"Pena, Eileen",GEO,D010,GEO D010,27,3,3,1,0,3
2018,Spring,"Fernandez, Purba",GEO,D001,GEO D001,5,6,3,5,1,6
2018,Spring,"Fernandez, Purba",GEO,D001,GEO D001,7,7,9,0,2,2
2018,Spring,"Dutt, Sohini",GEO,D001,GEO D001,34,10,5,2,1,1
2018,Spring,"Rohrmeier, Kerry",GEO,D001,GEO D001,38,6,4,1,4,0
2018,Spring,"Fernandez, Purba",GEO,D004,GEO D004,11,11,6,1,1,6
2018,Spring,"Pena, Eileen",GEO,D010,GEO D010,32,9,2,0,1,2
2018,Spring,"Pena, Eileen",GEO,D010,GEO D010,35,10,4,1,5,2
2018,Winter,"Fernandez, Purba",GEO,D001,GEO D001,5,5,9,2,3,8
2018,Winter,"Fernandez, Purba",GEO,D001,GEO D001,13,6,11,2,2,7
2018,Winter,"Ducote, Keith",GEO,D001,GEO D001,13,5,7,3,2,4
2018,Winter,"Rohrmeier, Kerry",GEO,D001,GEO D001,36,8,5,0,2,2
2018,Winter,"Fernandez, Purba",GEO,D004,GEO D004,12,6,1,1,5,12
2018,Winter,"Dutt, Sohini",GEO,D010,GEO D010,38,12,1,1,0,1
2018,Winter,"Dutt, Sohini",GEO,D010,GEO D010,23,15,8,1,2,1
2018,Winter,"Pena, Eileen",GEO,D010,GEO D010,38,4,0,0,0,1
2018,Fall,"Fernandez, Purba",GEO,D001,GEO D001,7,6,9,1,2,5
2018,Fall,"Fernandez, Purba",GEO,D001,GEO D001,6,5,14,3,2,6
2018,Fall,"Fernandez, Purba",GEO,D001,GEO D001,9,6,11,2,5,2
2018,Fall,"Rohrmeier, Kerry",GEO,D001,GEO D001,31,6,3,2,7,5
2018,Fall,"Fernandez, Purba",GEO,D004,GEO D004,12,9,1,1,2,7
2018,Fall,"Dutt, Sohini",GEO,D010,GEO D010,25,11,12,0,1,0
2018,Fall,"Dutt, Sohini",GEO,D010,GEO D010,31,10,3,2,1,3
2018,Fall,"Pena, Eileen",GEO,D010,GEO D010,41,5,3,1,0,1
2018,Fall,"Pena, Eileen",GEO,D010,GEO D010,39,4,2,3,0,0
2018,Summer,"Dutt, Sohini",GEO,D001,GEO D001,17,15,10,1,3,2
2018,Summer,"Rohrmeier, Kerry",GEO,D001,GEO D001,33,7,4,3,1,4
2018,Summer,"Dutt, Sohini",GEO,D004,GEO D004,16,6,0,0,0,0
2018,Summer,"Pena, Eileen",GEO,D010,GEO D010,42,3,2,1,1,3
2018,Summer,"Pena, Eileen",GEO,D010,GEO D010,41,5,3,0,0,3
2019,Spring,"Pena, Eileen",GEO,D010,GEO D010,44,1,0,0,0,2
2019,Winter,"Pena, Eileen",GEO,D010,GEO D010,43,7,2,0,0,0
2019,Winter,"Dutt, Sohini",GEO,D010,GEO D010,40,6,4,0,0,2
2019,Spring,"Pena, Eileen",GEO,D010,GEO D010,39,3,3,0,1,2
2019,Winter,"Rohrmeier, Kerry",GEO,D001,GEO D001,36,11,1,0,2,3
2019,Spring,"Dutt, Sohini",GEO,D010,GEO D010,35,8,3,0,2,1
2019,Winter,"Dutt, Sohini",GEO,D010,GEO D010,32,8,6,2,1,2
2019,Spring,"Dutt, Sohini",GEO,D001,GEO D001,22,16,9,0,1,1
2019,Winter,"Fernandez, Purba",GEO,D001,GEO D001,16,11,8,2,2,1
2019,Spring,"Fernandez, Purba",GEO,D001,GEO D001,12,5,7,1,4,6
2019,Spring,"Fernandez, Purba",GEO,D001,GEO D001,12,9,10,2,3,4
2019,Winter,"Ducote, Keith",GEO,D001,GEO D001,9,13,6,2,7,2
2019,Winter,"Fernandez, Purba",GEO,D004,GEO D004,9,7,2,1,1,4
2019,Spring,"Fernandez, Purba",GEO,D004,GEO D004,8,4,4,0,2,3
2019,Winter,"Fernandez, Purba",GEO,D001,GEO D001,4,8,3,0,0,0
