YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,7,7,7,3,4,2
2015,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,8,5,9,1,6,1
2015,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,4,5,1,0,6,1
2015,Fall,"Dileonardo, Christopher",GEOL,D010,GEOL D010,4,14,3,0,3,4
2015,Fall,"Cook, John",GEOL,D010,GEOL D010,8,5,4,1,1,7
2015,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,16,9,2,0,1,3
2015,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,1,0,0,0,0,0
2015,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,10,12,0,2,2,2
2015,Summer,"Dileonardo, Christopher",GEOL,D010,GEOL D010,16,11,0,0,0,1
2015,Summer,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,3,0,0,2,0
2015,Summer,"Dileonardo, Christopher",GEOL,D020,GEOL D020,20,10,4,0,4,4
2016,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,3,12,15,0,2,1
2016,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,1,17,9,0,2,2
2016,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,4,11,10,0,0,2
2016,Spring,"Cook, John",GEOL,D010,GEOL D010,4,3,12,2,0,7
2016,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,15,4,1,0,2,7
2016,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,7,13,5,0,9,5
2016,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,6,14,5,0,12,6
2016,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,5,21,0,0,3,1
2016,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,6,12,4,0,1,6
2016,Winter,"Cook, John",GEOL,D010,GEOL D010,7,8,5,2,5,2
2016,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,17,2,0,0,6,4
2016,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,4,13,5,0,1,2
2016,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,10,9,2,0,1,5
2016,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,10,10,4,0,4,2
2016,Fall,"Dileonardo, Christopher",GEOL,D010,GEOL D010,5,13,3,0,1,2
2016,Fall,"Cook, John",GEOL,D010,GEOL D010,6,3,8,1,2,5
2016,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,20,4,2,1,1,3
2016,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,9,9,0,0,6,6
2016,Summer,"Dileonardo, Christopher",GEOL,D010,GEOL D010,13,5,0,0,1,2
2016,Summer,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,13,3,0,5,4
2017,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,1,16,5,0,1,3
2017,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,7,13,4,0,1,2
2017,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,1,9,2,0,1,0
2017,Spring,"Cook, John",GEOL,D010,GEOL D010,2,1,10,0,2,8
2017,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,9,8,0,0,4,10
2017,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,8,14,5,0,5,4
2017,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,8,14,3,0,2,1
2017,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,5,8,2,0,0,1
2017,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,4,7,1,0,0,0
2017,Winter,"Cook, John",GEOL,D010,GEOL D010,4,6,10,1,1,6
2017,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,8,13,3,0,7,4
2017,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,8,7,1,0,4,3
2017,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,9,9,5,0,4,1
2017,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,8,3,4,0,2,1
2017,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,4,3,2,0,1,0
2017,Fall,"Dileonardo, Christopher",GEOL,D010,GEOL D010,5,7,0,0,1,2
2017,Fall,"Dileonardo, Christopher",GEOL,D010,GEOL D010,11,7,0,0,2,0
2017,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,9,6,4,0,2,3
2017,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,13,3,0,0,6,4
2017,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,7,4,1,0,7,5
2017,Summer,"Dileonardo, Christopher",GEOL,D010,GEOL D010,14,10,0,0,1,2
2017,Summer,"Dileonardo, Christopher",GEOL,D020,GEOL D020,15,7,5,3,2,3
2018,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,11,9,3,0,0,2
2018,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,11,13,3,0,0,2
2018,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,9,9,0,0,4,6
2018,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,10,10,6,0,4,3
2018,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,7,10,6,0,2,5
2018,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,6,7,2,0,1,1
2018,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,3,2,1,0,0,0
2018,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,5,20,0,0,0,1
2018,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,9,1,0,4,5
2018,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,12,7,1,0,12,2
2018,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,9,13,2,0,5,0
2018,Fall,"Cichanski, Marek",GEOL,D010,GEOL D010,3,10,4,1,2,2
2018,Fall,"Dileonardo, Christopher",GEOL,D010,GEOL D010,7,17,1,0,2,3
2018,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,7,12,2,0,4,0
2018,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,9,12,2,0,3,3
2018,Fall,"Dileonardo, Christopher",GEOL,D020,GEOL D020,8,9,1,0,5,2
2018,Summer,"Dileonardo, Christopher",GEOL,D020,GEOL D020,24,11,3,0,3,4
2019,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,19,12,2,1,2,6
2019,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,12,4,1,0,2,5
2019,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,12,11,2,0,0,2
2019,Spring,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,6,2,0,7,4
2019,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,9,4,1,2,1
2019,Winter,"Dileonardo, Christopher",GEOL,D020,GEOL D020,11,7,7,2,1,1
2019,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,4,10,9,0,0,4
2019,Spring,"Dileonardo, Christopher",GEOL,D010,GEOL D010,3,16,2,0,4,1
2019,Winter,"Dileonardo, Christopher",GEOL,D010,GEOL D010,1,9,3,0,2,5
