YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Jackson, Christopher",HIST,D003A,HIST D003A,6,13,1,4,9,3
2015,Fall,"Kline, Ben",HIST,D003A,HIST D003A,63,34,21,4,21,9
2015,Fall,"White, Wendy",HIST,D003A,HIST D003A,5,2,5,1,21,4
2015,Fall,"Knittel, Gregory",HIST,D003A,HIST D003A,18,9,17,1,3,2
2015,Fall,"Kline, Ben",HIST,D003B,HIST D003B,18,15,14,3,5,2
2015,Fall,"Kline, Ben",HIST,D003B,HIST D003B,27,14,4,0,9,4
2015,Fall,"Mujal, Carlos",HIST,D003C,HIST D003C,7,8,4,0,23,0
2015,Fall,"Kline, Ben",HIST,D003C,HIST D003C,27,18,7,1,3,0
2015,Fall,"White, Wendy",HIST,D003C,HIST D003C,5,0,2,3,21,15
2015,Fall,"Stevens, Margaret",HIST,D003C,HIST D003C,9,11,5,3,10,9
2015,Fall,"Stevens, Margaret",HIST,D006A,HIST D006A,11,18,2,1,6,7
2015,Fall,"Cini, Carol",HIST,D009,HIST D009,3,5,6,5,2,4
2015,Fall,"Cini, Carol",HIST,D009,HIST D009,0,0,0,0,,
2015,Fall,"Hickling, Anne",HIST,D010,HIST D010,3,9,11,2,8,10
2015,Fall,"Howard-Pitney, David",HIST,D017A,HIST D017A,3,10,16,3,3,7
2015,Fall,"Mujal, Carlos",HIST,D017A,HIST D017A,6,16,17,3,11,2
2015,Fall,"Howard-Pitney, David",HIST,D017A,HIST D017A,6,13,26,8,12,29
2015,Fall,"Gerould, Alexander",HIST,D017A,HIST D017A,18,29,35,2,11,6
2015,Fall,"Cini, Carol",HIST,D017A,HIST D017A,1,9,15,4,6,10
2015,Fall,"Cini, Carol",HIST,D017A,HIST D017A,1,0,0,0,0,0
2015,Fall,"Cini, Carol",HIST,D017A,HIST D017A,7,8,10,4,2,16
2015,Fall,"Cini, Carol",HIST,D017A,HIST D017A,0,0,0,0,,
2015,Fall,"Mujal, Carlos",HIST,D017B,HIST D017B,4,16,8,4,10,3
2015,Fall,"Howard-Pitney, David",HIST,D017B,HIST D017B,3,9,13,2,5,15
2015,Fall,"Cini, Carol",HIST,D017B,HIST D017B,5,12,7,4,3,20
2015,Fall,"Cini, Carol",HIST,D017B,HIST D017B,0,0,0,0,,
2015,Fall,"Mujal, Carlos",HIST,D017B,HIST D017B,4,17,13,3,7,2
2015,Fall,"Knittel, Gregory",HIST,D017B,HIST D017B,72,6,0,0,0,1
2015,Fall,"Mujal, Carlos",HIST,D017B,HIST D017B,28,12,6,2,6,2
2015,Fall,"Stevens, Margaret",HIST,D017C,HIST D017C,11,27,23,3,17,13
2015,Fall,"Stevens, Margaret",HIST,D017C,HIST D017C,0,0,0,0,,
2015,Fall,"Stevens, Margaret",HIST,D017C,HIST D017C,12,15,10,3,5,3
2015,Fall,"Stevens, Margaret",HIST,D017C,HIST D017C,1,0,0,0,0,0
