YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Choi, Soo",ICS,D004,ICS D004,44,3,1,0,2,3
2019,Winter,"Neal, Veronica",ICS,D004,ICS D004,38,1,0,0,7,8
2019,Winter,"Mendoza, Sherwin",ICS,D024,ICS D024,38,4,0,0,0,0
2019,Spring,"Neal, Veronica",ICS,D004,ICS D004,36,6,1,2,1,13
2019,Winter,"Kensler, Meghan",ICS,D044,ICS D044,33,4,3,0,9,5
2019,Winter,"Neal, Veronica",ICS,D004,ICS D004,29,8,2,0,6,8
2019,Winter,"Kensler, Meghan",ICS,D046,ICS D046,24,7,3,3,6,8
2019,Spring,"Franks, Joel",ICS,D007,ICS D007,23,1,0,1,1,5
2019,Spring,"Cadge-Moore, Catie",ICS,D005,ICS D005,22,7,0,2,2,2
2019,Spring,"Cadge-Moore, Catie",ICS,D005,ICS D005,21,3,2,0,0,3
2019,Winter,"Lewis, Julie",ICS,D009,ICS D009,21,2,1,1,8,12
2019,Winter,"Coronado, Marc",ICS,D035,ICS D035,21,8,4,1,7,4
2019,Spring,"Gamboa, Juan",ICS,D030,ICS D030,20,5,10,2,7,1
2019,Spring,"Coronado, Marc",ICS,D035,ICS D035,20,2,8,0,1,14
2019,Winter,"Lewis, Julie",ICS,D011,ICS D011,19,12,3,1,7,7
2019,Spring,"Cadge-Moore, Catie",ICS,D005,ICS D005,18,6,0,0,0,1
2019,Spring,"Lewis, Julie",ICS,D011,ICS D011,18,9,4,0,4,9
2019,Spring,"Neal, Veronica",ICS,D004,ICS D004,16,4,7,1,11,9
2019,Spring,"Gamboa, Juan",ICS,D030,ICS D030,15,14,16,1,6,2
2019,Winter,"Gamboa, Juan",ICS,D004,ICS D004,15,9,5,0,0,0
2019,Winter,"Lee, So Kam",ICS,D020,ICS D020,15,4,1,1,4,4
2019,Spring,"Lee, Mae",ICS,D004,ICS D004,14,14,9,0,1,7
2019,Spring,"Coronado, Marc",ICS,D005,ICS D005,14,10,4,0,2,5
2019,Winter,"Gamboa, Juan",ICS,D004,ICS D004,14,15,6,5,8,5
2019,Winter,"Gamboa, Juan",ICS,D030,ICS D030,14,12,10,0,8,5
2019,Spring,"Vinall, Kimberly",ICS,D002A,ICS D002A,13,3,0,0,1,1
2019,Spring,"Kensler, Meghan",ICS,D029,ICS D029,13,4,5,1,4,7
2019,Winter,"Chang, Michael",ICS,D007,ICS D007,13,12,2,0,0,2
2019,Spring,"Lewis, Julie",ICS,D010,ICS D010,12,6,2,2,4,21
2019,Winter,"Coronado, Marc",ICS,D005,ICS D005,12,2,2,1,9,3
2019,Winter,"Khanna, Anuradha",ICS,D007,ICS D007,12,7,2,0,2,2
2019,Spring,"Chang, Michael",ICS,D007,ICS D007,11,8,4,4,1,1
2019,Spring,"Olsen, Nancy",ICS,D045,ICS D045,11,3,3,1,10,7
2019,Winter,"Cadge-Moore, Catie",ICS,D005,ICS D005,11,14,3,1,3,6
2019,Spring,"Lee, Mae",ICS,D020,ICS D020,10,5,3,2,6,5
2019,Winter,"Cadge-Moore, Catie",ICS,D005,ICS D005,10,3,4,0,1,1
2019,Winter,"Cadge-Moore, Catie",ICS,D005,ICS D005,10,7,3,2,3,4
2019,Spring,"Olsen, Nancy",ICS,D005,ICS D005,9,4,2,0,5,3
2019,Spring,"Chang, Michael",ICS,D007,ICS D007,9,5,4,1,0,2
2019,Winter,"Guevara, Jorge",ICS,D033,ICS D033,9,11,5,9,8,5
2019,Winter,"Cadge-Moore, Catie",ICS,D005,ICS D005,8,6,1,1,1,4
2019,Winter,"Olsen, Nancy",ICS,D005,ICS D005,8,2,0,3,8,6
2019,Spring,"Chang, Michael",ICS,D007,ICS D007,7,5,4,3,4,0
2019,Spring,"Blume, Cassandra",ICS,D019,ICS D019,7,3,1,0,4,0
2019,Winter,"Lee, Mae",ICS,D004,ICS D004,7,26,9,1,1,2
2019,Winter,"Lee, Mae",ICS,D022,ICS D022,7,3,4,3,13,9
2019,Winter,"Tully, David",ICS,D036,ICS D036,7,0,2,0,1,0
2019,Winter,"Gamboa, Juan",ICS,D004,ICS D004,6,11,9,2,0,0
2019,Winter,"Chang, Michael",ICS,D007,ICS D007,6,7,3,1,3,1
2019,Winter,"Kaufman, Cynthia",ICS,D027,ICS D027,6,1,1,0,2,2
2019,Winter,"Gamboa, Juan",ICS,D032,ICS D032,6,15,8,1,1,3
2019,Spring,"Lee, Mae",ICS,D022,ICS D022,5,7,4,2,12,10
2019,Winter,"Lewis, Julie",ICS,D018A,ICS D018A,5,4,1,0,4,2
2019,Spring,"Guevara, Jorge",ICS,D033,ICS D033,4,18,8,0,2,7
2019,Winter,"Chang, Michael",ICS,D055,ICS D055,4,2,0,0,0,1
2019,Winter,"Vinall, Kimberly",ICS,D080,ICS D080,4,0,0,0,0,0
2019,Spring,"Hamilton, Jessica",ICS,D016B,ICS D016B,3,3,0,0,5,2
2019,Spring,"Norte, Edmundo",ICS,D082X,ICS D082X,3,0,0,0,0,0
2019,Spring,"Lewis, Julie",ICS,D018B,ICS D018B,2,2,1,0,5,12
2019,Spring,"Caparas, Francesca",ICS,D024,ICS D024,2,11,2,3,8,3
2019,Spring,"Norte, Edmundo",ICS,D082X,ICS D082X,2,0,0,0,0,0
2019,Winter,"Olsen, Nancy",ICS,D005,ICS D005,2,6,1,0,10,6
2019,Winter,"Cole, Constance",ICS,D007,ICS D007,2,0,0,1,1,1
2019,Winter,"Norte, Edmundo",ICS,D081X,ICS D081X,2,0,0,0,0,0
2019,Spring,"Cole, Constance",ICS,D005,ICS D005,1,4,6,3,1,1
2019,Spring,"Franks, Joel",ICS,D007H,ICS D007H,1,0,0,0,0,0
2019,Spring,"Gamboa, Juan",ICS,D077X,ICS D077X,1,0,0,0,0,0
2019,Spring,"Norte, Edmundo",ICS,D080W,ICS D080W,1,0,0,0,0,0
2019,Spring,"Norte, Edmundo",ICS,D082Z,ICS D082Z,1,0,0,0,0,0
2019,Winter,"Khanna, Anuradha",ICS,D007H,ICS D007H,1,0,0,0,0,0
2019,Winter,"Gamboa, Juan",ICS,D080X,ICS D080X,1,0,0,0,0,0
2019,Winter,"Norte, Edmundo",ICS,D080X,ICS D080X,1,0,0,0,0,0
2019,Spring,"Norte, Edmundo",ICS,D077,ICS D077,0,0,0,0,,
2019,Spring,"Norte, Edmundo",ICS,D077X,ICS D077X,0,0,0,0,,
2019,Spring,"Neal, Veronica",ICS,D077X,ICS D077X,0,0,0,0,,
2019,Spring,"Gamboa, Juan",ICS,D077Y,ICS D077Y,0,0,0,0,,
