YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Ferrara, Diana",ITAL,D001,ITAL D001,20,1,2,0,4,2
2019,Winter,"Ferrara, Diana",ITAL,D002,ITAL D002,17,5,2,0,2,0
2018,Spring,"Ferrara, Diana",ITAL,D003,ITAL D003,15,0,3,0,2,1
2018,Winter,"Ferrara, Diana",ITAL,D001,ITAL D001,11,2,0,1,3,2
2018,Winter,"Ferrara, Diana",ITAL,D002,ITAL D002,22,3,0,1,0,1
2018,Fall,"Ferrara, Diana",ITAL,D001,ITAL D001,26,8,2,0,5,5
2017,Spring,"Ferrara, Diana",ITAL,D003,ITAL D003,18,3,0,0,2,0
2017,Winter,"Ferrara, Diana",ITAL,D002,ITAL D002,21,3,1,2,2,1
2017,Fall,"Ferrara, Diana",ITAL,D001,ITAL D001,22,5,0,0,1,1
2016,Spring,"Ferrara, Diana",ITAL,D003,ITAL D003,16,2,1,2,1,1
2016,Winter,"Ferrara, Diana",ITAL,D002,ITAL D002,19,4,1,0,1,2
2016,Fall,"Ferrara, Diana",ITAL,D001,ITAL D001,12,8,2,3,6,1
2016,Fall,"Ferrara, Diana",ITAL,D001,ITAL D001,23,4,2,1,4,1
2015,Fall,"Borrelli, Gilda",ITAL,D001,ITAL D001,17,6,0,0,2,4
2015,Fall,"Ferrara, Diana",ITAL,D001,ITAL D001,14,12,0,0,3,2
