YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Inaba, Chigusa",JAPN,D001,JAPN D001,15,8,6,1,4,4
2015,Fall,"Inaba, Chigusa",JAPN,D001,JAPN D001,15,11,0,2,5,2
2015,Fall,"Kuo, Min-Jin",JAPN,D001,JAPN D001,12,6,3,0,9,7
2015,Fall,"Mccormick, Yumi",JAPN,D001,JAPN D001,20,3,4,0,4,3
2015,Fall,"Wortz, Fujiko",JAPN,D001,JAPN D001,20,3,1,0,3,6
2015,Fall,"Konishi, Yukiko",JAPN,D001,JAPN D001,8,6,5,1,10,5
2015,Fall,"Xuan, Renshi",JAPN,D002,JAPN D002,18,5,3,3,4,4
2015,Fall,"Scearce, Tazumi",JAPN,D004,JAPN D004,25,10,1,0,0,0
2015,Summer,"Inaba, Chigusa",JAPN,D001,JAPN D001,17,11,2,2,3,4
2016,Spring,"Xuan, Renshi",JAPN,D001,JAPN D001,14,6,2,2,5,6
2016,Spring,"Kuo, Min-Jin",JAPN,D001,JAPN D001,17,1,0,0,3,10
2016,Spring,"Xuan, Renshi",JAPN,D001,JAPN D001,14,7,3,1,1,3
2016,Spring,"Mccormick, Yumi",JAPN,D001,JAPN D001,16,6,0,2,6,4
2016,Spring,"Inaba, Chigusa",JAPN,D002,JAPN D002,17,4,6,3,4,1
2016,Spring,"Konishi, Yukiko",JAPN,D002,JAPN D002,14,2,2,0,2,1
2016,Spring,"Inaba, Chigusa",JAPN,D003,JAPN D003,24,10,2,0,1,0
2016,Spring,"Wortz, Fujiko",JAPN,D003,JAPN D003,21,7,1,0,0,0
2016,Spring,"Scearce, Tazumi",JAPN,D006,JAPN D006,16,8,0,0,0,1
2016,Winter,"Inaba, Chigusa",JAPN,D001,JAPN D001,21,7,5,2,5,0
2016,Winter,"Xuan, Renshi",JAPN,D001,JAPN D001,25,5,2,2,0,6
2016,Winter,"Konishi, Yukiko",JAPN,D001,JAPN D001,11,4,5,3,5,5
2016,Winter,"Inaba, Chigusa",JAPN,D002,JAPN D002,20,12,4,1,2,0
2016,Winter,"Wortz, Fujiko",JAPN,D002,JAPN D002,17,3,1,0,2,3
2016,Winter,"Mccormick, Yumi",JAPN,D002,JAPN D002,19,6,1,2,3,0
2016,Winter,"Kuo, Min-Jin",JAPN,D003,JAPN D003,15,7,0,0,2,2
2016,Winter,"Scearce, Tazumi",JAPN,D005,JAPN D005,17,13,2,0,0,1
2016,Fall,"Inaba, Chigusa",JAPN,D001,JAPN D001,16,6,3,0,3,4
2016,Fall,"Xuan, Renshi",JAPN,D001,JAPN D001,17,7,2,1,1,7
