YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Lee, Yu",KORE,D003,KORE D003,30,2,1,0,0,0
2019,Winter,"Lee, Yu",KORE,D002,KORE D002,22,3,0,0,0,2
2019,Winter,"Choi, Hwaja",KORE,D001,KORE D001,21,7,0,0,3,4
2019,Winter,"Choi, Hwaja",KORE,D002,KORE D002,19,2,1,0,2,1
2019,Spring,"Lee, Yu",KORE,D001,KORE D001,17,10,1,0,0,0
2019,Winter,"Lee, Yu",KORE,D001,KORE D001,17,4,1,0,8,3
2019,Spring,"Lee, Yu",KORE,D002,KORE D002,14,3,2,0,0,2
2019,Winter,"Lee, Yu",KORE,D002H,KORE D002H,13,0,0,0,0,2
2019,Spring,"Lee, Yu",KORE,D003H,KORE D003H,8,2,0,0,0,0
2019,Spring,"Lee, Yu",KORE,D002H,KORE D002H,3,0,0,0,0,0
2019,Winter,"Choi, Hwaja",KORE,D002H,KORE D002H,1,0,0,0,0,0
2018,Spring,"Choi, Hwaja",KORE,D001,KORE D001,16,3,0,0,4,7
2018,Spring,"Choi, Hwaja",KORE,D001,KORE D001,11,4,3,1,0,3
2018,Spring,"Lee, Yu",KORE,D002,KORE D002,19,2,0,0,1,3
2018,Spring,"Lee, Yu",KORE,D002H,KORE D002H,7,0,0,0,0,0
2018,Spring,"Lee, Yu",KORE,D003,KORE D003,22,5,0,0,0,2
2018,Spring,"Lee, Yu",KORE,D003H,KORE D003H,7,0,0,0,0,0
2018,Winter,"Lee, Yu",KORE,D001,KORE D001,26,3,0,0,3,4
2018,Winter,"Choi, Hwaja",KORE,D001,KORE D001,16,5,1,1,2,4
2018,Winter,"Lee, Yu",KORE,D002,KORE D002,6,4,0,0,0,3
2018,Winter,"Choi, Hwaja",KORE,D002,KORE D002,13,4,0,0,2,4
2018,Winter,"Lee, Yu",KORE,D002H,KORE D002H,8,0,0,0,0,0
2018,Winter,"Choi, Hwaja",KORE,D002H,KORE D002H,0,0,0,0,,
2018,Fall,"Choi, Hwaja",KORE,D001,KORE D001,21,5,1,0,4,4
2018,Fall,"Lee, Yu",KORE,D001,KORE D001,24,4,1,0,3,1
2018,Fall,"Choi, Hwaja",KORE,D001,KORE D001,18,6,3,0,5,4
2018,Fall,"Lee, Yu",KORE,D001,KORE D001,13,4,1,0,3,5
2018,Summer,"Lee, Yu",KORE,D001,KORE D001,17,8,1,0,0,4
2017,Spring,"Choi, Hwaja",KORE,D001,KORE D001,21,6,2,1,0,3
2017,Spring,"Choi, Hwaja",KORE,D001,KORE D001,14,1,2,0,0,6
2017,Spring,"Lee, Yu",KORE,D002,KORE D002,22,4,2,0,0,2
2017,Spring,"Lee, Yu",KORE,D003,KORE D003,27,7,0,0,0,4
2017,Winter,"Lee, Yu",KORE,D001,KORE D001,20,7,0,0,1,5
2017,Winter,"Choi, Hwaja",KORE,D001,KORE D001,20,2,0,0,3,6
2017,Winter,"Choi, Hwaja",KORE,D002,KORE D002,11,2,1,0,1,6
2017,Winter,"Lee, Yu",KORE,D002,KORE D002,20,5,0,0,1,6
2017,Fall,"Choi, Hwaja",KORE,D001,KORE D001,15,2,0,0,3,6
2017,Fall,"Lee, Yu",KORE,D001,KORE D001,16,6,2,0,2,5
2017,Fall,"Choi, Hwaja",KORE,D001,KORE D001,14,2,0,0,4,3
2017,Fall,"Lee, Yu",KORE,D001,KORE D001,12,2,1,0,2,5
2017,Summer,"Choi, Hwaja",KORE,D001,KORE D001,13,9,1,0,0,3
2016,Spring,"Choi, Hwaja",KORE,D001,KORE D001,22,4,1,1,0,2
2016,Spring,"Lee, Yu",KORE,D002,KORE D002,6,3,0,0,0,2
2016,Spring,"Lee, Yu",KORE,D002,KORE D002,11,0,0,0,0,0
2016,Spring,"Choi, Hwaja",KORE,D003,KORE D003,18,4,0,0,0,1
2016,Spring,"Choi, Hwaja",KORE,D003,KORE D003,2,0,0,0,0,0
2016,Spring,"Lee, Yu",KORE,D003,KORE D003,4,0,0,0,0,0
2016,Spring,"Lee, Yu",KORE,D003,KORE D003,12,6,1,0,0,1
2016,Winter,"Lee, Yu",KORE,D001,KORE D001,20,10,1,0,1,10
2016,Winter,"Choi, Hwaja",KORE,D001,KORE D001,13,4,0,8,0,5
2016,Winter,"Choi, Hwaja",KORE,D002,KORE D002,22,8,0,1,0,2
2016,Winter,"Choi, Hwaja",KORE,D002,KORE D002,2,0,0,0,0,0
2016,Winter,"Lee, Yu",KORE,D002,KORE D002,15,2,0,0,1,0
2016,Winter,"Lee, Yu",KORE,D002,KORE D002,7,3,3,0,2,7
2016,Fall,"Choi, Hwaja",KORE,D001,KORE D001,19,5,0,2,0,10
2016,Fall,"Lee, Yu",KORE,D001,KORE D001,18,6,1,0,0,6
2016,Fall,"Choi, Hwaja",KORE,D001,KORE D001,23,5,0,3,0,8
2016,Fall,"Lee, Yu",KORE,D001,KORE D001,13,2,4,0,3,8
2016,Summer,"Lee, Yu",KORE,D001,KORE D001,24,4,2,0,0,3
2015,Fall,"Choi, Hwaja",KORE,D001,KORE D001,24,5,1,1,0,6
2015,Fall,"Lee, Yu",KORE,D001,KORE D001,19,8,4,0,2,2
2015,Fall,"Choi, Hwaja",KORE,D001,KORE D001,13,2,1,3,0,7
2015,Fall,"Lee, Yu",KORE,D001,KORE D001,13,4,3,0,2,8
2015,Summer,"Choi, Hwaja",KORE,D001,KORE D001,25,4,0,0,0,5
