YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Abb, William",MATH,D114,MATH D114,7,9,9,2,1,4
2016,Spring,"Abb, William",MATH,D114,MATH D114,6,15,7,2,7,1
2016,Spring,"Abb, William",MATH,D114,MATH D114,9,8,6,5,5,6
2016,Winter,"Abb, William",MATH,D114,MATH D114,9,13,10,2,2,0
2016,Winter,"Abb, William",MATH,D114,MATH D114,9,12,8,2,3,4
2016,Fall,"Abb, William",MATH,D114,MATH D114,12,10,7,5,2,4
2016,Fall,"Abb, William",MATH,D114,MATH D114,5,16,8,0,4,3
2017,Spring,"Abb, William",MATH,D114,MATH D114,7,8,12,1,0,2
2017,Spring,"Abb, William",MATH,D114,MATH D114,10,9,9,2,2,2
2017,Winter,"Abb, William",MATH,D114,MATH D114,15,9,10,2,1,3
2017,Winter,"Abb, William",MATH,D114,MATH D114,5,15,15,1,2,1
2017,Fall,"Abb, William",MATH,D114,MATH D114,8,12,14,1,3,2
2017,Fall,"Abb, William",MATH,D114,MATH D114,13,7,10,2,5,2
2018,Spring,"Abb, William",MATH,D114,MATH D114,11,12,8,1,2,4
2018,Spring,"Abb, William",MATH,D114,MATH D114,7,8,11,4,3,7
2018,Winter,"Abb, William",MATH,D114,MATH D114,11,8,10,2,2,4
2018,Winter,"Abb, William",MATH,D114,MATH D114,12,8,9,1,3,0
2018,Fall,"Abb, William",MATH,D114,MATH D114,7,13,7,3,3,5
2018,Fall,"Abb, William",MATH,D114,MATH D114,6,8,9,0,2,9
2019,Spring,"Abb, William",MATH,D114,MATH D114,7,6,7,1,4,3
2019,Spring,"Abb, William",MATH,D114,MATH D114,3,9,7,5,8,2
2019,Winter,"Abb, William",MATH,D114,MATH D114,9,13,7,1,3,5
2019,Winter,"Abb, William",MATH,D114,MATH D114,7,8,6,0,8,4
2017,Fall,"Ahmed, Shabeena",MATH,D010,MATH D010,7,9,5,2,4,11
2017,Fall,"Ahmed, Shabeena",MATH,D212,MATH D212,5,4,2,2,17,3
2018,Winter,"Ahmed, Shabeena",MATH,D041,MATH D041,6,5,2,4,7,3
2018,Fall,"Ahmed, Shabeena",MATH,D010,MATH D010,8,8,1,4,10,7
2015,Fall,"Arabhi, Sundararajan",MATH,D114,MATH D114,5,6,5,2,9,9
2015,Fall,"Arabhi, Sundararajan",MATH,D114,MATH D114,8,2,4,4,3,11
2016,Winter,"Arabhi, Sundararajan",MATH,D212,MATH D212,3,0,6,3,13,6
2016,Fall,"Arabhi, Sundararajan",MATH,D212,MATH D212,2,10,7,2,8,4
2016,Fall,"Arabhi, Sundararajan",MATH,D212,MATH D212,4,9,7,3,4,8
2017,Spring,"Arabhi, Sundararajan",MATH,D114,MATH D114,3,1,4,2,9,5
2017,Spring,"Arabhi, Sundararajan",MATH,D114,MATH D114,9,4,1,0,7,9
2017,Winter,"Arabhi, Sundararajan",MATH,D212,MATH D212,4,4,6,2,6,6
2017,Fall,"Arabhi, Sundararajan",MATH,D212,MATH D212,3,3,5,3,7,5
2018,Spring,"Arabhi, Sundararajan",MATH,D042,MATH D042,11,8,7,1,2,2
2018,Winter,"Arabhi, Sundararajan",MATH,D114,MATH D114,5,2,7,1,1,0
2018,Fall,"Arabhi, Sundararajan",MATH,D041,MATH D041,13,6,4,2,5,4
2019,Winter,"Arabhi, Sundararajan",MATH,D001B,MATH D001B,20,5,5,5,5,5
2019,Winter,"Arabhi, Sundararajan",MATH,D041,MATH D041,10,4,5,4,4,9
2017,Spring,"Au, Hai",MATH,D114,MATH D114,1,1,4,2,10,1
2017,Spring,"Au, Hai",MATH,D114,MATH D114,5,5,3,3,3,2
2017,Winter,"Au, Hai",MATH,D043,MATH D043,7,12,2,3,4,2
2017,Winter,"Au, Hai",MATH,D212,MATH D212,0,11,8,1,10,4
2017,Fall,"Au, Hai",MATH,D212,MATH D212,1,7,5,4,10,4
2017,Fall,"Au, Hai",MATH,D212,MATH D212,1,5,4,4,13,4
2015,Fall,"Auyoung, Yatman",MATH,D041,MATH D041,2,5,4,3,10,7
2015,Fall,"Auyoung, Yatman",MATH,D042,MATH D042,3,6,7,4,7,5
2015,Fall,"Auyoung, Yatman",MATH,D114,MATH D114,4,2,6,2,12,2
2016,Winter,"Auyoung, Yatman",MATH,D041,MATH D041,4,2,6,1,9,11
2016,Fall,"Auyoung, Yatman",MATH,D011,MATH D011,2,0,4,1,2,6
2016,Fall,"Auyoung, Yatman",MATH,D042,MATH D042,7,2,4,4,5,11
2016,Summer,"Auyoung, Yatman",MATH,D041,MATH D041,0,1,6,3,6,6
2016,Summer,"Auyoung, Yatman",MATH,D042,MATH D042,3,5,1,1,1,2
2017,Fall,"Auyoung, Yatman",MATH,D010,MATH D010,4,4,7,0,4,18
2017,Summer,"Auyoung, Yatman",MATH,D041,MATH D041,2,1,5,3,7,2
2017,Summer,"Auyoung, Yatman",MATH,D041,MATH D041,5,1,4,3,7,4
2018,Fall,"Auyoung, Yatman",MATH,D010,MATH D010,1,6,3,1,13,11
2018,Fall,"Auyoung, Yatman",MATH,D011,MATH D011,5,0,4,0,13,9
2015,Fall,"Balm, Cheryl",MATH,D001B,MATH D001B,20,13,7,0,2,2
2015,Fall,"Balm, Cheryl",MATH,D212,MATH D212,9,8,6,5,3,5
2015,Summer,"Balm, Cheryl",MATH,D001C,MATH D001C,8,5,9,3,0,2
2016,Spring,"Balm, Cheryl",MATH,D010,MATH D010,2,6,3,2,1,3
2016,Spring,"Balm, Cheryl",MATH,D042,MATH D042,7,12,10,1,3,3
2016,Spring,"Balm, Cheryl",MATH,D077Y,MATH D077Y,0,0,0,0,0,0
2016,Winter,"Balm, Cheryl",MATH,D001C,MATH D001C,13,15,12,2,0,3
2016,Winter,"Balm, Cheryl",MATH,D114,MATH D114,6,12,2,5,4,0
2016,Fall,"Balm, Cheryl",MATH,D043,MATH D043,2,11,4,1,6,5
2016,Fall,"Balm, Cheryl",MATH,D043,MATH D043,6,12,7,4,3,1
2016,Fall,"Balm, Cheryl",MATH,D212,MATH D212,8,6,10,4,2,3
2017,Spring,"Balm, Cheryl",MATH,D010,MATH D010,3,8,11,6,4,1
2017,Spring,"Balm, Cheryl",MATH,D017,MATH D017,0,6,4,2,1,2
2017,Winter,"Balm, Cheryl",MATH,D114,MATH D114,3,5,9,5,1,2
2017,Winter,"Balm, Cheryl",MATH,D217,MATH D217,0,5,12,3,3,2
2017,Fall,"Balm, Cheryl",MATH,D001A,MATH D001A,9,8,9,2,2,5
2017,Fall,"Balm, Cheryl",MATH,D01AH,MATH D01AH,0,0,0,0,,
2017,Fall,"Balm, Cheryl",MATH,D212,MATH D212,8,10,7,2,4,3
2018,Spring,"Balm, Cheryl",MATH,D001C,MATH D001C,8,12,7,0,4,6
2018,Spring,"Balm, Cheryl",MATH,D010,MATH D010,3,5,7,0,1,3
2018,Spring,"Balm, Cheryl",MATH,D01CH,MATH D01CH,1,2,0,0,0,0
2018,Winter,"Balm, Cheryl",MATH,D001B,MATH D001B,12,11,5,1,6,8
2018,Winter,"Balm, Cheryl",MATH,D114,MATH D114,5,7,6,2,7,0
2018,Fall,"Balm, Cheryl",MATH,D041,MATH D041,5,6,9,3,3,1
2018,Fall,"Balm, Cheryl",MATH,D210,MATH D210,9,5,9,2,7,6
2019,Spring,"Balm, Cheryl",MATH,D043,MATH D043,10,6,10,0,1,0
2019,Winter,"Balm, Cheryl",MATH,D001C,MATH D001C,3,11,7,0,1,7
2019,Winter,"Balm, Cheryl",MATH,D01CH,MATH D01CH,1,0,0,0,0,0
2019,Winter,"Balm, Cheryl",MATH,D042,MATH D042,0,9,5,4,1,1
2015,Summer,"Bambhania, Doli",MATH,D042,MATH D042,7,5,4,2,2,11
2015,Summer,"Bambhania, Doli",MATH,D042,MATH D042,7,5,8,1,1,6
2016,Spring,"Bambhania, Doli",MATH,D057,MATH D057,5,4,6,4,2,1
2016,Spring,"Bambhania, Doli",MATH,D114,MATH D114,2,7,2,5,6,7
2016,Spring,"Bambhania, Doli",MATH,D114,MATH D114,4,9,5,5,4,6
2016,Winter,"Bambhania, Doli",MATH,D010,MATH D010,7,14,10,7,4,5
2016,Winter,"Bambhania, Doli",MATH,D217,MATH D217,5,8,9,6,1,3
2016,Summer,"Bambhania, Doli",MATH,D010,MATH D010,19,4,4,4,1,4
2016,Summer,"Bambhania, Doli",MATH,D022,MATH D022,9,9,3,1,0,10
2017,Fall,"Bambhania, Doli",MATH,D212,MATH D212,7,10,7,3,4,5
2017,Fall,"Bambhania, Doli",MATH,D212,MATH D212,3,5,13,7,2,2
2017,Fall,"Bambhania, Doli",MATH,D212,MATH D212,7,9,8,5,4,7
2017,Fall,"Bambhania, Doli",MATH,D212,MATH D212,6,6,11,1,3,7
2017,Summer,"Bambhania, Doli",MATH,D114,MATH D114,7,7,7,3,6,4
2017,Summer,"Bambhania, Doli",MATH,D114,MATH D114,8,5,5,3,2,8
2018,Spring,"Bambhania, Doli",MATH,D010,MATH D010,9,8,10,5,3,8
2018,Spring,"Bambhania, Doli",MATH,D010H,MATH D010H,0,0,0,0,,
2018,Spring,"Bambhania, Doli",MATH,D212,MATH D212,7,3,4,3,5,6
2018,Spring,"Bambhania, Doli",MATH,D212,MATH D212,4,3,8,3,1,0
2018,Winter,"Bambhania, Doli",MATH,D001C,MATH D001C,9,8,4,2,5,11
2018,Winter,"Bambhania, Doli",MATH,D001C,MATH D001C,6,14,7,5,4,11
2018,Winter,"Bambhania, Doli",MATH,D114,MATH D114,6,11,6,6,2,3
2018,Winter,"Bambhania, Doli",MATH,D114,MATH D114,6,13,12,3,1,4
2018,Fall,"Bambhania, Doli",MATH,D001B,MATH D001B,10,11,2,5,5,10
2018,Fall,"Bambhania, Doli",MATH,D001C,MATH D001C,5,8,8,6,4,3
2018,Fall,"Bambhania, Doli",MATH,D010,MATH D010,9,12,5,7,3,7
2018,Fall,"Bambhania, Doli",MATH,D010,MATH D010,8,6,5,8,7,5
2018,Summer,"Bambhania, Doli",MATH,D042,MATH D042,5,4,2,4,2,3
2018,Summer,"Bambhania, Doli",MATH,D042,MATH D042,5,5,2,3,0,9
2019,Spring,"Bambhania, Doli",MATH,D010,MATH D010,8,5,4,4,4,5
2019,Winter,"Bambhania, Doli",MATH,D010,MATH D010,10,11,1,3,3,6
2017,Fall,"Banks, John",MATH,D041,MATH D041,7,8,9,1,1,14
2015,Fall,"Bensidi, Nadia",MATH,D212,MATH D212,2,4,9,3,7,2
2016,Spring,"Bensidi, Nadia",MATH,D010,MATH D010,1,10,8,2,1,1
2016,Winter,"Bensidi, Nadia",MATH,D114,MATH D114,4,5,10,1,3,1
2016,Fall,"Bensidi, Nadia",MATH,D010,MATH D010,1,11,8,2,7,5
2017,Spring,"Bensidi, Nadia",MATH,D010,MATH D010,8,11,10,2,1,4
2017,Winter,"Bensidi, Nadia",MATH,D010,MATH D010,11,14,6,1,3,1
2017,Winter,"Bensidi, Nadia",MATH,D114,MATH D114,4,11,8,1,5,2
2017,Winter,"Bensidi, Nadia",MATH,D212,MATH D212,4,8,8,3,8,1
2017,Fall,"Bensidi, Nadia",MATH,D010,MATH D010,14,11,2,4,6,1
2017,Fall,"Bensidi, Nadia",MATH,D010,MATH D010,11,5,10,5,1,7
2017,Fall,"Bensidi, Nadia",MATH,D212,MATH D212,6,9,4,4,4,1
2018,Spring,"Bensidi, Nadia",MATH,D010,MATH D010,6,10,6,0,5,6
2018,Winter,"Bensidi, Nadia",MATH,D001B,MATH D001B,13,8,9,0,2,7
2018,Winter,"Bensidi, Nadia",MATH,D212,MATH D212,3,7,6,3,5,4
2018,Fall,"Bensidi, Nadia",MATH,D010,MATH D010,12,13,1,3,4,3
2018,Fall,"Bensidi, Nadia",MATH,D010,MATH D010,4,9,5,5,6,5
2019,Winter,"Bensidi, Nadia",MATH,D010,MATH D010,4,10,3,0,6,11
