YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Olejniczak, Paul",MET,D010,MET D010,73,5,2,1,9,0
2015,Fall,"James, Bridget",MET,D010,MET D010,28,17,5,0,6,5
2015,Fall,"James, Bridget",MET,D010,MET D010,25,17,4,3,7,3
2015,Fall,"Olejniczak, Paul",MET,D010L,MET D010L,32,2,0,2,1,1
2015,Summer,"James, Bridget",MET,D010,MET D010,32,16,1,1,1,6
2015,Summer,"James, Bridget",MET,D010,MET D010,26,17,5,0,1,5
2016,Spring,"Olejniczak, Paul",MET,D010,MET D010,63,6,3,1,0,4
2016,Spring,"James, Bridget",MET,D010,MET D010,28,15,2,1,1,3
2016,Spring,"Olejniczak, Paul",MET,D010L,MET D010L,24,7,0,0,1,3
2016,Winter,"Olejniczak, Paul",MET,D010,MET D010,53,7,4,0,1,3
2016,Winter,"James, Bridget",MET,D010,MET D010,28,19,6,3,3,2
2016,Winter,"James, Bridget",MET,D010,MET D010,23,25,8,1,1,3
2016,Winter,"Olejniczak, Paul",MET,D010L,MET D010L,40,1,0,0,1,2
2016,Fall,"James, Bridget",MET,D010,MET D010,31,15,6,1,2,6
2016,Fall,"James, Bridget",MET,D010,MET D010,21,13,16,1,1,4
2016,Summer,"James, Bridget",MET,D010,MET D010,22,21,6,5,2,3
2016,Summer,"James, Bridget",MET,D010,MET D010,30,16,5,2,3,1
2017,Spring,"Mullens, Terrence",MET,D010,MET D010,7,8,7,1,0,0
2017,Spring,"Mullens, Terrence",MET,D010,MET D010,9,7,4,1,0,2
2017,Spring,"James, Bridget",MET,D010,MET D010,29,12,3,0,2,2
2017,Spring,"Mullens, Terrence",MET,D010L,MET D010L,8,6,5,0,1,2
2017,Spring,"Mullens, Terrence",MET,D010L,MET D010L,18,3,1,0,0,0
2017,Winter,"Olejniczak, Paul",MET,D010,MET D010,25,5,2,4,1,4
2017,Winter,"James, Bridget",MET,D010,MET D010,37,8,1,1,1,5
2017,Winter,"James, Bridget",MET,D010,MET D010,29,20,6,1,3,5
2017,Winter,"Olejniczak, Paul",MET,D010L,MET D010L,39,3,0,0,1,1
2017,Fall,"Mullens, Terrence",MET,D010,MET D010,15,8,8,0,2,3
2017,Fall,"James, Bridget",MET,D010,MET D010,34,11,1,0,0,4
2017,Fall,"Mullens, Terrence",MET,D010,MET D010,14,5,8,1,1,9
2017,Fall,"Mullens, Terrence",MET,D010L,MET D010L,17,7,0,0,0,4
2017,Summer,"James, Bridget",MET,D010,MET D010,32,21,5,1,0,2
2017,Summer,"James, Bridget",MET,D010,MET D010,32,18,6,0,1,0
2017,Summer,"Mullens, Terrence",MET,D010,MET D010,13,8,2,1,2,11
2018,Spring,"Mullens, Terrence",MET,D010,MET D010,16,8,6,1,2,3
2018,Spring,"James, Bridget",MET,D010,MET D010,36,9,4,0,1,1
2018,Spring,"Mullens, Terrence",MET,D010,MET D010,23,7,7,0,2,6
2018,Spring,"James, Bridget",MET,D010,MET D010,24,15,4,0,3,1
2018,Spring,"Mullens, Terrence",MET,D010L,MET D010L,19,2,0,0,0,2
2018,Spring,"Mullens, Terrence",MET,D010L,MET D010L,19,6,0,0,0,0
2018,Winter,"Mullens, Terrence",MET,D010,MET D010,16,3,4,0,1,3
2018,Winter,"James, Bridget",MET,D010,MET D010,37,13,2,0,0,1
2018,Winter,"Mullens, Terrence",MET,D010,MET D010,21,14,6,4,2,9
2018,Winter,"Mullens, Terrence",MET,D010L,MET D010L,16,8,2,0,0,1
2018,Fall,"Mullens, Terrence",MET,D010,MET D010,16,6,2,0,6,1
2018,Fall,"Mullens, Terrence",MET,D010,MET D010,36,6,3,2,8,8
2018,Fall,"Mullens, Terrence",MET,D010,MET D010,21,12,7,1,6,12
2018,Summer,"James, Bridget",MET,D010,MET D010,40,11,2,1,4,0
2018,Summer,"James, Bridget",MET,D010,MET D010,39,13,1,0,2,4
2018,Summer,"Mullens, Terrence",MET,D010,MET D010,24,8,8,0,6,7
2019,Winter,"Mullens, Terrence",MET,D010,MET D010,39,8,4,0,4,6
2019,Spring,"Mullens, Terrence",MET,D010,MET D010,31,11,4,3,2,9
2019,Winter,"Mullens, Terrence",MET,D010L,MET D010L,31,3,1,2,1,1
2019,Spring,"James, Bridget",MET,D010,MET D010,29,17,5,0,1,1
2019,Spring,"Mullens, Terrence",MET,D010,MET D010,26,11,6,0,2,5
2019,Spring,"Mullens, Terrence",MET,D010L,MET D010L,25,4,0,1,0,4
2019,Spring,"James, Bridget",MET,D010,MET D010,24,18,4,3,4,1
2019,Winter,"Mullens, Terrence",MET,D010,MET D010,24,10,10,1,3,1
2019,Winter,"James, Bridget",MET,D010,MET D010,19,19,6,1,5,0
2019,Spring,"Mullens, Terrence",MET,D010L,MET D010L,17,5,1,0,0,2
