YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Mitchell, George",MUSI,D001A,MUSI D001A,8,16,10,2,5,9
2015,Fall,"Mitchell, George",MUSI,D001A,MUSI D001A,13,11,6,6,5,6
2015,Fall,"Glasman, Ilan",MUSI,D001A,MUSI D001A,22,3,3,2,6,5
2015,Fall,"Tayerle, Loren",MUSI,D001A,MUSI D001A,27,8,3,2,7,11
2015,Fall,"Razavi, Mason",MUSI,D001B,MUSI D001B,15,11,6,7,8,4
2015,Fall,"Dunn, Ronald",MUSI,D001C,MUSI D001C,8,9,6,3,4,14
2015,Fall,"Thomsen, John",MUSI,D001D,MUSI D001D,11,3,6,0,8,11
2015,Fall,"Setziol, Paul",MUSI,D003A,MUSI D003A,12,6,6,7,0,5
2015,Fall,"Setziol, Paul",MUSI,D004A,MUSI D004A,6,4,5,2,0,3
2015,Fall,"Schneider, James",MUSI,D009A,MUSI D009A,13,1,3,0,0,2
2015,Fall,"Schneider, James",MUSI,D009B,MUSI D009B,2,0,0,0,0,0
2015,Fall,"Schneider, James",MUSI,D009C,MUSI D009C,0,0,0,0,,
2015,Fall,"Farrington, Robert",MUSI,D010A,MUSI D010A,7,3,4,1,0,4
2015,Fall,"Thomsen, John",MUSI,D012A,MUSI D012A,17,0,1,0,1,2
2015,Fall,"Hicks, Gail",MUSI,D012A,MUSI D012A,7,0,0,0,4,2
2015,Fall,"Hicks, Gail",MUSI,D012A,MUSI D012A,13,1,1,0,3,4
2015,Fall,"Thomsen, John",MUSI,D012B,MUSI D012B,4,2,0,0,0,1
2015,Fall,"Hicks, Gail",MUSI,D012B,MUSI D012B,4,1,0,0,2,1
2015,Fall,"Thomsen, John",MUSI,D012C,MUSI D012C,1,0,0,0,0,0
2015,Fall,"Hicks, Gail",MUSI,D012C,MUSI D012C,2,0,0,0,0,0
2015,Fall,"Glasman, Ilan",MUSI,D013A,MUSI D013A,3,2,2,0,1,4
2015,Fall,"Glasman, Ilan",MUSI,D013A,MUSI D013A,7,4,0,0,1,4
2015,Fall,"Setziol, Paul",MUSI,D013A,MUSI D013A,12,1,0,1,0,1
2015,Fall,"Bandermann, Billie",MUSI,D013A,MUSI D013A,7,4,0,0,0,2
2015,Fall,"Glasman, Ilan",MUSI,D013B,MUSI D013B,2,0,1,0,0,0
2015,Fall,"Glasman, Ilan",MUSI,D013B,MUSI D013B,3,0,0,0,0,0
2015,Fall,"Setziol, Paul",MUSI,D013B,MUSI D013B,1,2,0,0,0,0
2015,Fall,"Bandermann, Billie",MUSI,D013B,MUSI D013B,4,0,0,0,0,0
2015,Fall,"Glasman, Ilan",MUSI,D013C,MUSI D013C,1,0,0,0,0,0
2015,Fall,"Glasman, Ilan",MUSI,D013C,MUSI D013C,2,1,0,0,0,0
2015,Fall,"Setziol, Paul",MUSI,D013C,MUSI D013C,4,0,0,0,0,0
2015,Fall,"Bandermann, Billie",MUSI,D013C,MUSI D013C,3,1,0,0,0,1
2015,Fall,"Dunn, Ronald",MUSI,D014A,MUSI D014A,5,6,3,0,0,3
2015,Fall,"Zussman, Benett",MUSI,D014A,MUSI D014A,8,1,0,0,6,3
2015,Fall,"Dunn, Ronald",MUSI,D014B,MUSI D014B,3,0,0,0,0,0
2015,Fall,"Zussman, Benett",MUSI,D014B,MUSI D014B,3,0,0,0,1,1
2015,Fall,"Dunn, Ronald",MUSI,D016A,MUSI D016A,9,7,3,0,0,6
