YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Hanna, Cassie",NURS,D081,NURS D081,5,13,0,0,2,0
2015,Fall,"Clavijo, Judith",NURS,D081P,NURS D081P,3,12,6,0,3,1
2015,Fall,"Nicklas, Hannah",NURS,D082,NURS D082,3,8,8,0,1,0
2015,Fall,"Clavijo, Judith",NURS,D082P,NURS D082P,8,9,1,0,0,0
2015,Fall,"Libova, Olga",NURS,D083,NURS D083,3,4,0,0,0,0
2015,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,0,9,0,0,0,0
2015,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,1,6,0,0,0,0
2015,Fall,"Hrycyk, Catherine",NURS,D083P,NURS D083P,4,10,1,0,0,0
2015,Fall,"Cozzens, Sherri",NURS,D084,NURS D084,7,10,1,0,0,0
2015,Fall,"Williams, Patricia",NURS,D084C,NURS D084C,10,8,0,0,0,0
2015,Fall,"Miskin, Predrag",NURS,D085,NURS D085,2,8,0,0,0,0
2015,Fall,"Miskin, Predrag",NURS,D085,NURS D085,3,6,0,0,0,0
2015,Fall,"Ashby, Sandra",NURS,D085A,NURS D085A,5,4,0,0,2,0
2015,Fall,"Ashby, Sandra",NURS,D085A,NURS D085A,6,4,0,0,0,0
2015,Fall,"Williams, Patricia",NURS,D086,NURS D086,1,15,0,0,2,0
2015,Summer,"Libova, Olga",NURS,D083,NURS D083,4,5,0,0,0,0
2016,Spring,"Peurifoy, Barbara",NURS,D081,NURS D081,4,7,1,1,1,1
2016,Spring,"Clavijo, Judith",NURS,D081P,NURS D081P,1,11,1,1,0,1
2016,Spring,"Nicklas, Hannah",NURS,D082,NURS D082,12,6,0,0,1,0
2016,Spring,"Clavijo, Judith",NURS,D082P,NURS D082P,5,7,3,1,0,0
2016,Spring,"Libova, Olga",NURS,D083,NURS D083,6,4,0,0,0,1
2016,Spring,"Libova, Olga",NURS,D083,NURS D083,9,1,0,0,0,0
2016,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,5,5,0,0,0,0
2016,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,6,4,0,0,0,0
2016,Spring,"Hrycyk, Catherine",NURS,D083P,NURS D083P,7,11,2,0,0,0
2016,Spring,"Cozzens, Sherri",NURS,D084,NURS D084,4,13,0,0,0,0
2016,Spring,"Williams, Patricia",NURS,D084C,NURS D084C,13,4,0,0,0,0
2016,Spring,"Cozzens, Sherri",NURS,D084L,NURS D084L,0,0,0,0,0,0
2016,Spring,"Zikria, Jamie",NURS,D084L,NURS D084L,0,0,0,0,0,0
2016,Spring,"Miskin, Predrag",NURS,D085,NURS D085,8,1,0,0,0,0
2016,Spring,"Miskin, Predrag",NURS,D085,NURS D085,7,3,0,0,0,0
2016,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,0,10,0,0,0,0
2016,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,3,5,0,0,0,1
2016,Spring,"Williams, Patricia",NURS,D086,NURS D086,5,12,0,0,3,0
2016,Winter,"Hanna, Cassie",NURS,D081,NURS D081,6,10,0,0,1,1
2016,Winter,"Clavijo, Judith",NURS,D081P,NURS D081P,2,10,4,2,0,2
2016,Winter,"Nicklas, Hannah",NURS,D082,NURS D082,10,9,1,0,0,0
2016,Winter,"Clavijo, Judith",NURS,D082P,NURS D082P,11,6,2,1,0,0
2016,Winter,"Libova, Olga",NURS,D083,NURS D083,2,7,0,0,0,0
2016,Winter,"Libova, Olga",NURS,D083,NURS D083,4,4,0,0,2,0
2016,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,3,6,1,0,0,0
2016,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,5,4,0,0,0,0
2016,Winter,"Hrycyk, Catherine",NURS,D083P,NURS D083P,4,10,5,0,0,0
2016,Winter,"Cozzens, Sherri",NURS,D084,NURS D084,12,6,0,0,0,0
2016,Winter,"Williams, Patricia",NURS,D084C,NURS D084C,15,2,0,0,0,0
2016,Winter,"Miskin, Predrag",NURS,D085,NURS D085,4,5,0,0,0,0
2016,Winter,"Miskin, Predrag",NURS,D085,NURS D085,8,1,0,0,0,0
2016,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,3,6,0,0,0,0
2016,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,1,8,0,0,0,0
2016,Winter,"Williams, Patricia",NURS,D086,NURS D086,2,13,0,0,2,3
2016,Fall,"Beaver, Jennifer",NURS,D081,NURS D081,4,14,2,0,0,0
2016,Fall,"Clavijo, Judith",NURS,D081P,NURS D081P,1,16,6,2,0,1
2016,Fall,"Nicklas, Hannah",NURS,D082,NURS D082,7,5,0,0,0,1
2016,Fall,"Nicklas, Hannah",NURS,D082L,NURS D082L,0,0,0,0,0,1
2016,Fall,"Clavijo, Judith",NURS,D082P,NURS D082P,6,5,1,0,0,1
2016,Fall,"Libova, Olga",NURS,D083,NURS D083,5,4,0,0,0,0
2016,Fall,"Libova, Olga",NURS,D083,NURS D083,5,3,0,0,0,0
2016,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,2,5,1,0,0,0
2016,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,3,6,0,0,0,0
2016,Fall,"Hrycyk, Catherine",NURS,D083P,NURS D083P,6,11,0,0,0,0
2016,Fall,"Cozzens, Sherri",NURS,D084,NURS D084,15,4,0,0,0,1
2016,Fall,"Williams, Patricia",NURS,D084C,NURS D084C,15,4,0,0,0,1
2016,Fall,"Miskin, Predrag",NURS,D085,NURS D085,5,1,0,0,1,1
2016,Fall,"Miskin, Predrag",NURS,D085,NURS D085,6,3,0,0,0,0
2016,Fall,"Ashby, Sandra",NURS,D085A,NURS D085A,3,6,0,0,0,0
2016,Fall,"Ashby, Sandra",NURS,D085A,NURS D085A,5,1,0,0,0,0
2016,Fall,"Miskin, Predrag",NURS,D085L,NURS D085L,0,0,0,0,0,0
2016,Fall,"Williams, Patricia",NURS,D086,NURS D086,7,11,1,0,1,0
2017,Spring,"Beaver, Jennifer",NURS,D081,NURS D081,3,11,0,0,4,2
2017,Spring,"Clavijo, Judith",NURS,D081P,NURS D081P,2,12,4,2,0,4
2017,Spring,"Nicklas, Hannah",NURS,D082,NURS D082,7,9,0,0,1,1
2017,Spring,"Clavijo, Judith",NURS,D082P,NURS D082P,2,11,4,1,0,0
2017,Spring,"Libova, Olga",NURS,D083,NURS D083,2,7,0,0,0,0
2017,Spring,"Libova, Olga",NURS,D083,NURS D083,8,1,0,0,0,0
2017,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,4,5,0,0,0,0
2017,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,2,7,0,0,0,0
2017,Spring,"Hrycyk, Catherine",NURS,D083P,NURS D083P,2,13,2,0,0,0
2017,Spring,"Cozzens, Sherri",NURS,D084,NURS D084,8,1,0,0,0,0
2017,Spring,"Williams, Patricia",NURS,D084C,NURS D084C,7,1,1,0,0,0
2017,Spring,"Miskin, Predrag",NURS,D085,NURS D085,7,1,0,0,0,0
2017,Spring,"Miskin, Predrag",NURS,D085,NURS D085,8,1,0,0,0,0
2017,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,4,0,0,1,0
2017,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,2,6,0,0,0,0
2017,Spring,"Williams, Patricia",NURS,D086,NURS D086,9,11,0,0,0,0
2017,Winter,"Beaver, Jennifer",NURS,D081,NURS D081,5,9,2,0,3,1
2017,Winter,"Clavijo, Judith",NURS,D081P,NURS D081P,2,13,4,3,2,4
2017,Winter,"Nicklas, Hannah",NURS,D082,NURS D082,5,11,1,0,2,1
2017,Winter,"Nicklas, Hannah",NURS,D082L,NURS D082L,0,0,0,0,0,0
2017,Winter,"Diaz, Mary",NURS,D082L,NURS D082L,0,0,0,0,0,1
2017,Winter,"Clavijo, Judith",NURS,D082P,NURS D082P,3,15,2,2,0,1
2017,Winter,"Libova, Olga",NURS,D083,NURS D083,3,1,0,0,2,0
2017,Winter,"Libova, Olga",NURS,D083,NURS D083,5,1,1,0,0,0
2017,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,3,3,0,0,0,0
2017,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,3,1,0,0,0,0
2017,Winter,"Hrycyk, Catherine",NURS,D083P,NURS D083P,2,8,1,0,1,0
2017,Winter,"Cozzens, Sherri",NURS,D084,NURS D084,6,10,1,0,0,0
2017,Winter,"Williams, Patricia",NURS,D084C,NURS D084C,10,7,0,0,0,0
2017,Winter,"Miskin, Predrag",NURS,D085,NURS D085,9,0,0,0,0,0
2017,Winter,"Miskin, Predrag",NURS,D085,NURS D085,10,0,0,0,0,0
2017,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,5,0,0,0,0
2017,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,3,6,0,0,0,0
2017,Winter,"Williams, Patricia",NURS,D086,NURS D086,6,10,0,0,1,0
2017,Fall,"Frie, Darlene",NURS,D081,NURS D081,2,13,0,0,3,0
2017,Fall,"Miskin, Predrag",NURS,D081P,NURS D081P,4,11,1,0,3,0
2017,Fall,"Diaz, Mary",NURS,D082,NURS D082,9,10,0,1,0,0
2017,Fall,"Libova, Olga",NURS,D082P,NURS D082P,12,6,1,0,2,0
2017,Fall,"Libova, Olga",NURS,D083,NURS D083,3,4,0,0,1,0
2017,Fall,"Libova, Olga",NURS,D083,NURS D083,3,3,0,0,0,0
2017,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,3,3,0,0,0,0
2017,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,4,3,0,0,0,0
2017,Fall,"Hrycyk, Catherine",NURS,D083P,NURS D083P,5,8,1,0,0,0
2017,Fall,"Cozzens, Sherri",NURS,D084,NURS D084,7,12,0,0,0,1
2017,Fall,"Williams, Patricia",NURS,D084C,NURS D084C,10,10,0,0,0,0
2018,Spring,"Frie, Darlene",NURS,D081,NURS D081,2,12,1,0,3,2
2018,Spring,"Miskin, Predrag",NURS,D081P,NURS D081P,5,15,1,0,1,2
2018,Spring,"Diaz, Mary",NURS,D082,NURS D082,8,10,0,0,1,0
2018,Spring,"Libova, Olga",NURS,D082P,NURS D082P,14,7,0,0,0,0
2018,Spring,"Libova, Olga",NURS,D083,NURS D083,3,3,0,0,1,0
2018,Spring,"Libova, Olga",NURS,D083,NURS D083,3,4,0,0,0,0
2018,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,6,2,0,0,0,0
2018,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,0,6,0,0,0,0
2018,Spring,"Hrycyk, Catherine",NURS,D083P,NURS D083P,5,7,1,0,0,0
2018,Spring,"Cozzens, Sherri",NURS,D084,NURS D084,11,7,1,0,0,0
2018,Spring,"Williams, Patricia",NURS,D084C,NURS D084C,14,4,0,0,0,0
2018,Spring,"Miskin, Predrag",NURS,D085,NURS D085,6,0,0,0,0,0
2018,Spring,"Miskin, Predrag",NURS,D085,NURS D085,7,0,0,0,0,0
2018,Spring,"Ashby, Sandra",NURS,D085A,NURS D085A,6,1,0,0,0,0
2018,Spring,"Frihart, Jessica",NURS,D085A,NURS D085A,4,3,0,0,0,0
2018,Spring,"Williams, Patricia",NURS,D086,NURS D086,8,9,0,0,1,0
2018,Winter,"Frie, Darlene",NURS,D081,NURS D081,6,13,0,0,1,0
2018,Winter,"Miskin, Predrag",NURS,D081P,NURS D081P,3,17,0,0,1,1
2018,Winter,"Diaz, Mary",NURS,D082,NURS D082,6,8,0,0,0,0
2018,Winter,"Libova, Olga",NURS,D082P,NURS D082P,11,3,0,0,1,0
2018,Winter,"Libova, Olga",NURS,D083,NURS D083,4,5,0,0,1,0
2018,Winter,"Libova, Olga",NURS,D083,NURS D083,6,3,0,0,0,0
2018,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,4,4,1,0,1,0
2018,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,1,8,0,0,0,0
2018,Winter,"Hrycyk, Catherine",NURS,D083P,NURS D083P,2,17,1,0,0,0
2018,Winter,"Cozzens, Sherri",NURS,D084,NURS D084,11,2,0,0,0,0
2018,Winter,"Williams, Patricia",NURS,D084C,NURS D084C,10,3,0,0,0,0
2018,Winter,"Miskin, Predrag",NURS,D085,NURS D085,8,1,0,0,0,0
2018,Winter,"Miskin, Predrag",NURS,D085,NURS D085,8,2,0,0,0,0
2018,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,1,9,0,0,0,0
2018,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,2,6,0,0,1,0
2018,Winter,"Williams, Patricia",NURS,D086,NURS D086,9,1,0,0,1,0
2018,Fall,"Frie, Darlene",NURS,D081,NURS D081,1,15,1,0,2,1
2018,Fall,"Miskin, Predrag",NURS,D081P,NURS D081P,6,13,0,0,3,4
2018,Fall,"Diaz, Mary",NURS,D082,NURS D082,4,11,1,0,0,1
2018,Fall,"Libova, Olga",NURS,D082P,NURS D082P,13,3,0,0,1,1
2018,Fall,"Libova, Olga",NURS,D083,NURS D083,6,4,0,0,0,0
2018,Fall,"Libova, Olga",NURS,D083,NURS D083,5,4,0,0,0,0
2018,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,2,6,1,0,1,0
2018,Fall,"Hrycyk, Catherine",NURS,D083A,NURS D083A,7,3,0,0,0,0
2018,Fall,"Williams, Patricia",NURS,D086,NURS D086,11,4,0,0,0,0
2018,Fall,"Miskin, Predrag",NURS,D085,NURS D085,10,0,0,0,0,0
2018,Fall,"Miskin, Predrag",NURS,D085,NURS D085,9,0,0,0,0,0
2018,Fall,"Sherwood, Rebecca",NURS,D085A,NURS D085A,4,5,0,0,0,0
2018,Fall,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,5,0,0,0,0
2018,Fall,"Hrycyk, Catherine",NURS,D083P,NURS D083P,6,12,1,0,0,1
2018,Fall,"Cozzens, Sherri",NURS,D084,NURS D084,9,4,0,0,0,0
2018,Fall,"Williams, Patricia",NURS,D084C,NURS D084C,12,1,0,0,0,0
2019,Winter,"Williams, Patricia",NURS,D084C,NURS D084C,17,2,0,0,0,0
2019,Spring,"Frie, Darlene",NURS,D081,NURS D081,15,5,0,0,0,0
2019,Spring,"Miskin, Predrag",NURS,D081P,NURS D081P,15,6,0,0,1,4
2019,Winter,"Libova, Olga",NURS,D082P,NURS D082P,15,3,0,0,0,1
2019,Spring,"Libova, Olga",NURS,D082P,NURS D082P,14,7,0,0,0,0
2019,Spring,"Miskin, Predrag",NURS,D085,NURS D085,10,0,0,0,0,0
2019,Spring,"Williams, Patricia",NURS,D086,NURS D086,10,2,0,0,0,0
2019,Winter,"Diaz, Mary",NURS,D082,NURS D082,10,7,0,0,0,1
2019,Winter,"Cozzens, Sherri",NURS,D084,NURS D084,10,9,0,0,0,0
2019,Winter,"Williams, Patricia",NURS,D086,NURS D086,10,9,0,0,0,0
2019,Spring,"Williams, Patricia",NURS,D084C,NURS D084C,9,5,0,0,0,0
2019,Winter,"Frie, Darlene",NURS,D081,NURS D081,9,10,0,0,0,1
2019,Spring,"Diaz, Mary",NURS,D082,NURS D082,8,8,2,0,1,0
2019,Spring,"Miskin, Predrag",NURS,D085,NURS D085,8,0,0,0,0,0
2019,Spring,"Libova, Olga",NURS,D083,NURS D083,7,2,0,0,0,0
2019,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,7,1,0,0,0,0
2019,Winter,"Miskin, Predrag",NURS,D085,NURS D085,6,0,0,0,0,0
2019,Winter,"Miskin, Predrag",NURS,D085,NURS D085,6,0,0,0,0,0
2019,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,3,0,0,0,0
2019,Spring,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,5,0,0,0,0
2019,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,5,1,0,0,1,0
2019,Spring,"Hrycyk, Catherine",NURS,D083A,NURS D083A,4,4,0,0,1,0
2019,Winter,"Miskin, Predrag",NURS,D081P,NURS D081P,4,18,1,0,4,1
2019,Winter,"Libova, Olga",NURS,D083,NURS D083,4,2,0,0,1,0
2019,Spring,"Libova, Olga",NURS,D083,NURS D083,3,5,0,0,2,0
2019,Winter,"Libova, Olga",NURS,D083,NURS D083,3,5,0,0,0,1
2019,Winter,"Hrycyk, Catherine",NURS,D083P,NURS D083P,3,7,4,0,0,1
2019,Spring,"Cozzens, Sherri",NURS,D084,NURS D084,2,10,0,0,1,0
2019,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,2,5,0,0,0,0
2019,Winter,"Hrycyk, Catherine",NURS,D083A,NURS D083A,2,5,1,0,0,0
2019,Winter,"Sherwood, Rebecca",NURS,D085A,NURS D085A,2,4,0,0,0,0
2019,Spring,"Hrycyk, Catherine",NURS,D083P,NURS D083P,1,17,0,0,0,1
