YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Winter,"Acker, Georgia",NUTR,D010,NUTR D010,26,7,4,1,0,2
2019,Winter,"Acker, Georgia",NUTR,D010,NUTR D010,26,10,2,2,1,1
2019,Spring,"King, Juliana",NUTR,D010,NUTR D010,25,9,1,2,1,2
2019,Spring,"Acker, Georgia",NUTR,D010,NUTR D010,24,9,3,2,3,1
2019,Spring,"Acker, Georgia",NUTR,D010,NUTR D010,21,9,3,1,7,2
2019,Winter,"King, Juliana",NUTR,D010,NUTR D010,21,16,3,0,2,2
2019,Spring,"Acker, Georgia",NUTR,D062,NUTR D062,15,3,1,0,0,2
2019,Winter,"Miller, Anne",NUTR,D062G,NUTR D062G,14,7,4,0,5,5
2019,Spring,"Miller, Anne",NUTR,D010,NUTR D010,13,10,5,2,6,4
2019,Winter,"Miller, Anne",NUTR,D010,NUTR D010,13,5,12,1,8,5
2019,Spring,"Campbell, Alison",NUTR,D010,NUTR D010,11,14,5,2,9,2
2019,Spring,"Miller, Anne",NUTR,D062G,NUTR D062G,11,8,3,1,1,6
2019,Winter,"Campbell, Alison",NUTR,D010,NUTR D010,9,12,5,1,8,3
2019,Spring,"Knoblaugh, Karen",NUTR,D010,NUTR D010,4,7,4,2,11,6
2019,Spring,"Miller, Anne",NUTR,D010,NUTR D010,4,10,7,3,5,7
2018,Spring,"King, Juliana",NUTR,D010,NUTR D010,15,14,5,2,2,5
2018,Spring,"Campbell, Alison",NUTR,D010,NUTR D010,5,6,9,2,7,7
2018,Spring,"Acker, Georgia",NUTR,D010,NUTR D010,24,8,3,1,4,1
2018,Spring,"Acker, Georgia",NUTR,D010,NUTR D010,18,14,3,1,2,0
2018,Spring,"Miller, Anne",NUTR,D010,NUTR D010,8,3,6,1,7,13
2018,Spring,"Miller, Anne",NUTR,D010,NUTR D010,9,8,5,2,9,4
2018,Spring,"Liechty, Barbara",NUTR,D010,NUTR D010,24,9,1,0,0,5
2018,Spring,"Campbell, Alison",NUTR,D010,NUTR D010,7,10,6,6,8,2
2018,Spring,"Acker, Georgia",NUTR,D062,NUTR D062,13,4,1,2,0,1
2018,Spring,"Miller, Anne",NUTR,D062G,NUTR D062G,14,9,3,1,1,6
2018,Winter,"Wright, Diana",NUTR,D010,NUTR D010,13,10,9,1,3,2
2018,Winter,"Acker, Georgia",NUTR,D010,NUTR D010,22,9,2,1,1,0
2018,Winter,"Knoblaugh, Karen",NUTR,D010,NUTR D010,5,10,6,3,13,2
2018,Winter,"Acker, Georgia",NUTR,D010,NUTR D010,17,8,4,2,4,3
2018,Winter,"Knoblaugh, Karen",NUTR,D010,NUTR D010,4,7,3,6,12,2
2018,Winter,"King, Juliana",NUTR,D010,NUTR D010,15,9,6,1,4,5
2018,Winter,"Acker, Georgia",NUTR,D010,NUTR D010,15,9,2,2,0,2
2018,Winter,"Miller, Anne",NUTR,D010,NUTR D010,6,4,5,3,10,7
2018,Winter,"Miller, Anne",NUTR,D010,NUTR D010,12,4,6,5,7,5
2018,Winter,"Liechty, Barbara",NUTR,D010,NUTR D010,26,8,1,1,1,6
2018,Winter,"Campbell, Alison",NUTR,D010,NUTR D010,12,6,8,2,9,2
2018,Winter,"Acker, Georgia",NUTR,D062,NUTR D062,18,0,0,0,4,0
2018,Winter,"Miller, Anne",NUTR,D062G,NUTR D062G,17,4,1,2,4,5
2018,Fall,"Acker, Georgia",NUTR,D010,NUTR D010,22,11,1,3,5,0
2018,Fall,"King, Juliana",NUTR,D010,NUTR D010,22,9,2,0,3,4
2018,Fall,"Campbell, Alison",NUTR,D010,NUTR D010,3,10,7,1,7,4
2018,Fall,"Acker, Georgia",NUTR,D010,NUTR D010,26,6,3,1,1,1
2018,Fall,"Knoblaugh, Karen",NUTR,D010,NUTR D010,8,12,6,4,5,1
2018,Fall,"Miller, Anne",NUTR,D010,NUTR D010,8,6,5,4,9,9
2018,Fall,"Miller, Anne",NUTR,D010,NUTR D010,9,7,8,3,10,4
2018,Fall,"Campbell, Alison",NUTR,D010,NUTR D010,4,8,9,1,9,3
2018,Fall,"Campbell, Alison",NUTR,D010,NUTR D010,3,9,6,3,9,3
2018,Fall,"Liechty, Barbara",NUTR,D010,NUTR D010,24,3,5,2,6,3
2018,Fall,"Acker, Georgia",NUTR,D062,NUTR D062,15,5,1,2,2,0
