YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Bennett, Mary",PEA,D001X,PEA D001X,23,0,0,0,0,0
2015,Fall,"Perkins, Nathan",PEA,D001X,PEA D001X,5,8,2,0,1,0
2015,Fall,"Perkins, Nathan",PEA,D001X,PEA D001X,3,3,4,0,1,0
2015,Fall,"Bennett, Mary",PEA,D001X,PEA D001X,14,1,0,0,0,1
2015,Fall,"Baker, Tracy",PEA,D001X,PEA D001X,11,4,2,0,0,0
2015,Fall,"Dominguez, Michael",PEA,D001X,PEA D001X,4,5,9,0,0,0
2015,Fall,"Bennett, Mary",PEA,D002X,PEA D002X,22,0,0,0,0,0
2015,Fall,"Perkins, Nathan",PEA,D002X,PEA D002X,5,9,4,0,0,0
2015,Fall,"Bennett, Mary",PEA,D002X,PEA D002X,23,0,0,0,0,0
2015,Fall,"Baker, Tracy",PEA,D002X,PEA D002X,12,4,1,0,1,0
2015,Fall,"Baker, Tracy",PEA,D002X,PEA D002X,9,5,1,0,0,0
2015,Fall,"Perkins, Nathan",PEA,D002X,PEA D002X,2,6,4,0,0,1
2015,Fall,"Bennett, Mary",PEA,D004X,PEA D004X,16,0,0,0,0,0
2015,Fall,"Bennett, Mary",PEA,D004X,PEA D004X,21,0,0,0,0,0
2015,Fall,"Beggs, Thomas",PEA,D004X,PEA D004X,30,7,0,0,0,0
2015,Fall,"Beggs, Thomas",PEA,D005X,PEA D005X,19,2,0,0,0,0
2015,Fall,"Beggs, Thomas",PEA,D005X,PEA D005X,17,6,0,0,0,1
2015,Fall,"Beggs, Thomas",PEA,D005X,PEA D005X,25,6,0,0,0,0
2015,Fall,"Beggs, Thomas",PEA,D005X,PEA D005X,15,5,0,0,0,0
2015,Fall,"Beggs, Thomas",PEA,D006Y,PEA D006Y,23,7,0,0,0,0
2015,Summer,"Perkins, Nathan",PEA,D001,PEA D001,9,5,1,1,1,0
2015,Summer,"Perkins, Nathan",PEA,D001,PEA D001,9,7,2,0,0,0
2015,Summer,"Beggs, Thomas",PEA,D001,PEA D001,24,9,0,0,0,0
2015,Summer,"Perkins, Nathan",PEA,D001,PEA D001,2,3,0,0,0,0
2015,Summer,"Bennett, Mary",PEA,D001,PEA D001,17,1,0,0,0,1
2015,Summer,"Bennett, Mary",PEA,D001,PEA D001,9,0,0,2,0,2
2015,Summer,"Dominguez, Michael",PEA,D001X,PEA D001X,4,8,7,0,0,0
2015,Summer,"Perkins, Nathan",PEA,D002,PEA D002,9,7,0,0,0,0
2015,Summer,"Perkins, Nathan",PEA,D002,PEA D002,3,8,2,0,0,0
2015,Summer,"Perkins, Nathan",PEA,D002,PEA D002,6,2,4,0,0,0
2015,Summer,"Bennett, Mary",PEA,D002,PEA D002,21,2,0,0,0,0
2015,Summer,"Bennett, Mary",PEA,D002,PEA D002,10,1,0,2,1,2
2015,Summer,"Perkins, Nathan",PEA,D002X,PEA D002X,3,7,0,0,1,0
2015,Summer,"Bennett, Mary",PEA,D004,PEA D004,25,0,0,0,0,0
2015,Summer,"Bennett, Mary",PEA,D004,PEA D004,15,0,0,0,0,0
2015,Summer,"Beggs, Thomas",PEA,D005,PEA D005,33,3,0,0,0,1
2015,Summer,"Beggs, Thomas",PEA,D005,PEA D005,14,6,0,0,0,0
2015,Summer,"Beggs, Thomas",PEA,D005,PEA D005,25,0,0,0,0,0
2015,Summer,"Beggs, Thomas",PEA,D005,PEA D005,21,3,0,0,0,0
2015,Summer,"Beggs, Thomas",PEA,D006Y,PEA D006Y,25,6,0,0,0,0
