YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Preciado, Francisco",POLI,D001,POLI D001,11,20,6,1,9,5
2015,Fall,"Druehl, Gregory",POLI,D001,POLI D001,21,29,26,10,10,4
2015,Fall,"Druehl, Gregory",POLI,D001,POLI D001,3,0,0,0,0,0
2015,Fall,"Stockwell, Robert",POLI,D001,POLI D001,26,27,20,3,13,5
2015,Fall,"Stockwell, Robert",POLI,D001,POLI D001,19,40,19,1,8,7
2015,Fall,"Nguyen, James",POLI,D001,POLI D001,18,15,2,0,6,7
2015,Fall,"Tarikh, Ishmael",POLI,D001,POLI D001,4,3,1,3,3,12
2015,Fall,"Yuen, Nicholas",POLI,D001,POLI D001,32,11,11,1,22,12
2015,Fall,"Nguyen, James",POLI,D001,POLI D001,26,35,5,3,12,17
2015,Fall,"Nguyen, James",POLI,D001,POLI D001,30,40,7,2,9,12
2015,Fall,"Tully, David",POLI,D001,POLI D001,10,13,18,0,4,5
2015,Fall,"Tarikh, Ishmael",POLI,D001,POLI D001,5,5,12,0,5,3
2015,Fall,"Tully, David",POLI,D001,POLI D001,16,9,7,1,7,1
2015,Fall,"Stockwell, Robert",POLI,D001,POLI D001,0,0,0,0,,
2015,Fall,"Stockwell, Robert",POLI,D001,POLI D001,0,0,0,0,,
2015,Fall,"Tully, David",POLI,D001,POLI D001,5,9,12,2,4,5
2015,Fall,"Yuen, Nicholas",POLI,D001,POLI D001,8,4,4,0,4,4
2015,Fall,"Yuen, Nicholas",POLI,D001,POLI D001,10,6,6,0,2,13
2015,Fall,"Tarikh, Ishmael",POLI,D001,POLI D001,5,7,5,5,13,8
2015,Fall,"Gordon, Susan",POLI,D001,POLI D001,20,12,9,1,3,3
2015,Fall,"Nguyen, James",POLI,D001,POLI D001,2,0,0,0,0,0
2015,Fall,"Dorabji, Elena",POLI,D002,POLI D002,3,8,3,1,5,3
2015,Fall,"Ovetz, Robert",POLI,D003,POLI D003,10,8,5,2,9,10
2015,Fall,"Schendan, Albert",POLI,D005,POLI D005,10,9,2,0,9,5
2015,Fall,"Tarikh, Ishmael",POLI,D015,POLI D015,8,3,2,1,3,3
2015,Fall,"Stockwell, Robert",POLI,D064,POLI D064,1,0,0,0,0,0
2015,Fall,"Stockwell, Robert",POLI,D064X,POLI D064X,1,0,0,0,0,0
2015,Fall,"Stockwell, Robert",POLI,D064Y,POLI D064Y,0,0,0,0,,
2015,Fall,"Stockwell, Robert",POLI,D064Z,POLI D064Z,1,0,0,0,0,0
2015,Summer,"Tully, David",POLI,D001,POLI D001,5,5,4,0,0,0
