YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Stimson, Elizabeth",THEA,D001,THEA D001,23,7,0,1,1,1
2015,Fall,"Schwartz, Neil",THEA,D001,THEA D001,26,2,0,2,2,0
2015,Summer,"Schwartz, Neil",THEA,D001,THEA D001,14,1,0,0,0,2
2015,Fall,"Stimson, Elizabeth",THEA,D020A,THEA D020A,12,5,0,0,0,1
2015,Fall,"Anderson, Sarah",THEA,D020A,THEA D020A,3,7,1,3,2,1
2015,Summer,"Stimson, Elizabeth",THEA,D020A,THEA D020A,13,0,2,0,0,2
2015,Fall,"Stimson, Elizabeth",THEA,D020B,THEA D020B,8,0,0,0,0,0
2015,Fall,"Anderson, Sarah",THEA,D020B,THEA D020B,2,2,0,0,0,0
2015,Summer,"Stimson, Elizabeth",THEA,D020B,THEA D020B,4,0,0,0,0,0
2015,Fall,"Stimson, Elizabeth",THEA,D020C,THEA D020C,1,0,0,0,0,0
2015,Fall,"Anderson, Sarah",THEA,D020C,THEA D020C,0,0,0,0,,
2015,Summer,"Stimson, Elizabeth",THEA,D020C,THEA D020C,4,0,0,0,0,0
2016,Spring,"Stimson, Elizabeth",THEA,D001,THEA D001,23,6,0,3,0,1
2016,Spring,"Stimson, Elizabeth",THEA,D020A,THEA D020A,11,5,0,0,1,1
2016,Spring,"Stimson, Elizabeth",THEA,D020B,THEA D020B,7,0,1,0,2,0
2016,Spring,"Stimson, Elizabeth",THEA,D020C,THEA D020C,3,0,1,0,0,0
2016,Spring,"Schwartz, Neil",THEA,D080A,THEA D080A,6,1,0,1,0,1
2016,Spring,"Schwartz, Neil",THEA,D080B,THEA D080B,1,0,0,0,0,0
2016,Winter,"Juarez, Peter",THEA,D001,THEA D001,10,4,4,0,2,0
2016,Winter,"Stimson, Elizabeth",THEA,D001,THEA D001,24,1,1,1,4,2
2016,Winter,"Anderson, Sarah",THEA,D020A,THEA D020A,7,5,4,1,3,1
2016,Winter,"Stimson, Elizabeth",THEA,D020A,THEA D020A,12,2,1,0,1,2
2016,Winter,"Anderson, Sarah",THEA,D020B,THEA D020B,3,1,0,0,0,0
2016,Winter,"Stimson, Elizabeth",THEA,D020B,THEA D020B,4,1,0,2,1,1
2016,Winter,"Anderson, Sarah",THEA,D020C,THEA D020C,2,0,0,0,0,0
2016,Winter,"Stimson, Elizabeth",THEA,D020C,THEA D020C,5,0,0,0,0,1
2016,Fall,"Stimson, Elizabeth",THEA,D001,THEA D001,18,8,2,3,2,1
2016,Fall,"Schwartz, Neil",THEA,D001,THEA D001,17,7,0,0,0,7
2016,Fall,"Stimson, Elizabeth",THEA,D020A,THEA D020A,14,1,5,0,1,1
2016,Fall,"Juarez, Peter",THEA,D020A,THEA D020A,8,2,2,3,1,2
2016,Fall,"Stimson, Elizabeth",THEA,D020B,THEA D020B,4,0,1,0,2,0
2016,Fall,"Juarez, Peter",THEA,D020B,THEA D020B,4,0,1,0,0,0
2016,Fall,"Stimson, Elizabeth",THEA,D020C,THEA D020C,3,0,0,0,1,0
2016,Fall,"Juarez, Peter",THEA,D020C,THEA D020C,1,0,0,0,0,0
2016,Summer,"Stimson, Elizabeth",THEA,D020A,THEA D020A,5,0,1,1,0,1
2016,Summer,"Stimson, Elizabeth",THEA,D020B,THEA D020B,6,0,0,0,0,0
2016,Summer,"Stimson, Elizabeth",THEA,D020C,THEA D020C,2,0,0,0,0,0
2017,Spring,"Stimson, Elizabeth",THEA,D001,THEA D001,26,3,1,0,1,1
2017,Spring,"Anderson, Sarah",THEA,D001,THEA D001,3,6,3,1,0,3
2017,Spring,"Stimson, Elizabeth",THEA,D020A,THEA D020A,11,1,1,0,1,2
2017,Spring,"Juarez, Peter",THEA,D020A,THEA D020A,10,4,1,0,1,2
2017,Spring,"Stimson, Elizabeth",THEA,D020B,THEA D020B,5,1,1,0,1,0
2017,Spring,"Juarez, Peter",THEA,D020B,THEA D020B,4,2,0,0,0,0
2017,Spring,"Stimson, Elizabeth",THEA,D020C,THEA D020C,4,0,0,2,1,0
2017,Spring,"Schwartz, Neil",THEA,D080A,THEA D080A,12,1,0,0,0,1
2017,Spring,"Schwartz, Neil",THEA,D080B,THEA D080B,2,0,0,0,0,0
2017,Winter,"Juarez, Peter",THEA,D001,THEA D001,16,4,1,0,4,0
2017,Winter,"Stimson, Elizabeth",THEA,D001,THEA D001,23,5,0,0,0,2
2017,Winter,"Stimson, Elizabeth",THEA,D020A,THEA D020A,15,1,1,1,1,2
2017,Winter,"Schwartz, Neil",THEA,D020A,THEA D020A,10,3,0,0,1,3
2017,Winter,"Stimson, Elizabeth",THEA,D020B,THEA D020B,7,0,2,0,0,0
2017,Winter,"Schwartz, Neil",THEA,D020B,THEA D020B,1,0,0,0,0,0
2017,Winter,"Stimson, Elizabeth",THEA,D020C,THEA D020C,2,0,2,0,0,0
2017,Fall,"Stimson, Elizabeth",THEA,D001,THEA D001,23,2,1,1,2,4
2017,Fall,"Schwartz, Neil",THEA,D001,THEA D001,23,2,3,0,0,1
2017,Fall,"Stimson, Elizabeth",THEA,D020A,THEA D020A,12,0,2,1,3,1
2017,Fall,"Juarez, Peter",THEA,D020A,THEA D020A,9,2,3,0,1,3
2017,Fall,"Stimson, Elizabeth",THEA,D020B,THEA D020B,6,0,0,0,0,0
2017,Fall,"Juarez, Peter",THEA,D020B,THEA D020B,3,0,1,0,1,1
2017,Fall,"Stimson, Elizabeth",THEA,D020C,THEA D020C,2,0,0,1,0,0
2017,Fall,"Juarez, Peter",THEA,D020C,THEA D020C,0,0,0,0,,
2017,Summer,"Schwartz, Neil",THEA,D001,THEA D001,22,1,3,0,0,1
2017,Summer,"Stimson, Elizabeth",THEA,D020A,THEA D020A,11,2,0,0,0,5
2017,Summer,"Stimson, Elizabeth",THEA,D020B,THEA D020B,4,1,0,0,1,0
2017,Summer,"Stimson, Elizabeth",THEA,D020C,THEA D020C,0,0,0,0,,
2018,Spring,"Stimson, Elizabeth",THEA,D001,THEA D001,17,4,1,1,4,3
2018,Spring,"Juarez, Peter",THEA,D001,THEA D001,15,1,1,0,2,0
2018,Spring,"Juarez, Peter",THEA,D020A,THEA D020A,9,5,1,0,0,2
2018,Spring,"Juarez, Peter",THEA,D020B,THEA D020B,7,0,0,0,0,0
2018,Spring,"Juarez, Peter",THEA,D020C,THEA D020C,3,1,0,0,1,0
2018,Spring,"Schwartz, Neil",THEA,D080A,THEA D080A,17,1,2,0,1,1
2018,Spring,"Schwartz, Neil",THEA,D080B,THEA D080B,0,0,0,0,1,1
2018,Winter,"Stimson, Elizabeth",THEA,D001,THEA D001,12,0,1,2,6,2
2018,Winter,"Stimson, Elizabeth",THEA,D001,THEA D001,23,2,2,0,4,2
2018,Winter,"Stimson, Elizabeth",THEA,D020A,THEA D020A,15,2,0,1,1,2
2018,Winter,"Schwartz, Neil",THEA,D020A,THEA D020A,10,0,0,0,1,3
2018,Winter,"Stimson, Elizabeth",THEA,D020B,THEA D020B,11,0,0,1,1,0
2018,Winter,"Schwartz, Neil",THEA,D020B,THEA D020B,4,1,0,0,0,1
2018,Winter,"Stimson, Elizabeth",THEA,D020C,THEA D020C,6,0,0,0,0,0
2018,Winter,"Schwartz, Neil",THEA,D020C,THEA D020C,1,0,0,0,0,0
2018,Fall,"Stimson, Elizabeth",THEA,D001,THEA D001,32,0,0,0,0,3
2018,Fall,"Schwartz, Neil",THEA,D001,THEA D001,25,2,0,0,0,3
2018,Fall,"Stimson, Elizabeth",THEA,D020A,THEA D020A,15,0,1,0,1,3
2018,Fall,"Juarez, Peter",THEA,D020A,THEA D020A,7,5,1,1,5,4
2018,Fall,"Stimson, Elizabeth",THEA,D020B,THEA D020B,4,0,0,0,1,0
